ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,MORENA,PH,ES,PRS,BS,FACA,JLCM,JRM,ISRM,MARM,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
3,BAJA CALIFORNIA SUR,1,LA PAZ,38,61,2993,3531,787,589,1031,589,300,1054,364,1244,2874,374,,,,,,43,15773,694,16467,31836,0.5172
3,BAJA CALIFORNIA SUR,2,LA PAZ,25,38,2709,2743,249,186,335,186,191,882,540,441,2602,,,,,,,34,11098,453,11551,19608,0.5891
3,BAJA CALIFORNIA SUR,3,LA PAZ,23,39,2394,2895,373,278,281,278,210,851,286,891,2299,,484,369,,,,17,11906,427,12333,20418,0.6040
3,BAJA CALIFORNIA SUR,4,LA PAZ,84,124,7633,5950,984,738,763,738,822,2664,2672,1460,7332,,,,,,,47,31803,1106,32909,65271,0.5042
3,BAJA CALIFORNIA SUR,5,LA PAZ,35,69,4057,4429,459,344,939,344,986,1651,610,852,3897,,,,679,,,39,19286,848,20134,34177,0.5891
3,BAJA CALIFORNIA SUR,6,TODOS SANTOS,18,35,2312,2335,152,113,495,113,88,297,214,33,2220,,,,,,,33,8405,410,8815,15264,0.5775
3,BAJA CALIFORNIA SUR,7,SAN JOSE DEL CABO,45,121,5610,4572,4145,3107,969,3107,405,1883,933,811,5389,,,,,,,31,30962,1035,31997,65869,0.4858
3,BAJA CALIFORNIA SUR,8,CABO SAN LUCAS,69,143,8398,2955,2513,1884,626,1884,781,2430,,1436,8068,,,,,,,85,31060,1180,32240,80334,0.4013
3,BAJA CALIFORNIA SUR,9,CIUDAD CONSTITUCION,20,25,2081,2250,411,308,120,308,94,244,80,95,1999,,,,,,,10,8000,174,8174,13104,0.6238
3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,19,38,2599,3085,381,285,208,285,123,256,74,380,2497,,,,,,,1,10174,348,10522,18516,0.5683
3,BAJA CALIFORNIA SUR,11,CIUDAD INSURGENTES,24,35,2127,3060,214,159,648,159,191,181,799,116,2043,,,,,,,1,9698,329,10027,15613,0.6422
3,BAJA CALIFORNIA SUR,12,LORETO,19,32,2335,2126,298,223,450,223,770,202,527,95,2242,,,,,854,,0,10345,383,10728,14955,0.7174
3,BAJA CALIFORNIA SUR,13,SANTA ROSALIA,17,31,1813,1687,91,67,112,67,495,104,703,960,1740,,,,,,879,14,8732,410,9142,14621,0.6253
3,BAJA CALIFORNIA SUR,14,GUERRERO NEGRO,12,28,1481,1903,159,117,185,117,1369,490,420,132,1421,,,,,,,6,7800,377,8177,15884,0.5148
3,BAJA CALIFORNIA SUR,15,BAHIA TORTUGAS,15,21,1264,825,279,209,54,209,154,122,197,33,1213,,,,,,,1,4560,138,4698,7382,0.6364
3,BAJA CALIFORNIA SUR,16,CABO SAN LUCAS,20,53,2758,1931,1675,1254,310,1254,223,1010,325,447,2649,,,,,,,38,13874,474,14348,32546,0.4409
