ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN_PRS,PRI,PRD_PT_MC,PVEM,NVA_ALIANZA,MORENA,BRE,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
3,BAJA CALIFORNIA SUR,1,LA PAZ,38,62,6952,4797,1187,408,151,1368,355,317,319,26,3,43,15926,523,16449,31854,0.5164
3,BAJA CALIFORNIA SUR,2,LA PAZ,25,38,5548,3349,651,117,69,875,247,184,139,16,2,46,11243,330,11573,19608,0.5902
3,BAJA CALIFORNIA SUR,3,LA PAZ,23,39,5659,3729,728,78,82,965,345,204,148,10,0,56,12004,343,12347,20418,0.6047
3,BAJA CALIFORNIA SUR,4,LA PAZ,84,126,15709,9777,2166,294,371,3119,1060,344,280,36,2,189,33347,862,34209,65271,0.5241
3,BAJA CALIFORNIA SUR,5,LA PAZ,35,69,9132,6451,961,179,180,1722,538,253,200,17,22,84,19739,555,20294,34177,0.5938
3,BAJA CALIFORNIA SUR,6,TODOS SANTOS,18,36,4631,3148,346,40,46,366,52,186,74,3,4,19,8915,321,9236,15264,0.6051
3,BAJA CALIFORNIA SUR,7,SAN JOSE DEL CABO,45,121,11808,9755,5638,386,312,2049,480,122,183,18,2,88,30841,1072,31913,65869,0.4845
3,BAJA CALIFORNIA SUR,8,CABO SAN LUCAS,69,144,14564,7712,4431,453,403,2400,672,255,176,20,4,180,31270,1092,32362,80334,0.4028
3,BAJA CALIFORNIA SUR,9,CIUDAD CONSTITUCION,20,26,3863,3553,456,43,57,310,80,116,7,0,101,10,8596,150,8746,13104,0.6674
3,BAJA CALIFORNIA SUR,10,CIUDAD CONSTITUCION,19,38,4392,4309,762,93,76,330,102,109,184,16,3,5,10381,303,10684,18516,0.5770
3,BAJA CALIFORNIA SUR,11,CIUDAD INSURGENTES,24,35,4559,4127,365,87,122,234,73,59,132,22,4,4,9788,246,10034,15613,0.6427
3,BAJA CALIFORNIA SUR,12,LORETO,19,33,5970,4171,228,54,48,212,42,77,83,15,3,6,10909,195,11104,14955,0.7425
3,BAJA CALIFORNIA SUR,13,SANTA ROSALIA,17,32,4899,3111,203,73,469,210,114,45,43,37,6,6,9216,296,9512,14621,0.6506
3,BAJA CALIFORNIA SUR,14,GUERRERO NEGRO,12,29,3879,1960,455,95,1015,449,95,58,31,59,6,12,8114,349,8463,15884,0.5328
3,BAJA CALIFORNIA SUR,15,BAHIA TORTUGAS,15,21,2583,1293,249,42,173,136,23,24,22,20,0,1,4566,133,4699,7382,0.6365
3,BAJA CALIFORNIA SUR,16,CABO SAN LUCAS,20,55,6300,4090,2282,190,137,1079,83,71,9,0,263,62,14566,505,15071,32546,0.4631
