CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN_PRS,PRI,PRD_PT_MC,PVEM,NVA_ALIANZA,MORENA,BRE,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,121,2,275,150,31,6,1,44,14,8,4,1,0,3,537,13,550,1009
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,122,1,168,113,30,11,1,29,8,12,11,1,0,1,385,19,404,723
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,123,2,259,155,33,2,4,40,3,9,7,2,0,1,515,18,533,850
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,124,2,291,187,24,8,24,33,11,9,5,1,0,2,595,13,608,998
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,125,2,179,125,14,0,2,15,7,10,7,0,0,1,360,4,364,585
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,126,1,206,136,15,3,8,21,11,5,2,1,0,1,409,13,422,717
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,127,1,157,117,24,9,7,31,6,4,4,1,0,1,361,9,370,736
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,128,1,129,106,31,8,5,26,3,6,10,2,0,1,327,8,335,601
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,129,2,248,111,24,24,4,37,11,11,8,0,0,0,478,21,499,958
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,130,1,81,49,13,5,1,7,4,0,2,0,0,0,162,4,166,375
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,131,1,93,63,24,6,2,25,6,10,5,0,0,2,236,9,245,514
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,132,1,72,59,14,5,1,20,10,5,2,0,0,0,188,6,194,422
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,133,1,61,52,12,3,3,11,9,3,2,0,0,1,157,5,162,362
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,134,1,70,48,8,0,1,12,1,1,1,0,0,0,142,3,145,306
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,135,2,238,134,48,15,4,41,6,7,17,3,0,2,515,21,536,1032
1,3,BAJA CALIFORNIA SUR,1,LA PAZ,3,LA PAZ,136,2,263,100,38,4,5,35,11,4,5,2,0,1,468,13,481,792
