ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PH,ES,PRI_PVEM,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
4,CAMPECHE,1,CAMPECHE,146,349,32574,39386,4394,2211,2033,1451,4656,11639,1995,4681,1974,,106994,3774,110768,193978,0.571
4,CAMPECHE,2,CALKINI,36,76,1326,9035,319,684,194,282,4537,11714,41,262,582,,28976,985,29961,38336,0.7815
4,CAMPECHE,3,CARMEN,135,286,38239,25252,2505,1164,708,712,1124,9314,742,838,2172,,82770,2675,85445,167626,0.5097
4,CAMPECHE,4,CHAMPOTON,56,112,8500,16415,3212,457,636,1122,1034,5387,203,340,741,,38047,1510,39557,60337,0.6556
4,CAMPECHE,5,HECELCHAKAN,18,36,6857,3403,233,165,18,46,412,395,48,4346,299,,16222,423,16645,20658,0.8057
4,CAMPECHE,6,HOPELCHEN,33,51,8080,8300,108,54,232,159,425,452,102,22,473,,18407,390,18797,25321,0.7423
4,CAMPECHE,7,PALIZADA,10,13,3130,2098,10,25,0,0,34,4,0,0,152,,5453,80,5533,6891,0.8029
4,CAMPECHE,8,TENABO,7,14,2829,2820,18,36,14,5,109,82,2,23,295,,6233,79,6312,7457,0.8464
4,CAMPECHE,9,ESCARCEGA,36,70,8246,8308,1315,430,210,644,328,1027,98,104,597,,21307,760,22067,37448,0.5893
4,CAMPECHE,10,CANDELARIA,30,56,11982,6060,98,38,73,135,73,209,21,21,196,,18906,420,19326,28778,0.6715
4,CAMPECHE,11,CALAKMUL,18,37,5427,4861,290,70,109,84,236,198,9,53,444,,11781,339,12120,16780,0.7223
