ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PH,ES,CAND_IND1,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
4,CAMPECHE,1,SAN FRANCISCO DE CAMPECHE,29,54,2941,7253,321,374,170,90,383,4755,127,173,175,,16762,520,17282,27500,0.6284
4,CAMPECHE,2,SAN FRANCISCO DE CAMPECHE,17,46,3584,5768,280,356,137,102,341,3368,124,172,166,,14398,408,14806,27038,0.5476
4,CAMPECHE,3,SAN FRANCISCO DE CAMPECHE,16,47,2630,5484,369,286,199,92,384,3643,133,208,160,,13588,502,14090,26658,0.5285
4,CAMPECHE,4,SAN FRANCISCO DE CAMPECHE,21,50,2790,6632,271,518,144,76,451,4323,153,156,165,,15679,497,16176,27313,0.5922
4,CAMPECHE,5,SAN FRANCISCO DE CAMPECHE,24,52,3130,7056,235,364,257,95,568,4554,154,172,205,,16790,533,17323,28441,0.609
4,CAMPECHE,6,SAN FRANCISCO DE CAMPECHE,26,59,4059,8227,573,382,235,98,437,3179,125,257,140,,17712,583,18295,32114,0.5697
4,CAMPECHE,7,TENABO,20,55,5804,8772,284,562,131,101,399,3265,110,277,152,,19857,472,20329,32371,0.628
4,CAMPECHE,8,CIUDAD DEL CARMEN,23,53,7474,3353,602,230,123,64,129,2038,126,92,59,,14290,358,14648,29740,0.4925
4,CAMPECHE,9,CIUDAD DEL CARMEN,22,50,7660,3404,283,151,57,76,125,2052,99,84,77,,14068,363,14431,29653,0.4866
4,CAMPECHE,10,CIUDAD DEL CARMEN,14,40,6051,2760,201,192,93,67,103,1799,112,99,43,,11520,260,11780,25850,0.4557
4,CAMPECHE,11,CIUDAD DEL CARMEN,5,35,4748,2991,226,186,57,64,107,1464,105,88,68,,10104,270,10374,24406,0.425
4,CAMPECHE,12,SABANCUY,48,64,8789,5660,248,301,80,85,129,2159,126,102,85,,17764,387,18151,35294,0.5143
4,CAMPECHE,13,ESCÁRCEGA,28,56,5656,7370,550,668,125,293,239,1732,68,74,94,,16869,513,17382,29293,0.5934
4,CAMPECHE,14,CANDELARIA,30,56,10294,6941,113,178,75,109,93,558,20,29,431,,18841,482,19323,28778,0.6714
4,CAMPECHE,15,CHAMPOTÓN,25,52,4378,8678,451,447,192,200,260,3438,96,65,71,,18276,640,18916,29162,0.6486
4,CAMPECHE,16,SEYBAPLAYA,31,60,4819,9040,795,393,219,255,381,4031,63,110,79,,20185,680,20865,31175,0.6693
4,CAMPECHE,17,CALKINÍ,24,56,1724,6721,210,322,121,148,2124,9893,137,73,79,,21552,443,21995,28697,0.7664
4,CAMPECHE,18,HOPELCHÉN,33,50,6908,8543,100,193,181,83,351,1251,50,15,18,,17693,328,18021,25054,0.7193
4,CAMPECHE,19,HECELCHAKÁN,30,56,5583,9250,185,962,56,146,750,5489,108,1478,48,,24055,678,24733,30297,0.8163
4,CAMPECHE,20,PALIZADA,33,57,8967,8322,178,714,53,44,123,1810,39,21,67,,20338,629,20967,29574,0.709
4,CAMPECHE,21,XPUJIL,26,52,6468,8210,643,445,123,97,245,689,17,31,79,,17047,485,17532,25202,0.6956
