ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,PCU,MORENA,PH,ES,MVC,CAND_IND9,PRI_PVEM_NVA_ALIANZA_PCU,PRI_PVEM_PCU,PVEM_NVA_ALIANZA_PCU,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
7,CHIAPAS,1,TUXTLA GUTIERREZ ORIENTE,153,350,18611,8130,2023,2270,0,2073,0,0,12974,1281,2130,1406,2,0,0,29134,253,80034,5742,86029,206695,0.4162
7,CHIAPAS,2,TUXTLA GUTIERREZ PONIENTE,79,317,26064,0,1508,1457,0,1633,0,0,9930,790,1554,1169,3021,34149,0,0,165,81275,4120,85560,202230,0.4231
7,CHIAPAS,3,CHIAPA DE CORZO,69,206,3570,17705,1034,2078,0,1190,0,0,9823,517,747,9186,0,0,0,35305,94,81155,3508,84757,121872,0.6955
7,CHIAPAS,4,VENUSTIANO CARRANZA,44,128,490,0,3279,3017,0,2660,0,0,2141,325,157,3036,0,31811,0,0,10,46916,3174,50100,73794,0.6789
7,CHIAPAS,5,SAN CRISTOBAL DE LAS CASAS,62,240,4044,0,5318,1494,0,1470,0,0,11250,1263,2690,9085,0,33036,0,0,86,69650,5800,75536,144014,0.5245
7,CHIAPAS,6,COMITAN DE DOMINGUEZ,109,306,1333,31259,1764,1479,0,566,0,0,5327,496,623,18698,6,0,0,51056,112,112607,6512,119231,178462,0.6681
7,CHIAPAS,7,OCOSINGO,119,446,8149,0,1861,1918,0,9761,0,0,9211,929,418,12758,64,93033,0,0,19,138102,8792,146913,230399,0.6376
7,CHIAPAS,8,YAJALON,57,192,816,0,8321,1706,0,682,0,0,7175,497,0,6174,0,51294,0,0,513,76665,4426,81604,104890,0.778
7,CHIAPAS,9,PALENQUE,70,236,3419,0,1755,4518,0,1331,0,0,5176,689,161,7340,0,32491,0,0,10,56880,2924,59814,132404,0.4518
7,CHIAPAS,10,BOCHIL,46,150,1269,0,3220,1090,0,1149,0,0,3471,211,186,4209,172,45226,0,0,4,60203,2953,63160,76842,0.8219
7,CHIAPAS,11,PUEBLO NUEVO SOLISTAHUACAN,31,94,2716,0,7558,1120,0,925,0,0,3004,156,164,8137,0,16769,0,0,8,40549,2893,43450,50207,0.8654
7,CHIAPAS,12,PICHUCALCO,88,227,2232,0,5772,1903,0,1328,3113,0,3375,376,783,8283,0,0,54399,0,36,81564,3834,85434,117654,0.7261
7,CHIAPAS,13,COPAINALA,69,172,3378,0,3768,1971,0,1497,0,0,7409,546,338,7278,0,39748,0,0,31,65933,4103,70067,88950,0.7877
7,CHIAPAS,14,CINTALAPA,104,296,4713,0,5498,1933,0,7859,0,0,7678,1091,1947,10443,11,66885,0,0,77,108058,5263,113398,170086,0.6667
7,CHIAPAS,15,TONALA,116,300,7688,0,4057,4805,0,3164,0,0,6838,1213,327,8041,0,56386,0,0,18,92519,3768,96305,158604,0.6072
7,CHIAPAS,16,HUIXTLA,121,318,4829,0,7930,5219,0,1586,0,0,14059,1016,738,8138,0,62448,0,0,45,105963,5612,111620,169920,0.6569
7,CHIAPAS,17,MOTOZINTLA,134,367,1485,15627,7435,3555,0,1504,0,0,3591,632,142,1103,0,0,0,39972,19,75046,5188,80253,194184,0.4133
7,CHIAPAS,18,TAPACHULA NORTE,69,159,2424,0,1121,1601,0,708,0,0,10639,544,449,2198,0,17079,0,0,25,36763,2345,39133,85828,0.4559
7,CHIAPAS,19,TAPACHULA SUR,103,244,3383,0,1035,889,0,1163,0,0,15892,964,513,3311,0,27219,0,0,62,54369,2699,57130,132975,0.4296
7,CHIAPAS,20,LAS MARGARITAS,63,219,277,0,12019,617,0,597,0,0,896,392,59,3371,0,51892,0,0,18,70120,6141,76279,110274,0.6917
7,CHIAPAS,21,TENEJAPA,61,193,514,19797,9451,462,26551,367,6,2751,2648,327,402,1279,0,0,0,0,296,64555,9268,74119,94106,0.7876
7,CHIAPAS,22,CHAMULA,103,296,400,45075,6072,3329,0,279,0,0,1329,0,139,3274,0,0,0,53920,35,113817,4521,118373,149383,0.7924
7,CHIAPAS,23,VILLAFLORES,116,313,3230,0,8604,4189,0,2031,0,0,9819,1116,1325,17224,0,66498,0,0,36,114036,4913,118985,174738,0.6809
7,CHIAPAS,24,CACAHOATAN,77,189,7341,14861,3742,1853,0,2056,0,0,8139,800,335,8354,0,0,0,22773,13,70254,3349,73616,103586,0.7107
