CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PH,ES,PRI_PVEM_NVA_ALIANZA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
5,6,COLIMA,9,NO ESTABLECIDO ACUERDO 27/2014,6,ARMERIA,170,B,57,127,40,107,9,9,0,10,5,2,0,0,366,4,370,580,Acta Casilla,,,
5,6,COLIMA,9,NO ESTABLECIDO ACUERDO 27/2014,6,ARMERIA,170,C01,50,151,37,101,13,4,0,1,5,0,0,0,362,12,374,579,Acta Casilla,,,
5,6,COLIMA,9,NO ESTABLECIDO ACUERDO 27/2014,6,ARMERIA,170,C02,39,134,38,97,9,4,0,10,3,1,0,0,335,12,347,579,Acta Casilla,,,
5,6,COLIMA,9,NO ESTABLECIDO ACUERDO 27/2014,6,ARMERIA,171,B,64,93,37,90,5,5,0,16,4,3,0,0,317,15,332,506,Acta Casilla,,,
5,6,COLIMA,9,NO ESTABLECIDO ACUERDO 27/2014,6,ARMERIA,171,C01,67,95,48,87,9,2,0,7,3,6,0,0,324,5,329,506,Acta Casilla,,,
5,6,COLIMA,9,NO ESTABLECIDO ACUERDO 27/2014,6,ARMERIA,171,C02,52,86,52,94,6,3,0,14,2,3,0,0,312,11,323,505,Acta Casilla,,,
5,6,COLIMA,9,NO ESTABLECIDO ACUERDO 27/2014,6,ARMERIA,172,B,24,87,20,98,6,2,0,7,2,1,0,0,247,9,256,402,Acta Casilla,,,
5,6,COLIMA,9,NO ESTABLECIDO ACUERDO 27/2014,6,ARMERIA,172,C01,27,69,22,93,15,3,0,8,3,2,0,0,242,12,254,401,Acta Casilla,,,
5,6,COLIMA,9,NO ESTABLECIDO ACUERDO 27/2014,6,ARMERIA,173,B,33,144,37,94,13,2,0,5,5,0,0,1,333,11,345,565,Acta Casilla,,,
5,6,COLIMA,9,NO ESTABLECIDO ACUERDO 27/2014,6,ARMERIA,173,C01,43,123,34,108,7,3,0,4,3,5,0,0,330,11,341,564,Acta Casilla,,,
5,6,COLIMA,9,NO ESTABLECIDO ACUERDO 27/2014,6,ARMERIA,174,B,48,92,41,73,7,3,0,4,31,3,0,0,302,16,318,470,Acta Casilla,,,
