CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PH,ES,PRI_PVEM_NVA_ALIANZA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
5,6,COLIMA,1,NO ESTABLECIDO ACUERDO 27/2014,1,COLIMA,1,7,1002,964,60,172,39,605,190,120,48,31,0,0,3231,102,3333,4810
5,6,COLIMA,1,NO ESTABLECIDO ACUERDO 27/2015,1,COLIMA,2,2,177,165,11,41,10,83,30,16,7,8,0,0,548,15,563,784
5,6,COLIMA,2,NO ESTABLECIDO ACUERDO 27/2016,1,COLIMA,3,3,368,0,35,97,34,68,282,21,19,16,0,0,940,54,994,1587
5,6,COLIMA,2,NO ESTABLECIDO ACUERDO 27/2017,1,COLIMA,4,1,172,0,9,44,5,30,150,25,8,7,0,1,450,18,469,679
5,6,COLIMA,2,NO ESTABLECIDO ACUERDO 27/2018,1,COLIMA,5,1,136,0,8,53,7,29,106,6,7,5,0,0,357,10,367,547
5,6,COLIMA,1,NO ESTABLECIDO ACUERDO 27/2019,1,COLIMA,6,3,367,348,19,62,9,208,43,40,8,7,0,3,1111,50,1164,1714
5,6,COLIMA,2,NO ESTABLECIDO ACUERDO 27/2020,1,COLIMA,7,2,165,0,17,37,27,25,177,17,5,8,0,0,478,20,498,790
5,6,COLIMA,2,NO ESTABLECIDO ACUERDO 27/2021,1,COLIMA,8,2,258,0,23,48,15,54,296,27,6,10,0,1,737,29,767,1100
5,6,COLIMA,2,NO ESTABLECIDO ACUERDO 27/2022,1,COLIMA,9,2,214,0,14,61,20,52,209,24,8,9,0,0,611,37,648,893
5,6,COLIMA,2,NO ESTABLECIDO ACUERDO 27/2023,1,COLIMA,10,2,247,0,14,84,19,50,225,10,16,14,0,1,679,28,708,1168
5,6,COLIMA,2,NO ESTABLECIDO ACUERDO 27/2024,1,COLIMA,11,1,139,0,12,29,7,44,109,17,6,3,0,0,366,21,387,584
5,6,COLIMA,1,NO ESTABLECIDO ACUERDO 27/2025,1,COLIMA,12,2,163,137,14,35,7,108,36,13,3,8,0,0,524,24,548,794
5,6,COLIMA,1,NO ESTABLECIDO ACUERDO 27/2026,1,COLIMA,13,2,288,284,27,62,14,183,73,35,10,9,0,1,985,30,1016,1424
5,6,COLIMA,2,NO ESTABLECIDO ACUERDO 27/2027,1,COLIMA,14,2,235,0,16,36,17,39,176,14,16,8,0,1,557,27,585,906
5,6,COLIMA,2,NO ESTABLECIDO ACUERDO 27/2028,1,COLIMA,15,1,127,0,8,27,5,18,106,11,7,5,0,0,314,9,323,493
5,6,COLIMA,2,NO ESTABLECIDO ACUERDO 27/2029,1,COLIMA,16,1,149,0,14,20,17,46,139,10,5,14,0,0,414,13,427,635
5,6,COLIMA,2,NO ESTABLECIDO ACUERDO 27/2030,1,COLIMA,17,1,181,0,12,42,14,23,119,6,7,4,0,2,408,24,434,686
5,6,COLIMA,2,NO ESTABLECIDO ACUERDO 27/2031,1,COLIMA,18,2,221,0,14,66,15,43,197,22,10,5,0,2,593,31,626,895
5,6,COLIMA,2,NO ESTABLECIDO ACUERDO 27/2032,1,COLIMA,19,2,223,0,32,63,15,57,258,15,7,6,0,3,676,31,710,950
5,6,COLIMA,2,NO ESTABLECIDO ACUERDO 27/2033,1,COLIMA,20,2,229,0,13,55,17,68,255,16,2,9,0,0,664,26,690,987
5,6,COLIMA,2,NO ESTABLECIDO ACUERDO 27/2034,1,COLIMA,21,2,297,0,15,56,15,91,207,28,9,12,0,0,730,34,764,1072
5,6,COLIMA,1,NO ESTABLECIDO ACUERDO 27/2035,1,COLIMA,22,2,166,140,12,40,16,67,13,11,1,2,0,0,468,11,479,829
5,6,COLIMA,1,NO ESTABLECIDO ACUERDO 27/2036,1,COLIMA,23,3,436,309,16,90,41,87,36,26,13,17,0,1,1071,57,1129,2020
5,6,COLIMA,1,NO ESTABLECIDO ACUERDO 27/2037,1,COLIMA,24,6,868,529,38,213,138,215,75,61,20,22,0,3,2179,80,2262,4001
5,6,COLIMA,2,NO ESTABLECIDO ACUERDO 27/2038,1,COLIMA,25,2,250,0,23,71,19,63,161,13,18,9,0,0,627,25,652,1062
5,6,COLIMA,2,NO ESTABLECIDO ACUERDO 27/2039,1,COLIMA,26,2,228,0,10,59,20,43,167,12,8,2,0,0,549,32,581,902
5,6,COLIMA,2,NO ESTABLECIDO ACUERDO 27/2040,1,COLIMA,27,2,185,0,11,36,12,50,180,20,10,7,0,0,511,14,525,768
5,6,COLIMA,2,NO ESTABLECIDO ACUERDO 27/2041,1,COLIMA,28,2,126,0,6,19,13,33,135,27,4,5,0,1,368,19,388,512
5,6,COLIMA,2,NO ESTABLECIDO ACUERDO 27/2042,1,COLIMA,29,1,165,0,10,46,14,32,177,15,3,6,0,0,468,25,493,695
5,6,COLIMA,2,NO ESTABLECIDO ACUERDO 27/2043,1,COLIMA,30,1,126,0,7,20,6,19,88,3,3,4,0,0,276,7,283,469
5,6,COLIMA,2,NO ESTABLECIDO ACUERDO 27/2044,1,COLIMA,31,2,240,0,32,53,16,26,212,19,11,5,0,0,614,29,643,974
5,6,COLIMA,2,NO ESTABLECIDO ACUERDO 27/2045,1,COLIMA,32,2,265,0,16,72,19,46,225,21,10,11,0,0,685,31,716,1221
5,6,COLIMA,2,NO ESTABLECIDO ACUERDO 27/2046,1,COLIMA,33,2,341,0,32,63,21,60,367,28,19,13,0,0,944,23,967,1354
5,6,COLIMA,2,NO ESTABLECIDO ACUERDO 27/2047,1,COLIMA,34,2,249,0,19,80,17,72,293,30,23,6,0,1,789,26,816,1130
5,6,COLIMA,2,NO ESTABLECIDO ACUERDO 27/2048,1,COLIMA,35,2,313,0,29,58,28,46,211,20,21,7,0,1,733,45,779,1288
5,6,COLIMA,1,NO ESTABLECIDO ACUERDO 27/2049,1,COLIMA,36,2,313,177,20,40,17,64,37,23,14,5,0,0,710,32,742,1364
5,6,COLIMA,1,NO ESTABLECIDO ACUERDO 27/2050,1,COLIMA,37,3,476,338,27,72,38,101,35,37,14,9,0,0,1147,48,1195,2142
5,6,COLIMA,2,NO ESTABLECIDO ACUERDO 27/2051,1,COLIMA,38,2,207,0,10,45,12,37,137,13,7,10,0,0,478,36,514,887
5,6,COLIMA,2,NO ESTABLECIDO ACUERDO 27/2052,1,COLIMA,39,1,118,0,11,20,12,23,107,6,3,4,0,0,304,13,317,514
5,6,COLIMA,2,NO ESTABLECIDO ACUERDO 27/2053,1,COLIMA,40,1,115,0,11,31,15,31,101,9,3,2,0,0,318,21,339,585
