ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PH,ES,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,PRI_PVEM,PRD_PT_NVA_ALIANZA,PRD_PT,PRD_NVA_ALIANZA,PT_NVA_ALIANZA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
9,DISTRITO FEDERAL,1,,108,258,3272,4524,17817,3280,1039,3632,1792,17059,1648,3450,0,0,0,0,149,0,184,0,0,104,57846,3253,61203,160717,0.3808
9,DISTRITO FEDERAL,2,,190,352,15866,9164,13443,3556,1146,2943,2553,20673,2813,5811,0,0,0,0,380,0,243,0,0,223,78591,6192,85006,192158,0.4424
9,DISTRITO FEDERAL,3,,184,347,13297,9771,15496,3568,1352,2367,3243,20919,3155,5785,0,0,0,0,298,0,349,0,0,541,79600,5744,85885,194440,0.4417
9,DISTRITO FEDERAL,4,,182,376,7498,8980,17185,5166,1393,2687,4451,24460,2954,6141,0,0,0,0,260,0,139,0,0,238,81314,5643,87195,214703,0.4061
9,DISTRITO FEDERAL,5,,162,311,13312,8403,11241,4368,1205,1788,2185,17437,2384,5270,0,0,0,0,306,0,130,0,0,171,68029,5054,73254,165267,0.4432
9,DISTRITO FEDERAL,6,,170,356,7638,11783,15126,3913,1284,8493,2534,24352,2759,6262,0,0,0,0,332,0,96,0,0,306,84572,6026,90904,205719,0.4419
9,DISTRITO FEDERAL,7,,203,371,14704,10857,11103,3868,1436,2300,2773,19315,3340,5730,3661,0,0,0,254,0,166,0,0,383,79507,6205,86095,196216,0.4388
9,DISTRITO FEDERAL,8,,145,328,17186,7016,29374,3465,1286,1678,1758,13149,2529,4325,0,0,0,0,259,0,315,0,0,276,82340,5602,88218,191570,0.4605
9,DISTRITO FEDERAL,9,,151,319,8100,15288,13706,3052,1032,2052,1909,23321,2684,5324,0,0,0,0,257,44,77,5,1,256,76852,5707,82815,186254,0.4446
9,DISTRITO FEDERAL,10,,165,335,8833,9159,22012,4414,1140,6552,2142,15516,2574,5505,0,0,0,0,248,0,127,0,0,216,78222,5846,84284,192958,0.4368
9,DISTRITO FEDERAL,11,,169,338,6710,8265,24337,3458,1351,8041,2277,16296,2495,5102,0,0,0,0,224,0,268,0,0,191,78824,5220,84235,194160,0.4338
9,DISTRITO FEDERAL,12,,174,353,10115,13820,15873,3217,1131,2359,2026,21879,3507,5420,0,0,0,0,374,135,137,36,32,277,80061,6402,86740,198258,0.4375
9,DISTRITO FEDERAL,13,,178,332,25538,9750,9234,2493,877,1930,1352,13426,1833,2955,0,0,0,4649,245,0,112,0,0,379,74394,6895,81668,183195,0.4458
9,DISTRITO FEDERAL,14,,151,318,6045,8289,17072,3087,1704,5129,2091,18334,2507,5321,0,0,0,0,347,0,0,0,0,207,69926,5011,75144,176777,0.4251
9,DISTRITO FEDERAL,15,,146,282,8717,7551,15306,3333,1262,3828,2526,15740,2616,5270,0,0,0,0,360,0,0,0,0,173,66509,5297,71979,161518,0.4456
9,DISTRITO FEDERAL,16,,126,291,22731,8915,5017,3866,1132,5109,2730,15978,2984,5114,0,0,0,0,238,0,59,0,0,386,73873,7416,81675,173001,0.4721
9,DISTRITO FEDERAL,17,,128,294,29942,9241,3908,2539,772,4369,1626,13274,2881,4224,0,0,0,0,173,0,27,0,0,409,72976,8128,81513,172162,0.4735
