ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PH,ES,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
9,DISTRITO FEDERAL,2,AZCAPOTZALCO,345,654,26839,19047,30843,6798,2087,3182,4748,40398,4436,9080,0,0,0,0,0,0,0,387,147458,9362,157207,356954,0.4404
9,DISTRITO FEDERAL,3,COYOACAN,403,933,42735,29622,61524,7586,3402,10794,5184,59242,7584,12301,0,0,0,0,0,0,0,961,239974,19161,260096,546694,0.4758
9,DISTRITO FEDERAL,4,CUAJIMALPA DE MORELOS,75,239,18361,21563,12639,3493,557,780,865,7328,1177,1581,2431,0,0,0,0,0,0,244,70775,3327,74346,149705,0.4966
9,DISTRITO FEDERAL,5,GUSTAVO A. MADERO,856,1778,48066,43884,99691,16976,6496,15728,12857,105180,9799,22243,0,16450,0,0,0,0,0,1252,397370,25598,424220,1005640,0.4218
9,DISTRITO FEDERAL,6,IZTACALCO,296,584,13167,18385,34271,6331,2482,9464,3851,31933,4372,8735,0,0,0,0,0,0,0,309,132991,9168,142468,329135,0.4329
9,DISTRITO FEDERAL,7,IZTAPALAPA,1001,2310,34029,43377,199077,19190,12523,14635,13310,198063,13404,30428,0,0,0,0,0,0,0,1078,578036,34226,613340,1375852,0.4458
9,DISTRITO FEDERAL,8,LA MAGDALENA CONTRERAS,147,321,10142,20356,18449,2928,1195,3719,1618,17901,1964,3253,0,0,0,0,0,0,0,200,81525,5353,87078,183158,0.4754
9,DISTRITO FEDERAL,9,MILPA ALTA,44,148,602,15519,6681,1075,759,12201,423,4696,376,667,0,0,0,583,2874,170,474,92,47100,1736,48928,96453,0.5073
9,DISTRITO FEDERAL,10,ALVARO OBREGON,445,974,41861,27079,54785,21502,3764,6508,6500,46238,7437,12244,0,0,0,0,0,0,0,607,227918,17188,245713,563197,0.4363
9,DISTRITO FEDERAL,11,TLAHUAC,145,447,6915,11546,17824,6098,1418,13332,2886,32199,2286,5039,0,0,0,0,0,0,0,142,99543,5522,105207,275197,0.3823
9,DISTRITO FEDERAL,12,TLALPAN,354,871,35296,23012,48515,9507,3573,4728,3805,67236,6006,10061,0,0,0,0,0,0,0,588,211739,15445,227772,518219,0.4395
9,DISTRITO FEDERAL,13,XOCHIMILCO,171,510,9696,17133,17496,9201,3314,12080,3211,37515,3053,5661,0,0,0,0,0,0,0,297,118360,7612,126269,315523,0.4002
9,DISTRITO FEDERAL,14,BENITO JUAREZ,254,592,63832,17040,13002,6754,1963,7249,2710,26795,4419,7058,0,0,0,0,0,0,0,622,150822,12636,164080,349222,0.4698
9,DISTRITO FEDERAL,15,CUAUHTEMOC,389,806,23728,30714,39139,5880,2202,4655,4127,59386,6322,10691,0,0,0,0,0,0,0,801,186844,13648,201293,459536,0.4380
9,DISTRITO FEDERAL,16,MIGUEL HIDALGO,258,536,46072,9505,38308,3692,1476,2027,2438,16740,2763,0,0,0,9430,0,0,0,0,329,132451,7033,139813,304364,0.4594
9,DISTRITO FEDERAL,17,VENUSTIANO CARRANZA,336,689,12882,15915,56276,6272,2223,25699,3179,27800,3768,8097,0,0,0,0,0,0,0,373,162111,9682,172166,396884,0.4338
