ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,MORENA,PH,ES,PPG,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
12,GUERRERO,1,CHILPANCINGO DE LOS BRAVO,46,140,859,14472,8594,1010,1273,2131,1320,2128,1671,565,939,24,34962,2575,37561,83128,0.4518
12,GUERRERO,2,CHILPANCINGO DE LOS BRAVO,57,155,997,16603,10523,1209,1762,2195,1026,3055,0,982,1223,74,39575,3081,42730,91879,0.465
12,GUERRERO,3,ACAPULCO DE JUAREZ,69,175,4911,12143,9312,1155,3478,4453,1396,2681,490,1145,859,87,42023,3063,45173,96657,0.4673
12,GUERRERO,4,ACAPULCO DE JUAREZ,79,172,4084,12582,10466,1185,2253,3634,1349,2333,724,1819,708,49,41137,2854,44040,95120,0.4629
12,GUERRERO,5,ACAPULCO DE JUAREZ,58,154,2371,10691,11470,1618,1568,3411,641,1686,303,519,513,40,34791,2247,37078,92768,0.3996
12,GUERRERO,6,ACAPULCO DE JUAREZ,53,140,2489,13645,9394,1139,2158,2811,977,1909,338,555,692,41,36107,2359,38507,86249,0.4464
12,GUERRERO,7,ACAPULCO DE JUAREZ,39,147,2656,17046,0,7263,2937,2835,912,1493,504,1336,689,42,37671,2381,40094,91593,0.4377
12,GUERRERO,8,ACAPULCO DE JUAREZ,80,154,1877,15197,6730,694,6658,6070,707,1264,2963,279,425,22,42864,2374,45260,81115,0.5579
12,GUERRERO,9,ACAPULCO DE JUAREZ,62,146,1960,12325,12167,1832,2396,2959,1437,1697,541,638,551,22,38503,3074,41599,83615,0.4975
12,GUERRERO,10,TECPAN DE GALEANA,119,183,335,19656,16538,351,1326,3777,1207,2789,357,0,707,20,47043,2247,49310,85282,0.5781
12,GUERRERO,11,ZIHUATANEJO DE AZUETA,108,180,819,14602,18694,932,1150,2500,839,1915,681,517,322,44,42971,1923,44938,85811,0.5236
12,GUERRERO,12,ZIHUATANEJO DE AZUETA,101,179,674,12461,18967,598,3874,3082,1619,1863,864,662,369,17,45033,1709,46759,84840,0.5511
12,GUERRERO,13,SAN MARCOS,110,171,6148,11093,9451,3286,14821,2772,1248,1763,1313,157,520,31,52572,4052,56655,81432,0.6957
12,GUERRERO,14,AYUTLA DE LOS LIBRES,100,156,310,6364,21265,1019,12680,2317,791,652,679,0,2122,53,48199,2668,50920,74737,0.6813
12,GUERRERO,15,SAN LUIS ACATLAN,105,166,2433,12966,14804,1612,4006,8791,1158,1685,975,374,635,20,49439,3027,52486,75802,0.6924
12,GUERRERO,16,OMETEPEC,67,138,8652,14894,12661,3549,1076,3526,562,1455,800,644,264,28,48083,2318,50429,70916,0.7111
12,GUERRERO,17,COYUCA DE CATALAN,160,208,658,24353,23086,756,1507,4479,245,1114,157,77,57,5,56489,1725,58219,89337,0.6516
12,GUERRERO,18,PUNGARABATO,150,222,549,25182,28289,402,443,517,685,3168,110,0,154,6,59499,1582,61087,97275,0.6279
12,GUERRERO,19,EDUARDO NERI,96,149,2587,18252,16678,540,620,1798,458,986,471,0,487,10,42877,2010,44897,70045,0.6409
12,GUERRERO,20,TELOLOAPAN,184,222,501,11135,14144,2022,852,13045,3483,1385,212,443,200,76,47422,2312,49810,79678,0.6251
12,GUERRERO,21,TAXCO DE ALARCON,126,203,15103,18187,4105,2561,3237,1436,2204,1245,1078,0,5752,36,54908,2767,57711,96929,0.5953
12,GUERRERO,22,IGUALA DE LA INDEPENDENCIA,71,164,954,14322,7624,1804,2205,5694,1113,2303,480,2093,457,37,39049,2427,41513,93531,0.4438
12,GUERRERO,23,IGUALA DE LA INDEPENDENCIA,112,182,4829,16202,7915,7436,2100,7082,1047,1819,1237,470,335,21,50472,2546,53039,90270,0.5875
12,GUERRERO,24,TIXTLA DE GUERRERO,118,178,867,11398,15045,565,2819,8348,1339,935,435,214,1493,12,43458,3456,46926,84857,0.553
12,GUERRERO,25,CHILAPA DE ALVAREZ,84,163,719,18843,15573,1293,1199,1703,1571,1306,654,0,466,36,43327,3051,46414,79940,0.5806
12,GUERRERO,26,ATLIXTAC,117,188,8672,17103,19370,1627,589,4619,2321,1863,1549,199,180,19,58092,3098,61209,81986,0.7465
12,GUERRERO,27,TLAPA DE COMONFORT,94,188,0,19480,16634,7709,955,1313,1449,2281,602,418,1226,17,52067,2817,54901,97902,0.5607
12,GUERRERO,28,TLAPA DE COMONFORT,102,177,256,13300,14929,10320,1203,6493,289,978,137,321,366,8,48592,3309,51909,78808,0.6586
