ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PH,ES,CAND_IND1,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
14,JALISCO,18,AUTLÁN DE NAVARRO,233,505,40826,56761,8209,4401,2368,35596,5642,4449,4554,1914,,48,164720,4653,169421,293845,0.5766
14,JALISCO,1,COLOTLÁN,220,479,43266,51496,11952,5788,6981,33265,6206,4363,1283,1828,0,49,166428,4039,170516,270340,0.6307
14,JALISCO,8,GUADALAJARA,162,358,18998,29484,1745,3484,1879,43440,3551,3120,2114,3608,,131,111423,4190,115744,210220,0.5506
14,JALISCO,9,GUADALAJARA,140,351,9988,30415,1631,3561,2410,43842,5875,2844,2708,2629,0,76,105903,3030,109009,219298,0.4971
14,JALISCO,11,GUADALAJARA,153,351,11334,32258,2026,3328,2117,45432,3712,2915,2142,2741,0,97,108005,2894,110996,214769,0.5168
14,JALISCO,12,GUADALAJARA,197,376,23178,22302,2124,4238,1469,49589,2959,3184,2105,4417,,181,115565,3964,119710,216097,0.5540
14,JALISCO,13,GUADALAJARA,187,374,13031,28726,1375,3609,2214,44565,3715,2869,2281,3134,0,91,105519,3094,108704,208077,0.5224
14,JALISCO,14,GUADALAJARA,146,339,11055,23727,2172,6491,2055,44533,2817,2401,1705,2678,,104,99634,2831,102569,203536,0.5039
14,JALISCO,17,JOCOTEPEC,206,515,31768,53220,7300,10611,2952,52529,4058,6367,1398,2017,0,90,172220,4845,177155,304805,0.5812
14,JALISCO,15,LA BARCA,193,472,36185,52490,8750,7184,2073,19568,6001,3840,2957,8475,,46,147523,4305,151874,284482,0.5339
14,JALISCO,2,LAGOS DE MORENO,192,470,51041,46051,3403,9917,902,26035,3894,2505,1573,1369,0,85,146690,4677,151452,278018,0.5448
14,JALISCO,5,PUERTO VALLARTA,197,530,30600,47959,8549,5207,3037,57396,2825,3642,2846,1640,0,64,163701,4588,168353,319764,0.5265
14,JALISCO,7,SAN PEDRO TLAQUEPAQUE,220,783,23219,47188,20027,7159,3996,95686,4874,4532,3495,7941,0,409,218117,6881,225407,508000,0.4437
14,JALISCO,16,SAN PEDRO TLAQUEPAQUE,140,514,16443,43165,2176,6036,3484,43133,3947,5661,2677,4115,,107,130837,4148,135092,319258,0.4231
14,JALISCO,3,TEPATITLÁN DE MORELOS,200,483,46133,48841,2692,7294,835,29450,4026,1414,4490,5560,0,70,150735,5177,155982,290045,0.5378
14,JALISCO,20,TONALÁ,84,460,17240,40724,2711,5198,3720,31123,4765,3592,3354,4455,,97,116882,4530,121509,310250,0.3916
14,JALISCO,4,ZAPOPAN,96,388,13618,38883,1649,3710,2270,35785,3417,3132,2445,3620,0,81,108529,3660,112270,259491,0.4327
14,JALISCO,6,ZAPOPAN,214,646,27066,43932,2450,7813,2701,60454,4951,5340,4275,7793,0,365,166775,5760,172900,412490,0.4192
14,JALISCO,10,ZAPOPAN,137,445,19573,21648,1102,3333,941,34614,2079,2533,1422,3674,57215,358,148134,3975,152467,291983,0.5222
14,JALISCO,19,ZAPOTLÁN EL GRANDE,242,504,23942,42380,38003,4857,3136,32536,7541,5647,3162,2426,,36,163630,4699,168365,283838,0.5932
