ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PH,ES,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
14,JALISCO,1,COLOTLÁN,3,3,62,51,6,4,3,88,5,19,6,7,2,252,84,338,0
14,JALISCO,2,LAGOS DE MORENO,2,2,56,57,4,8,5,70,8,16,9,12,0,245,9,254,0
14,JALISCO,3,TEPATITLÁN DE MORELOS,2,2,40,25,0,4,1,41,6,2,1,4,1,124,5,130,0
14,JALISCO,4,ZAPOPAN,1,1,37,56,3,7,3,96,7,17,11,16,0,253,14,267,0
14,JALISCO,5,PUERTO VALLARTA,2,3,127,93,13,15,8,258,19,28,21,24,0,610,12,622,0
14,JALISCO,6,ZAPOPAN,2,2,82,108,6,11,8,154,17,18,15,15,0,434,24,458,0
14,JALISCO,7,SAN PEDRO TLAQUEPAQUE,3,3,33,57,13,17,7,168,14,13,9,6,6,338,16,360,0
14,JALISCO,8,GUADALAJARA,1,1,37,141,22,18,2,131,11,14,7,11,0,394,12,406,0
14,JALISCO,9,GUADALAJARA,1,1,16,73,5,15,5,188,17,13,16,16,0,364,17,381,0
14,JALISCO,10,ZAPOPAN,2,2,40,54,6,11,1,140,8,12,7,10,38,289,60,387,0
14,JALISCO,11,GUADALAJARA,1,1,9,55,5,3,2,77,7,8,7,6,0,179,4,183,0
14,JALISCO,12,GUADALAJARA,2,2,12,11,15,6,0,48,2,5,1,6,0,106,1,107,0
14,JALISCO,13,GUADALAJARA,2,2,86,148,9,26,23,363,39,45,18,33,2,790,21,813,0
14,JALISCO,14,GUADALAJARA,1,1,39,84,8,12,5,107,23,6,5,12,0,301,14,315,0
14,JALISCO,15,LA BARCA,2,2,74,72,25,10,12,103,28,24,15,13,1,376,13,390,0
14,JALISCO,16,SAN PEDRO TLAQUEPAQUE,3,3,90,229,18,23,20,247,24,25,17,36,1,729,29,759,0
14,JALISCO,17,JOCOTEPEC,5,5,98,132,16,14,11,270,24,28,13,28,3,634,41,678,0
14,JALISCO,18,AUTLÁN DE NAVARRO,4,4,99,117,49,8,10,199,25,15,22,24,12,570,16,598,0
14,JALISCO,19,ZAPOTLÁN EL GRANDE,2,2,103,84,36,9,8,126,17,20,20,11,9,434,4,447,0
14,JALISCO,20,TONALÁ,2,2,85,148,14,34,11,124,16,19,22,21,1,494,20,515,0
