ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,MORENA,PH,ES,CAND_IND6,PRI_PVEM,CC_PRD_PT_PH_ES,CC_PRD_PT_PH,CC_PRD_PT_ES,CC_PT_PH_ES,CC_PRD_PT,CC_PRD_ES,CC_PRD_NVA_ALIANZA,CC_PT_ES,CC_PAN_PT,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
16,MICHOACAN,49,LAGUNILLAS,4,9,1620,453,1167,12,32,16,10,39,0,12,0,15,0,0,0,0,44,0,0,0,0,1,3420,138,3559,4753,0.7488
16,MICHOACAN,50,LÁZARO CÁRDENAS,65,216,6848,17624,15463,903,1293,0,1472,4362,733,1129,2076,183,0,0,0,0,157,0,0,0,0,68,52243,2125,54436,130581,0.4169
16,MICHOACAN,51,MADERO,14,23,2839,2338,2884,72,85,0,75,36,0,30,0,28,0,0,79,0,0,0,0,0,0,6,8466,355,8827,12949,0.6817
16,MICHOACAN,52,MARAVATÍO,44,105,5415,4906,9251,539,576,2130,1902,983,290,601,0,146,0,0,0,0,344,0,0,0,0,17,27083,1725,28825,58773,0.4904
16,MICHOACAN,53,MARCOS CASTELLANOS,11,19,3087,2267,380,28,62,59,44,70,0,14,0,20,0,0,5,0,0,0,0,0,0,2,6036,167,6205,9218,0.6731
16,MICHOACAN,54,MORELIA,351,944,68150,62266,39989,9805,15265,11471,5487,17471,8755,10007,0,1426,0,0,0,0,783,0,0,242,0,817,251117,23323,275257,563812,0.4882
16,MICHOACAN,55,MORELOS,9,16,1008,868,1160,179,72,0,648,121,0,36,0,4,0,0,0,0,0,0,0,0,0,4,4096,292,4392,7521,0.584
16,MICHOACAN,56,MÚGICA,24,54,1266,7431,7484,116,138,78,291,455,0,48,0,110,0,0,0,0,0,0,0,0,49,10,17466,630,18106,31771,0.5699
16,MICHOACAN,57,NAHUÁTZEN,15,34,879,3456,4500,252,142,1862,163,1822,0,51,0,24,0,0,78,0,0,0,0,0,0,32,13229,656,13917,18897,0.7365
16,MICHOACAN,58,NOCUPÉTARO,13,17,175,2290,2564,104,27,4,9,74,6,4,0,34,0,0,0,0,0,0,0,0,0,1,5291,187,5479,7015,0.781
16,MICHOACAN,59,NUEVO PARANGARICUTIRO,11,25,871,4066,3127,69,107,37,76,205,138,29,0,21,0,0,48,0,0,0,0,0,0,0,8794,205,8999,12994,0.6926
16,MICHOACAN,60,NUEVO URECHO,9,13,142,1520,2038,60,101,8,40,54,0,9,0,48,0,0,0,0,0,0,0,0,8,3,4028,138,4169,5777,0.7217
16,MICHOACAN,1,ACUITZIO,10,16,1084,1060,1869,129,218,0,242,110,0,131,0,31,0,0,39,0,0,0,0,0,0,8,4913,360,5281,8166,0.6467
16,MICHOACAN,2,AGUILILLA,13,23,307,2356,3405,70,60,0,24,193,25,11,0,16,29,0,0,0,0,0,0,0,0,4,6496,235,6735,12396,0.5433
16,MICHOACAN,3,ÁLVARO OBREGÓN,12,28,906,3472,1059,3931,203,49,367,221,0,78,0,19,0,0,0,0,61,0,0,0,0,3,10366,330,10699,15658,0.6833
16,MICHOACAN,4,ANGAMACUTIRO,14,23,308,2349,4214,314,55,0,26,109,0,21,0,21,0,0,0,0,0,0,0,0,0,3,7417,196,7616,12290,0.6197
16,MICHOACAN,5,ANGANGUEO,6,13,369,2124,529,1413,501,40,39,202,119,14,0,14,0,0,0,0,46,0,0,0,0,1,5410,184,5595,7564,0.7397
16,MICHOACAN,6,APATZINGÁN,80,167,9083,11328,8346,3585,798,1518,671,3219,0,2634,0,224,0,0,0,0,0,0,0,0,0,43,41406,1883,43332,87682,0.4942
16,MICHOACAN,7,APORO,4,6,649,626,468,105,10,7,6,45,4,47,0,6,0,0,0,0,5,0,0,0,0,0,1978,97,2075,2562,0.8099
16,MICHOACAN,8,AQUILA,13,32,1260,631,3625,838,3739,0,50,21,34,7,0,22,205,0,0,0,0,0,0,0,0,5,10432,232,10669,17926,0.5952
16,MICHOACAN,9,ARIO,21,44,4354,4177,2055,245,2306,0,222,169,0,139,0,38,0,0,125,0,0,0,0,0,0,1,13830,800,14631,24209,0.6044
16,MICHOACAN,10,ARTEAGA,14,35,385,4045,4848,58,76,102,282,159,0,19,0,87,0,0,0,0,0,3,0,0,0,4,10064,311,10379,16096,0.6448
16,MICHOACAN,11,BRISEÑAS,6,11,314,1116,982,1496,43,63,285,90,0,16,0,2,0,0,12,0,0,0,0,0,0,0,4419,92,4511,6363,0.7089
16,MICHOACAN,12,BUENAVISTA,23,50,1955,4151,4518,420,240,0,119,1352,1668,74,0,51,83,0,0,0,0,0,0,0,0,6,14631,663,15300,29291,0.5223
16,MICHOACAN,13,CARÁCUARO,12,16,144,2092,2078,38,50,11,20,21,35,12,0,20,0,0,0,0,0,2,0,0,0,1,4523,231,4755,7178,0.6624
16,MICHOACAN,14,COAHUAYANA,12,18,623,1244,1757,39,69,0,1266,131,35,12,0,130,13,0,0,0,0,0,0,0,0,2,5319,163,5484,9747,0.5626
16,MICHOACAN,15,COALCOMÁN DE VÁZQUEZ PALLARES,17,29,1282,2918,3669,68,122,0,143,246,47,12,0,65,59,0,0,0,0,0,0,0,0,1,8631,283,8915,13797,0.6462
16,MICHOACAN,16,COENEO,29,41,2551,1959,3572,670,113,69,79,326,0,31,0,11,0,0,29,0,0,0,0,0,0,6,9410,523,9939,18567,0.5353
16,MICHOACAN,17,CONTEPEC,13,37,3018,4692,4450,219,113,1284,202,306,48,76,0,45,0,0,0,0,106,0,0,0,0,24,14559,444,15027,21831,0.6883
16,MICHOACAN,18,COPÁNDARO,6,12,1015,1092,1033,968,50,0,56,130,0,29,0,5,0,0,0,0,0,0,0,0,0,1,4378,185,4564,7069,0.6456
16,MICHOACAN,19,COTIJA,19,38,1507,1490,1992,726,2037,97,69,53,0,17,0,203,0,0,275,0,0,0,0,0,0,1,8466,341,8808,16379,0.5378
16,MICHOACAN,20,CUITZEO,16,38,1772,2607,3122,391,526,1812,186,451,0,259,0,119,0,0,0,0,50,0,0,0,0,18,11295,698,12011,21396,0.5614
16,MICHOACAN,21,CHARAPAN,6,14,113,1215,1456,2062,53,27,68,453,0,12,0,20,0,0,30,0,0,0,0,0,0,4,5509,192,5705,8568,0.6658
16,MICHOACAN,22,CHARO,15,27,2926,2276,2685,71,217,534,76,623,0,63,0,81,0,0,0,0,116,0,0,0,0,2,9668,424,10094,15205,0.6639
16,MICHOACAN,23,CHAVINDA,11,17,662,1954,689,16,784,28,22,33,15,19,0,601,0,233,0,0,0,0,0,0,0,1,5056,187,5244,8614,0.6088
16,MICHOACAN,24,CHERÁN,2,4,20,469,404,26,23,7,62,55,0,23,0,9,0,0,8,0,0,0,0,0,0,0,1106,40,1146,1994,0.5747
16,MICHOACAN,25,CHILCHOTA,17,41,864,4728,3297,317,612,358,107,820,209,2395,0,20,0,47,0,0,0,0,0,0,0,4,13774,679,14457,24773,0.5836
16,MICHOACAN,26,CHINICUILA,8,11,195,959,1458,21,22,0,10,15,5,3,0,34,25,0,0,0,0,0,0,0,0,3,2747,56,2806,3898,0.7199
16,MICHOACAN,27,CHUCÁNDIRO,6,11,323,886,1254,23,39,0,14,109,0,9,0,18,0,0,0,0,0,0,0,0,0,0,2675,134,2809,4886,0.5749
