CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PVEM,NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,PRI_PVEM_NVA_ALIANZA,PRD,PT,MC,PSD,MORENA,ES,PH,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
,17,MORELOS,1,CUERNAVACA NORTE,7,CUERNAVACA,188,5,329,232,103,40,,,,,254,15,80,232,126,83,49,3,1543,113,1659,3275
,17,MORELOS,1,CUERNAVACA NORTE,7,CUERNAVACA,189,2,113,110,52,21,,,,,92,5,46,75,63,24,23,0,624,51,675,1442
,17,MORELOS,1,CUERNAVACA NORTE,7,CUERNAVACA,190,4,232,236,121,32,,,,,137,15,70,139,148,52,37,3,1219,106,1328,2803
,17,MORELOS,1,CUERNAVACA NORTE,7,CUERNAVACA,191,3,146,149,75,21,,,,,135,17,45,127,94,37,31,3,877,55,935,2001
,17,MORELOS,1,CUERNAVACA NORTE,7,CUERNAVACA,192,3,168,152,60,23,,,,,177,14,46,165,111,57,37,3,1010,61,1074,2150
,17,MORELOS,1,CUERNAVACA NORTE,7,CUERNAVACA,193,5,206,265,106,36,,,,,220,10,84,218,157,67,42,5,1411,85,1501,3018
,17,MORELOS,1,CUERNAVACA NORTE,7,CUERNAVACA,200,3,131,114,78,17,,,,,153,15,43,95,123,57,40,6,866,57,929,1823
,17,MORELOS,1,CUERNAVACA NORTE,7,CUERNAVACA,201,2,101,118,49,14,,,,,135,9,31,108,70,32,24,2,691,56,749,1431
,17,MORELOS,1,CUERNAVACA NORTE,7,CUERNAVACA,202,3,154,141,58,24,,,,,171,13,57,152,98,62,30,2,960,66,1028,2086
,17,MORELOS,1,CUERNAVACA NORTE,7,CUERNAVACA,203,3,124,99,57,22,,,,,137,12,34,107,86,46,30,1,754,50,805,1663
,17,MORELOS,1,CUERNAVACA NORTE,7,CUERNAVACA,204,3,133,120,85,16,,,,,128,11,52,114,149,65,27,4,900,106,1010,2062
,17,MORELOS,1,CUERNAVACA NORTE,7,CUERNAVACA,205,4,181,159,66,29,,,,,134,19,68,124,138,78,37,5,1033,131,1169,2500
,17,MORELOS,1,CUERNAVACA NORTE,7,CUERNAVACA,206,3,187,183,53,13,,,,,162,3,37,96,57,55,41,4,887,47,938,1633
