ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,PD,CC,MORENA,PH,ES,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,CAND_IND22,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
19,NUEVO LEON,1, ABASOLO,2,4,56,485,558,18,121,486,0,0,0,22,0,0,,,,,,,,,,,,1746,28,1774,2210,0.803
19,NUEVO LEON,2, AGUALEGUAS,9,10,1202,742,0,0,816,0,0,0,0,0,0,0,,,,,,,,,,,,2760,32,2792,3792,0.736
19,NUEVO LEON,3, LOS ALDAMAS,7,5,545,646,0,0,305,0,0,0,0,0,0,0,,,,,,,,,,,,1496,5,1501,2214,0.678
19,NUEVO LEON,4, ALLENDE,19,42,8078,5435,0,169,245,174,94,0,0,158,0,0,,,,,,,,,,,,14353,309,14662,24878,0.589
19,NUEVO LEON,5, ANAHUAC,20,25,2810,3184,0,264,75,32,104,0,0,113,1836,0,,,,,,,,,,,,8418,172,8590,14047,0.678
19,NUEVO LEON,6, APODACA,288,628,55838,64171,2924,3566,8073,17586,5480,0,0,3314,3490,0,18825,,,,,,,,,,,183267,3343,186610,360935,0.537
19,NUEVO LEON,7, ARAMBERRI,17,26,3068,5699,15,0,80,16,53,16,0,0,0,317,,,,,,,,,,,,9264,290,9554,11719,0.815
19,NUEVO LEON,8, BUSTAMANTE,4,5,1029,811,0,0,9,0,763,0,0,23,0,0,,,,,,,,,,,,2635,18,2653,3238,0.819
19,NUEVO LEON,9, CADEREYTA JIMENEZ,46,116,10709,10159,121,315,10412,301,277,61,0,209,1134,0,,,,,,,,,,,,33698,733,34431,66345,0.552
19,NUEVO LEON,10, EL CARMEN,4,20,1837,1941,250,1754,92,996,57,14,0,0,0,0,,586,,,,,,,,,,7527,127,7654,13425,0.57
19,NUEVO LEON,11, CERRALVO,10,12,2561,1671,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,4232,41,4273,6323,0.676
19,NUEVO LEON,12, CIENEGA DE FLORES,5,38,1397,1816,5093,347,1512,241,988,0,0,0,365,0,,,,,,,,,,,,11759,270,12029,22577,0.533
19,NUEVO LEON,13, CHINA,14,18,1898,977,0,0,80,0,1435,29,0,0,736,1098,,,,,,,,,,,,6253,120,6373,9425,0.676
19,NUEVO LEON,14, DR. ARROYO,37,54,8482,11544,111,132,0,0,69,0,0,0,28,20,,,,,,,,,,,,20386,433,20819,26658,0.781
19,NUEVO LEON,15, DR. COSS,10,6,716,881,0,86,0,0,72,0,0,0,0,0,,,,,,,,,,,,1755,19,1774,2713,0.654
19,NUEVO LEON,16, DR. GONZALEZ,4,6,630,616,8,642,77,0,0,0,0,0,0,0,,,,,,,,,,,,1973,41,2014,3023,0.666
19,NUEVO LEON,17, GALEANA,37,64,3850,9268,116,413,150,0,5290,0,0,0,0,607,,,,,,,,,,,,19694,842,20536,29781,0.69
19,NUEVO LEON,18, GARCIA,114,208,7409,20652,2105,958,655,1237,631,0,0,431,573,0,,,25557,,,,,,,,,60208,1069,61277,110470,0.555
19,NUEVO LEON,19, SAN PEDRO GARZA GARCIA,62,165,33433,10154,280,264,732,0,780,223,0,449,6355,327,,,,,,,,11260,,,,64257,885,65142,100475,0.648
