ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,PD,CC,MORENA,PH,ES,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
19,NUEVO LEON,1,ABASOLO,2,4,211,546,344,42,108,221,135,36,0,35,14,0,,,,,,,,,,33,,,1725,50,1775,2210,0.8032
19,NUEVO LEON,2,AGUALEGUAS,9,10,1159,909,3,6,555,27,18,13,8,2,4,13,,,,,,,,,,,,,2717,66,2783,3792,0.7339
19,NUEVO LEON,3,LOS ALDAMAS,7,5,548,697,5,2,204,7,8,0,1,6,3,0,,,,,,,,,,,,,1481,20,1501,2214,0.6780
19,NUEVO LEON,4,ALLENDE,19,42,6532,6119,38,141,200,678,136,14,102,206,66,38,,,,,,,,,,,,,14270,385,14655,24878,0.5891
19,NUEVO LEON,5,ANAHUAC,20,25,4480,2717,84,259,81,0,108,7,7,60,1164,0,,,,,,,,,,,52,,9019,211,9230,14047,0.6571
19,NUEVO LEON,6,APODACA,288,628,55131,58726,4069,3779,11982,22174,6794,488,1026,4101,3449,3545,,,,,,14594,,,,,,,189858,4554,194412,360935,0.5386
19,NUEVO LEON,7,ARAMBERRI,17,26,2641,5589,26,129,50,63,120,3,63,18,39,331,,,,,,,,,,,,,9072,482,9554,11719,0.8153
19,NUEVO LEON,8,BUSTAMANTE,4,5,1297,708,25,4,17,0,437,2,4,21,10,0,,,,,,,,,,,101,,2626,27,2653,3238,0.8193
19,NUEVO LEON,9,CADEREYTA JIMENEZ,46,116,9008,9831,224,663,10881,987,595,240,106,763,1579,787,,,,,,,,,,,,,35664,1003,36667,66345,0.5527
19,NUEVO LEON,10,EL CARMEN,4,20,1958,1979,84,1436,327,764,273,133,0,73,89,0,,,,,,,,,,314,,,7430,226,7656,13425,0.5703
19,NUEVO LEON,11,CERRALVO,10,12,2389,1568,10,5,25,68,34,4,6,11,8,31,,,,,,,,,,,,,4159,102,4261,6323,0.6739
19,NUEVO LEON,12,CIENEGA DE FLORES,5,38,2104,2923,2686,285,1203,475,810,311,0,134,307,0,,,,,,,,,,359,,,11597,422,12019,22577,0.5324
19,NUEVO LEON,13,CHINA,14,18,1860,1755,12,18,107,73,846,11,90,32,526,656,,,,,,,,,,,,,5986,388,6374,9425,0.6763
19,NUEVO LEON,14,DR. ARROYO,37,54,7529,11851,153,155,186,44,151,8,9,29,70,44,,,,,,,,,,,,,20229,572,20801,26658,0.7803
19,NUEVO LEON,15,DR. COSS,10,6,682,880,1,65,16,13,56,0,7,5,5,4,,,,,,,,,,,,,1734,41,1775,2713,0.6543
19,NUEVO LEON,16,DR. GONZALEZ,4,6,472,546,6,370,73,71,8,0,7,6,10,45,,,,,,,,,,,,,1614,54,1668,3023,0.5518
19,NUEVO LEON,17,GALEANA,37,64,3859,9182,110,453,187,319,3912,25,22,60,163,977,,,,,,,,,,,,,19269,1201,20470,29781,0.6874
19,NUEVO LEON,18,GARCIA,114,208,9569,20533,4080,1384,2078,5051,1705,620,0,1033,1717,0,,,,,,,,,,11399,,,59169,1729,60898,110470,0.5513
19,NUEVO LEON,19,SAN PEDRO GARZA GARCIA,62,165,24701,8503,588,459,1243,14326,1223,628,321,696,2031,579,,,,,,,,8663,,,,,63961,1204,65165,100475,0.6486
19,NUEVO LEON,20,GRAL. BRAVO,9,9,1739,1931,8,7,15,37,26,5,13,21,16,28,,,,,,,,,,,,,3846,81,3927,5558,0.7065
19,NUEVO LEON,21,GRAL. ESCOBEDO,124,403,30094,41483,3519,4003,6560,14644,4885,382,828,2770,3562,0,,,,,,,11951,,,,,,124681,3477,128158,251429,0.5097
19,NUEVO LEON,22,GRAL. TERAN,19,24,2778,3293,12,49,211,115,135,11,77,33,842,71,,,,,,,,,,,,,7627,305,7932,12585,0.6303
19,NUEVO LEON,23,GRAL. TREVIÑO,3,4,753,449,3,0,3,5,2,0,4,3,6,9,,,,,,,,,,,,,1237,19,1256,1786,0.7032
19,NUEVO LEON,24,GRAL. ZARAGOZA,5,10,252,1711,14,1894,11,17,24,2,1,71,9,11,,,,,,,,,,,,,4017,129,4146,4897,0.8466
19,NUEVO LEON,25,GRAL. ZUAZUA,44,53,5687,4614,518,334,563,739,335,150,0,537,326,0,,,,,,,,,,567,,,14370,386,14756,29271,0.5041
19,NUEVO LEON,26,GUADALUPE,293,858,102024,84871,4918,5940,17665,34734,11785,1202,2030,7762,6555,2151,,,6814,7785,3886,,,,,,,,300122,7571,307693,523886,0.5873
19,NUEVO LEON,27,LOS HERRERAS,6,6,904,904,2,3,5,22,27,4,50,11,2,8,,,,,,,,,,,,,1942,70,2012,2722,0.7392
19,NUEVO LEON,28,HIDALGO,9,21,3399,1734,274,108,224,967,310,272,0,166,152,0,,,,,,,,,,482,,,8088,327,8415,12237,0.6877
19,NUEVO LEON,29,HIGUERAS,2,3,471,468,0,5,9,19,20,4,0,3,54,0,,,,,,,,,,24,,,1077,26,1103,1341,0.8225
19,NUEVO LEON,30,HUALAHUISES,9,12,1473,1577,24,15,69,46,585,3,33,15,33,184,,,,,,,,,,,,,4057,102,4159,5874,0.7080
19,NUEVO LEON,31,ITURBIDE,4,6,974,1107,5,24,21,55,124,1,6,7,32,50,,,,,,,,,,,,,2406,111,2517,2915,0.8635
19,NUEVO LEON,32,JUAREZ,150,300,19046,25841,1040,1157,8226,4489,2135,261,475,1413,1460,18499,,,,,,,,,,,,,84042,2251,86293,170059,0.5074
19,NUEVO LEON,33,LAMPAZOS DE NARANJO,5,9,2356,847,12,17,77,0,14,0,2,5,19,0,,,,,,,,,,,21,,3370,57,3427,4470,0.7667
19,NUEVO LEON,34,LINARES,47,105,12374,7297,871,183,2933,434,7168,52,707,149,189,854,,,,,,,,,,,,,33211,1959,35170,60403,0.5823
19,NUEVO LEON,35,MARIN,3,7,935,1308,15,26,53,149,58,4,249,25,17,35,,,,,,,,,,,,,2874,98,2972,4393,0.6765
19,NUEVO LEON,36,MELCHOR OCAMPO,2,3,209,485,3,13,10,24,291,0,22,4,5,14,,,,,,,,,,,,,1080,38,1118,1355,0.8251
19,NUEVO LEON,37,MIER Y NORIEGA,11,13,1552,2258,12,8,178,8,93,1,1,17,3,10,,,,,,,,,,,,,4141,104,4245,5740,0.7395
19,NUEVO LEON,38,MINA,7,11,449,1395,98,160,815,36,85,56,0,13,26,0,,,,,,,,,,150,,,3283,139,3422,4473,0.7650
19,NUEVO LEON,39,MONTEMORELOS,43,85,7192,11536,237,1252,755,1102,2226,45,627,703,300,523,,,,,,,,,,,,,26498,1077,27575,48142,0.5728
19,NUEVO LEON,40,MONTERREY,736,1557,163791,142811,9060,30618,22041,76515,16448,2033,3844,12920,15539,22336,6792,,,,,,,,,,,,524748,16827,541575,904720,0.5986
