ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,MC,NVA_ALIANZA,PVEM,MORENA,PT,PRI_NVA_ALIANZA_PVEM_PT,PRI_NVA_ALIANZA_PVEM,PRI_PVEM_PT,PRI_NVA_ALIANZA_PT,NVA_ALIANZA_PVEM_PT,PRI_NVA_ALIANZA,PRI_PVEM,PRI_PT,NVA_ALIANZA_PVEM,NVA_ALIANZA_PT,PVEM_PT,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
22,QUERETARO,1,AMEALCO DE BONFIL,34,84,13898,12430,337,157,260,365,311,113,190,36,49,8,1,31,162,16,6,0,3,10,28373,966,29349,42416,0.6919
22,QUERETARO,2,ARROYO SECO,11,22,3851,2899,265,12,46,41,159,9,36,11,11,1,0,2,34,4,4,1,0,0,7386,158,7544,10479,0.7199
22,QUERETARO,3,CADEREYTA DE MONTES,30,82,13016,10067,572,448,515,1457,916,187,108,37,35,12,8,38,156,46,17,0,22,16,27657,1176,28849,46624,0.6188
22,QUERETARO,4,COLON,21,65,11559,10051,571,894,230,541,539,230,130,41,24,7,4,17,85,15,6,3,3,7,24950,864,25821,39490,0.6539
22,QUERETARO,5,CORREGIDORA,62,187,31625,20009,2167,1064,817,761,4887,392,358,275,58,19,7,64,230,24,14,2,7,127,62780,2654,65561,113775,0.5762
22,QUERETARO,6,EL MARQUES,33,145,25726,22365,1432,591,412,1016,2040,326,282,150,88,7,7,80,218,37,3,10,4,28,54794,1372,56194,88846,0.6325
22,QUERETARO,7,EZEQUIEL MONTES,17,48,6327,8076,1003,252,209,817,1050,137,113,33,28,16,2,32,54,14,8,2,2,9,18175,550,18734,28020,0.6686
22,QUERETARO,8,HUIMILPAN,14,44,5904,4911,644,278,1663,258,253,79,86,63,25,10,16,110,64,25,24,4,2,1,14419,589,15009,25116,0.5976
22,QUERETARO,9,JALPAN DE SERRA,15,41,6802,5553,92,27,76,74,250,34,84,17,37,6,0,13,41,10,2,0,0,3,13118,353,13474,19170,0.7029
22,QUERETARO,10,LANDA DE MATAMOROS,14,30,4928,4451,32,19,120,97,97,26,35,15,15,2,2,12,43,5,2,0,0,1,9901,292,10194,14989,0.6801
22,QUERETARO,11,PEDRO ESCOBEDO,24,80,12494,9867,2037,458,232,327,950,123,311,49,37,6,8,29,77,13,5,1,4,4,27028,956,27988,46464,0.6024
22,QUERETARO,12,PEÑAMILLER,14,30,4918,4088,77,138,119,81,57,43,90,18,29,0,1,10,130,8,6,2,2,0,9817,225,10042,13170,0.7625
22,QUERETARO,13,PINAL DE AMOLES,18,39,6734,4661,172,41,64,53,89,28,77,18,39,5,2,7,60,18,2,1,1,0,12072,338,12410,18555,0.6688
22,QUERETARO,14,QUERETARO,400,1085,163107,108354,10282,6063,3240,3837,26422,1381,2308,886,532,210,41,433,1210,240,81,19,22,531,328668,11201,340400,650827,0.5230
22,QUERETARO,15,SAN JOAQUIN,7,15,1854,2006,63,1,57,17,65,12,42,7,13,5,0,5,13,4,0,0,1,9,4165,107,4281,6317,0.6777
22,QUERETARO,16,SAN JUAN DEL RIO,102,316,47035,32949,2102,1698,1613,1903,5533,698,455,454,103,32,19,122,491,29,30,10,5,111,95281,3366,98758,183073,0.5394
22,QUERETARO,17,TEQUISQUIAPAN,30,81,14181,9955,543,560,370,2916,1550,124,137,45,62,13,6,31,112,89,60,6,11,15,30771,1102,31888,47927,0.6653
22,QUERETARO,18,TOLIMAN,13,34,5831,4563,450,57,587,479,396,75,41,22,12,4,4,41,40,15,8,3,2,1,12630,446,13077,18529,0.7058
