ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PVEM,NVA_ALIANZA,PRD,PT,PCP,MC,MORENA,PH,ES,PRI_PVEM_NVA_ALIANZA,PRD_PT_PCP,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
24,SAN LUIS POTOSI,6,CATORCE,18,20,2460,1781,69,58,47,136,74,14,57,7,6,34,3,1,4747,220,4967,6691,0.7423
24,SAN LUIS POTOSI,7,CEDRAL,17,28,3530,2729,223,329,144,98,26,85,136,23,44,300,8,4,7679,293,7972,13154,0.6061
24,SAN LUIS POTOSI,15,CHARCAS,21,33,2884,3210,146,117,129,683,170,62,138,12,122,227,31,8,7939,356,8295,14854,0.5584
24,SAN LUIS POTOSI,20,MATEHUALA,64,127,10188,12816,931,867,1113,1065,349,378,1415,77,565,1155,124,41,31084,1009,32093,68569,0.468
24,SAN LUIS POTOSI,44,VANEGAS,13,14,1032,703,427,400,811,30,6,15,15,5,2,52,59,0,3557,155,3712,5314,0.6985
24,SAN LUIS POTOSI,48,VILLA DE GUADALUPE,15,18,1282,1895,65,164,54,51,19,754,80,27,9,64,1,0,4465,370,4835,7366,0.6564
24,SAN LUIS POTOSI,49,VILLA DE LA PAZ,8,9,770,912,39,100,30,110,97,217,14,4,32,30,7,0,2362,109,2471,3804,0.6496
24,SAN LUIS POTOSI,4,ARMADILLO DE LOS INFANTE,11,11,800,1429,43,22,82,42,7,28,48,6,3,126,10,4,2650,116,2766,3721,0.7433
24,SAN LUIS POTOSI,8,CERRITOS,26,39,3798,2705,1422,135,493,486,248,83,99,180,46,112,39,4,9850,384,10234,16907,0.6053
24,SAN LUIS POTOSI,17,GUADALCAZAR,30,41,3011,3973,3015,110,622,196,693,52,55,9,14,186,92,1,12029,950,12979,18108,0.7168
24,SAN LUIS POTOSI,30,SAN NICOLAS TOLENTINO,11,12,824,535,336,132,283,284,66,220,191,115,24,59,17,1,3087,251,3338,4946,0.6749
24,SAN LUIS POTOSI,45,VENADO,20,25,2805,1598,1386,120,703,232,19,47,116,34,20,166,23,0,7269,399,7668,10375,0.7391
24,SAN LUIS POTOSI,46,VILLA DE ARISTA,13,22,2498,2453,162,35,638,40,47,1278,115,64,10,45,22,0,7407,254,7661,10730,0.714
24,SAN LUIS POTOSI,52,VILLA HIDALGO,19,27,2838,3972,299,91,279,86,19,49,17,17,15,326,22,0,8030,284,8314,11446,0.7264
24,SAN LUIS POTOSI,53,VILLA JUAREZ,16,20,1883,1658,192,30,257,948,36,35,13,3,6,44,102,1,5208,226,5434,8756,0.6206
24,SAN LUIS POTOSI,9,CERRO DE SAN PEDRO,6,9,976,892,191,40,231,31,37,55,78,6,9,41,12,12,2611,97,2708,3466,0.7813
24,SAN LUIS POTOSI,33,SANTA MARIA DEL RIO,31,57,4875,5499,257,177,4520,742,173,1377,226,20,55,95,162,10,18188,739,18927,29321,0.6455
24,SAN LUIS POTOSI,43,TIERRA NUEVA,10,14,1182,1660,203,59,296,109,272,286,48,7,9,54,51,68,4304,268,4572,7132,0.6411
24,SAN LUIS POTOSI,47,VILLA DE ARRIAGA,18,26,2453,4019,252,132,880,210,217,103,180,27,42,45,18,19,8597,490,9087,11569,0.7855
