CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PVEM,NVA_ALIANZA,PRD,PT,PCP,MC,MORENA,PH,ES,PRI_PVEM_NVA_ALIANZA,PRD_PT_PCP,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
2,24,SAN LUIS POTOSI,1,MATEHUALA,6,CATORCE,98,2,489,323,10,3,19,6,5,2,4,1,1,7,0,1,871,20,891,1082
2,24,SAN LUIS POTOSI,1,MATEHUALA,6,CATORCE,99,1,67,28,1,1,0,2,0,0,0,0,0,0,0,0,99,5,104,130
2,24,SAN LUIS POTOSI,1,MATEHUALA,6,CATORCE,101,1,79,62,1,2,0,4,1,0,2,1,0,1,0,0,153,6,159,229
2,24,SAN LUIS POTOSI,1,MATEHUALA,6,CATORCE,102,1,115,85,2,1,1,0,0,0,0,0,0,0,0,0,204,7,211,268
2,24,SAN LUIS POTOSI,1,MATEHUALA,6,CATORCE,103,1,179,80,0,2,2,7,1,0,0,0,0,0,0,0,271,18,289,366
2,24,SAN LUIS POTOSI,1,MATEHUALA,6,CATORCE,105,1,126,97,0,1,0,2,1,2,0,0,0,0,0,0,229,5,234,294
2,24,SAN LUIS POTOSI,1,MATEHUALA,6,CATORCE,106,2,373,218,9,23,4,9,3,7,14,0,0,8,0,0,668,27,695,950
2,24,SAN LUIS POTOSI,1,MATEHUALA,6,CATORCE,107,1,49,67,1,2,0,3,1,0,1,0,0,0,0,0,124,6,130,161
2,24,SAN LUIS POTOSI,1,MATEHUALA,6,CATORCE,108,1,145,172,2,6,4,8,1,0,4,2,0,13,2,0,359,22,381,488
2,24,SAN LUIS POTOSI,1,MATEHUALA,6,CATORCE,110,1,116,30,8,1,1,4,3,1,15,1,2,0,0,0,182,13,195,361
2,24,SAN LUIS POTOSI,1,MATEHUALA,6,CATORCE,111,1,118,40,5,0,0,19,0,0,0,0,1,0,0,0,183,9,192,266
2,24,SAN LUIS POTOSI,1,MATEHUALA,6,CATORCE,112,1,146,118,10,5,4,15,0,0,10,0,0,1,0,0,309,17,326,473
2,24,SAN LUIS POTOSI,1,MATEHUALA,6,CATORCE,113,1,63,54,1,3,2,0,27,1,2,0,1,2,0,0,156,9,165,228
2,24,SAN LUIS POTOSI,1,MATEHUALA,6,CATORCE,114,1,60,24,1,1,4,6,15,0,2,0,0,0,0,0,113,5,118,170
2,24,SAN LUIS POTOSI,1,MATEHUALA,6,CATORCE,115,1,39,167,6,4,2,3,7,0,1,0,0,0,0,0,229,12,241,312
2,24,SAN LUIS POTOSI,1,MATEHUALA,6,CATORCE,116,1,75,72,0,1,1,1,5,0,1,0,1,1,0,0,158,10,168,251
2,24,SAN LUIS POTOSI,1,MATEHUALA,6,CATORCE,117,1,87,48,5,0,1,4,1,0,0,1,0,0,1,0,148,10,158,229
2,24,SAN LUIS POTOSI,1,MATEHUALA,6,CATORCE,118,1,134,96,7,2,2,43,3,1,1,1,0,1,0,0,291,19,310,433
2,24,SAN LUIS POTOSI,1,MATEHUALA,7,CEDRAL,119,4,696,400,15,64,28,12,5,23,50,2,7,36,1,0,1339,46,1385,2276
2,24,SAN LUIS POTOSI,1,MATEHUALA,7,CEDRAL,120,3,529,368,44,48,29,11,4,12,14,17,12,13,0,3,1104,41,1145,1949
2,24,SAN LUIS POTOSI,1,MATEHUALA,7,CEDRAL,121,3,471,359,23,42,26,8,5,22,23,2,7,19,1,1,1009,36,1045,1763
2,24,SAN LUIS POTOSI,1,MATEHUALA,7,CEDRAL,122,3,630,457,55,68,36,13,6,21,31,0,9,34,2,0,1362,34,1396,2212
