CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,PH,ES,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,CAND_IND1,CAND_IND2,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
1,26,SONORA,6,CANANEA,1,ACONCHI,1,B,197,0,6,0,2,2,142,19,0,5,0,0,0,0,0,0,0,373,26,399,502,Acta casilla,,,
1,26,SONORA,6,CANANEA,1,ACONCHI,1,C01,220,0,5,0,2,2,129,16,0,3,0,0,0,0,0,0,0,377,27,404,502,Acta casilla,,,
1,26,SONORA,6,CANANEA,1,ACONCHI,1,C02,200,0,9,0,3,2,129,18,0,11,0,0,0,0,0,0,0,372,36,408,501,Acta casilla,,,
1,26,SONORA,6,CANANEA,1,ACONCHI,2,B,178,0,8,0,5,1,69,14,0,4,0,0,0,0,0,0,0,279,26,305,383,Acta casilla,,,
1,26,SONORA,6,CANANEA,1,ACONCHI,2,C01,183,0,14,0,2,1,72,10,0,1,0,0,0,0,0,0,0,283,28,311,383,Acta casilla,,,
1,26,SONORA,7,AGUA PRIETA,2,AGUA PRIETA,3,B,211,0,4,0,7,1,94,4,0,2,0,0,0,0,0,0,0,323,17,340,662,Acta casilla,,,
1,26,SONORA,7,AGUA PRIETA,2,AGUA PRIETA,3,C01,202,0,6,0,7,0,98,3,0,2,0,0,0,0,0,0,0,318,6,324,661,Acta casilla,,,
1,26,SONORA,7,AGUA PRIETA,2,AGUA PRIETA,4,B,107,0,3,0,3,3,61,2,0,1,0,0,0,0,0,0,0,180,4,184,368,Acta casilla,,,
1,26,SONORA,7,AGUA PRIETA,2,AGUA PRIETA,5,B,195,0,6,0,11,5,96,5,0,1,0,0,0,0,0,0,0,319,5,324,665,Acta casilla,,,
1,26,SONORA,7,AGUA PRIETA,2,AGUA PRIETA,6,B,181,0,5,0,10,7,82,5,0,2,0,0,0,0,0,0,0,292,10,302,638,Acta casilla,,,
1,26,SONORA,7,AGUA PRIETA,2,AGUA PRIETA,6,C01,180,0,5,0,3,6,105,3,0,2,0,0,0,0,0,0,0,304,17,321,637,Acta casilla,,,
1,26,SONORA,7,AGUA PRIETA,2,AGUA PRIETA,7,B,176,0,11,0,11,5,92,6,0,3,0,0,0,0,0,0,0,304,9,313,699,Acta casilla,,,
1,26,SONORA,7,AGUA PRIETA,2,AGUA PRIETA,7,C01,181,0,9,0,9,6,103,4,0,3,0,0,0,0,0,0,0,315,8,323,699,Acta casilla,,,
1,26,SONORA,7,AGUA PRIETA,2,AGUA PRIETA,8,B,181,0,19,0,5,6,97,7,0,1,0,0,0,0,0,0,0,316,5,321,641,Acta casilla,,,
1,26,SONORA,7,AGUA PRIETA,2,AGUA PRIETA,8,C01,173,0,10,0,5,7,90,8,0,4,0,0,0,0,0,0,0,297,9,306,641,Acta casilla,,,
1,26,SONORA,7,AGUA PRIETA,2,AGUA PRIETA,8,C02,198,0,9,0,7,1,90,8,0,2,0,0,0,0,0,0,1,315,6,322,641,Acta casilla,,,
1,26,SONORA,7,AGUA PRIETA,2,AGUA PRIETA,8,C03,194,0,9,0,4,2,95,5,0,0,0,0,0,0,0,0,0,309,5,314,641,Acta casilla,,,
1,26,SONORA,7,AGUA PRIETA,2,AGUA PRIETA,9,B,177,0,5,0,9,2,101,4,0,1,0,0,0,0,0,0,0,299,6,305,657,Acta casilla,,,
1,26,SONORA,7,AGUA PRIETA,2,AGUA PRIETA,9,C01,161,0,4,0,13,7,103,8,0,3,0,0,0,0,0,0,0,299,6,305,657,Acta casilla,,,
1,26,SONORA,7,AGUA PRIETA,2,AGUA PRIETA,9,C02,177,0,8,0,9,5,112,8,0,0,0,0,0,0,0,0,0,319,11,330,656,Acta casilla,,,
1,26,SONORA,7,AGUA PRIETA,2,AGUA PRIETA,9,C03,162,0,5,0,15,4,106,10,0,2,0,0,0,0,0,0,0,304,11,315,656,Acta casilla,,,
1,26,SONORA,7,AGUA PRIETA,2,AGUA PRIETA,10,B,202,0,4,0,11,9,81,11,0,2,0,0,0,0,0,0,0,320,13,333,631,Acta casilla,,,
1,26,SONORA,7,AGUA PRIETA,2,AGUA PRIETA,10,C01,176,0,6,0,4,5,82,6,0,3,0,0,0,0,0,0,0,282,11,293,631,Acta casilla,,,
1,26,SONORA,7,AGUA PRIETA,2,AGUA PRIETA,10,C02,204,0,9,0,6,6,83,10,0,1,0,0,0,0,0,0,0,319,9,328,631,Acta casilla,,,
1,26,SONORA,7,AGUA PRIETA,2,AGUA PRIETA,10,C03,194,0,8,0,7,8,92,5,0,2,0,0,0,0,0,0,0,316,5,321,631,Acta casilla,,,
1,26,SONORA,7,AGUA PRIETA,2,AGUA PRIETA,11,B,217,0,5,0,10,4,115,7,0,5,0,0,0,0,0,0,0,363,6,369,722,Acta casilla,,,
1,26,SONORA,7,AGUA PRIETA,2,AGUA PRIETA,11,C01,209,0,6,0,9,4,111,8,0,3,0,0,0,0,0,0,0,350,6,356,722,Acta casilla,,,
1,26,SONORA,7,AGUA PRIETA,2,AGUA PRIETA,12,B,169,0,4,0,8,2,82,4,0,2,0,0,0,0,0,0,0,271,8,279,598,Acta casilla,,,
1,26,SONORA,7,AGUA PRIETA,2,AGUA PRIETA,12,C01,148,0,3,0,0,6,96,4,0,3,0,0,0,0,0,0,0,260,9,269,597,Acta casilla,,,
1,26,SONORA,7,AGUA PRIETA,2,AGUA PRIETA,13,B,145,0,2,0,2,7,91,10,0,0,0,0,0,0,0,0,0,257,7,264,586,Acta casilla,,,
1,26,SONORA,7,AGUA PRIETA,2,AGUA PRIETA,13,C01,152,0,5,0,5,5,77,5,0,0,0,0,0,0,0,0,0,249,8,257,585,Grupo de Recuento,,,
1,26,SONORA,7,AGUA PRIETA,2,AGUA PRIETA,14,B,137,0,9,0,9,4,96,3,0,0,0,0,0,0,0,0,0,258,10,268,566,Acta casilla,,,
1,26,SONORA,7,AGUA PRIETA,2,AGUA PRIETA,14,C01,178,0,6,0,10,4,86,3,0,0,0,0,0,0,0,0,0,287,7,294,566,Grupo de Recuento,,,
1,26,SONORA,7,AGUA PRIETA,2,AGUA PRIETA,14,C02,133,0,5,0,9,1,103,7,0,0,0,0,0,0,0,0,0,258,12,270,565,Grupo de Recuento,,,
1,26,SONORA,7,AGUA PRIETA,2,AGUA PRIETA,14,S01,265,0,17,0,12,11,149,17,0,8,0,0,0,0,0,0,0,479,14,493,0,Acta casilla,,,
1,26,SONORA,7,AGUA PRIETA,2,AGUA PRIETA,15,B,158,0,5,0,6,1,97,1,0,0,0,0,0,0,0,0,2,268,11,281,545,Acta casilla,,,
1,26,SONORA,7,AGUA PRIETA,2,AGUA PRIETA,15,C01,151,0,3,0,5,4,111,5,0,2,0,0,0,0,0,0,0,281,13,294,544,Grupo de Recuento,,,
1,26,SONORA,7,AGUA PRIETA,2,AGUA PRIETA,16,B,222,0,4,0,9,4,126,1,0,1,0,0,0,0,0,0,0,367,11,378,689,Grupo de Recuento,,,
1,26,SONORA,7,AGUA PRIETA,2,AGUA PRIETA,17,B,216,0,12,0,9,3,93,8,0,5,0,0,0,0,0,0,0,346,6,352,715,Acta casilla,,,
1,26,SONORA,7,AGUA PRIETA,2,AGUA PRIETA,17,C01,188,0,8,0,7,6,82,7,0,5,0,0,0,0,0,0,0,303,8,311,715,Grupo de Recuento,,,
1,26,SONORA,7,AGUA PRIETA,2,AGUA PRIETA,17,C02,212,0,8,0,15,2,98,2,0,3,0,0,0,0,0,0,0,340,4,344,715,Acta casilla,,,
