ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,PRI_PVEM_NVA_ALIANZA,PRD,PT,MORENA,PH,ES,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
26,SONORA,1,SAN LUIS RIO COLORADO,73,143,14608,13886,595,339,1700,413,869,30,32410,847,33287,76350,0.4360
26,SONORA,2,PUERTO PEÑASCO,44,178,22611,21047,1736,524,1824,447,1097,35,49286,1140,50461,115092,0.4384
26,SONORA,3,CABORCA,77,169,19503,25279,1614,1084,2014,232,461,15,50187,1042,51244,92111,0.5563
26,SONORA,4,NOGALES NORTE,49,114,11714,12969,754,667,824,360,359,52,27647,722,28421,65158,0.4362
26,SONORA,5,NOGALES SUR,94,200,22328,22963,1699,1440,1708,834,909,72,51881,1242,53195,120732,0.4406
26,SONORA,6,CANANEA,88,165,22320,28102,2025,684,588,167,253,27,54139,1279,55445,88954,0.6233
26,SONORA,7,AGUA PRIETA,66,159,25793,21336,1458,1049,622,176,147,18,50581,870,51469,90616,0.5680
26,SONORA,8,HERMOSILLO NOROESTE,70,200,24566,25838,1660,932,1441,513,742,40,55692,1464,57196,122540,0.4668
26,SONORA,9,HERMOSILLO CENTRO,79,176,26233,27660,1911,718,1545,439,668,74,59174,1542,60790,102651,0.5922
26,SONORA,10,HERMOSILLO NORESTE,45,157,22962,24845,1428,724,1248,481,592,54,52280,1342,53676,101542,0.5286
26,SONORA,11,HERMOSILLO COSTA,141,235,24910,28311,1473,872,1182,437,649,50,57834,1486,59370,122526,0.4846
26,SONORA,12,HERMOSILLO SUR,82,183,22024,22769,1312,867,1122,323,595,42,49012,1249,50303,103412,0.4864
26,SONORA,13,GUAYMAS,81,168,22516,18212,1123,1270,2260,293,343,37,46017,1042,47096,93901,0.5015
26,SONORA,14,EMPALME,61,145,14554,23133,4382,687,1026,327,445,9,44554,1187,45750,81071,0.5643
26,SONORA,15,OBREGON SUR,57,143,12529,19717,967,561,1783,390,474,35,36421,827,37283,83241,0.4479
26,SONORA,16,OBREGON SURESTE,73,152,11160,21601,1127,588,2005,419,552,36,37452,902,38390,82866,0.4633
26,SONORA,17,OBREGON CENTRO,62,148,12653,26306,1478,654,2697,559,641,34,44988,1069,46091,88341,0.5217
26,SONORA,18,OBREGON NORTE,90,164,19806,27956,1077,354,1103,283,269,15,50848,1003,51866,86875,0.5970
26,SONORA,19,NAVOJOA NORTE,59,137,19718,21551,865,365,803,129,195,20,43626,885,44531,79476,0.5603
26,SONORA,20,ETCHOJOA,72,166,21440,28947,3812,592,741,103,274,18,55909,1306,57233,94409,0.6062
26,SONORA,21,HUATABAMPO,70,140,21797,24516,2095,277,458,67,47,9,49257,925,50191,75746,0.6626
