CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,NVA_ALIANZA,MORENA,PH,ES,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
1,26,SONORA,6,CANANEA,1,ACONCHI,1,3,538,555,3,4,2,23,28,1,2,10,7,16,0,0,1189,23,1212,1505
1,26,SONORA,6,CANANEA,1,ACONCHI,2,2,329,235,11,0,2,4,7,0,0,12,6,3,1,0,610,6,616,766
1,26,SONORA,7,AGUA PRIETA,2,AGUA PRIETA,3,2,411,158,5,5,8,49,1,3,2,16,1,3,0,0,662,9,671,1323
1,26,SONORA,7,AGUA PRIETA,2,AGUA PRIETA,4,1,105,40,4,1,5,13,3,3,0,3,2,2,0,0,181,3,184,368
1,26,SONORA,7,AGUA PRIETA,2,AGUA PRIETA,5,1,183,80,5,3,8,15,4,1,0,15,3,7,0,0,324,0,324,665
1,26,SONORA,7,AGUA PRIETA,2,AGUA PRIETA,6,2,346,148,8,0,10,27,8,5,1,47,5,8,0,0,613,11,624,1275
1,26,SONORA,7,AGUA PRIETA,2,AGUA PRIETA,7,2,350,183,12,7,5,36,11,4,1,7,3,6,0,0,625,11,636,1398
1,26,SONORA,7,AGUA PRIETA,2,AGUA PRIETA,8,4,741,302,30,10,20,78,19,4,8,28,1,16,0,1,1257,12,1270,2564
1,26,SONORA,7,AGUA PRIETA,2,AGUA PRIETA,9,4,690,320,14,8,26,98,19,3,2,28,6,15,0,0,1229,25,1254,2626
1,26,SONORA,7,AGUA PRIETA,2,AGUA PRIETA,10,4,768,293,16,12,16,53,22,5,3,42,4,17,0,0,1251,31,1282,2524
1,26,SONORA,7,AGUA PRIETA,2,AGUA PRIETA,11,2,420,186,7,10,8,41,9,4,4,17,2,12,1,0,721,6,727,1444
1,26,SONORA,7,AGUA PRIETA,2,AGUA PRIETA,12,2,319,102,7,2,9,30,9,3,1,34,2,4,0,0,522,11,533,1195
1,26,SONORA,7,AGUA PRIETA,2,AGUA PRIETA,13,2,289,131,8,6,6,46,3,1,1,13,2,18,0,0,524,9,533,1171
1,26,SONORA,7,AGUA PRIETA,2,AGUA PRIETA,14,4,706,348,31,9,26,105,20,0,5,13,4,9,0,0,1276,23,1299,1697
1,26,SONORA,7,AGUA PRIETA,2,AGUA PRIETA,15,2,322,153,3,4,3,42,3,2,0,9,2,16,0,1,559,13,573,1089
1,26,SONORA,7,AGUA PRIETA,2,AGUA PRIETA,16,1,232,73,2,0,4,37,0,2,2,11,0,8,0,0,371,7,378,689
1,26,SONORA,7,AGUA PRIETA,2,AGUA PRIETA,17,4,808,284,24,12,20,97,19,6,8,23,5,18,1,0,1325,17,1342,2860
1,26,SONORA,7,AGUA PRIETA,2,AGUA PRIETA,18,3,428,161,8,10,8,119,9,3,3,12,1,14,0,0,776,16,792,1658
1,26,SONORA,7,AGUA PRIETA,2,AGUA PRIETA,19,4,713,251,29,8,23,85,14,5,5,28,3,21,0,0,1185,24,1209,2630
1,26,SONORA,7,AGUA PRIETA,2,AGUA PRIETA,20,7,1322,477,42,10,33,155,30,2,8,51,11,33,1,1,2175,32,2208,4683
1,26,SONORA,7,AGUA PRIETA,2,AGUA PRIETA,21,3,535,242,14,4,14,61,17,2,2,20,4,19,0,0,934,24,958,1868
1,26,SONORA,7,AGUA PRIETA,2,AGUA PRIETA,22,9,1690,632,37,36,62,209,36,14,10,79,7,28,0,0,2840,50,2890,6028
1,26,SONORA,7,AGUA PRIETA,2,AGUA PRIETA,23,5,874,373,25,14,31,168,27,11,6,18,1,27,2,0,1577,41,1618,3332
1,26,SONORA,7,AGUA PRIETA,2,AGUA PRIETA,24,10,1869,599,63,17,57,222,55,16,14,77,4,37,1,1,3031,70,3102,6918
1,26,SONORA,7,AGUA PRIETA,2,AGUA PRIETA,25,3,664,302,10,8,14,60,10,2,1,14,4,21,0,0,1110,17,1127,2237
1,26,SONORA,7,AGUA PRIETA,2,AGUA PRIETA,26,6,1176,403,32,12,29,169,13,9,5,140,28,24,1,3,2041,56,2100,3618
1,26,SONORA,7,AGUA PRIETA,2,AGUA PRIETA,27,1,50,23,0,1,1,5,0,0,0,1,0,4,0,0,85,0,85,128
1,26,SONORA,7,AGUA PRIETA,2,AGUA PRIETA,28,1,33,36,0,1,2,7,3,0,1,0,0,0,0,0,83,0,83,127
1,26,SONORA,7,AGUA PRIETA,2,AGUA PRIETA,30,1,53,57,0,3,0,29,0,0,0,4,1,8,0,0,155,1,156,283
1,26,SONORA,7,AGUA PRIETA,2,AGUA PRIETA,31,6,1224,379,59,17,40,156,29,10,8,60,0,0,0,0,1982,36,2018,3941
1,26,SONORA,7,AGUA PRIETA,2,AGUA PRIETA,32,1,110,29,0,2,1,17,2,0,0,3,1,6,0,0,171,6,177,337
1,26,SONORA,3,CABORCA,3,ALTAR,34,2,316,391,195,2,21,4,3,0,1,0,2,0,0,8,935,13,956,1304
1,26,SONORA,3,CABORCA,3,ALTAR,35,3,551,639,218,2,69,21,5,0,1,8,2,1,0,0,1517,20,1537,2184
1,26,SONORA,3,CABORCA,3,ALTAR,37,1,79,90,9,1,3,1,1,0,0,4,1,0,0,0,189,3,192,266
1,26,SONORA,18,OBREGON NORTE,4,ARIVECHI,38,2,315,364,5,1,1,1,10,0,2,7,4,0,0,0,710,6,716,893
1,26,SONORA,18,OBREGON NORTE,4,ARIVECHI,39,1,85,116,1,1,1,0,1,0,0,2,0,2,0,0,209,5,214,263
1,26,SONORA,18,OBREGON NORTE,4,ARIVECHI,40,1,48,63,0,0,0,0,1,0,0,2,0,0,0,0,114,0,114,122
1,26,SONORA,6,CANANEA,5,ARIZPE,41,2,283,220,111,1,1,4,0,1,0,33,3,8,0,0,665,5,670,794
1,26,SONORA,6,CANANEA,5,ARIZPE,42,2,349,359,53,2,3,5,2,0,0,24,15,21,0,0,833,9,842,980
1,26,SONORA,6,CANANEA,5,ARIZPE,43,1,172,214,37,0,0,0,0,0,0,0,0,0,0,0,423,6,429,498
1,26,SONORA,6,CANANEA,5,ARIZPE,44,1,82,121,44,1,1,0,0,0,0,20,0,0,0,0,269,0,269,329
1,26,SONORA,6,CANANEA,5,ARIZPE,45,1,62,79,15,2,0,2,0,0,0,5,0,4,2,0,171,4,175,245
1,26,SONORA,3,CABORCA,6,ATIL,46,1,291,299,1,2,0,0,3,1,9,1,2,2,0,0,611,13,624,740
1,26,SONORA,18,OBREGON NORTE,7,BACADEHUACHI,47,2,335,443,5,14,2,53,2,3,1,10,4,17,0,0,889,22,911,1033
1,26,SONORA,18,OBREGON NORTE,8,BACANORA,48,2,353,219,6,164,6,7,4,3,5,8,4,0,0,0,779,7,786,1141
1,26,SONORA,18,OBREGON NORTE,8,BACANORA,49,1,59,50,1,33,0,2,6,0,0,0,6,0,0,0,157,4,161,198
1,26,SONORA,18,OBREGON NORTE,8,BACANORA,51,1,58,23,1,51,0,1,1,0,0,0,0,0,0,0,135,2,137,266
1,26,SONORA,7,AGUA PRIETA,9,BACERAC,52,2,473,336,125,5,1,9,0,0,2,16,0,0,0,0,967,11,978,1130
1,26,SONORA,6,CANANEA,10,BACOACHI,54,2,218,385,123,2,5,5,2,0,0,32,6,10,0,0,788,17,805,1068
1,26,SONORA,6,CANANEA,10,BACOACHI,55,1,73,114,39,0,1,2,2,1,0,7,2,10,0,0,251,12,263,348
1,26,SONORA,6,CANANEA,11,BANAMICHI,56,2,339,418,9,2,2,8,3,0,1,36,5,10,0,0,833,10,843,992
1,26,SONORA,6,CANANEA,11,BANAMICHI,57,1,222,138,0,0,0,3,2,0,1,21,0,0,0,0,387,5,392,467
1,26,SONORA,6,CANANEA,12,BAVIACORA,58,2,550,230,3,0,1,2,1,0,1,7,3,9,0,0,807,15,822,998
1,26,SONORA,6,CANANEA,12,BAVIACORA,59,2,323,303,5,3,1,15,2,0,2,15,11,2,0,0,682,9,691,806
1,26,SONORA,6,CANANEA,12,BAVIACORA,60,1,132,106,1,0,0,0,1,1,0,2,0,0,0,0,243,6,249,298
1,26,SONORA,6,CANANEA,12,BAVIACORA,61,1,55,66,1,0,1,2,0,0,1,5,1,1,0,0,133,2,135,155
1,26,SONORA,6,CANANEA,12,BAVIACORA,62,1,91,113,2,0,0,0,0,0,0,3,0,0,0,0,209,5,214,263
1,26,SONORA,6,CANANEA,12,BAVIACORA,63,2,407,168,5,1,1,17,1,0,1,1,0,3,0,0,605,9,614,727
1,26,SONORA,7,AGUA PRIETA,13,BAVISPE,64,2,332,279,0,0,0,2,3,0,0,7,1,6,0,0,630,4,634,758
1,26,SONORA,7,AGUA PRIETA,13,BAVISPE,65,1,173,220,3,3,1,5,1,1,0,12,2,20,0,0,441,7,448,581
1,26,SONORA,3,CABORCA,14,BENJAMIN HILL,66,2,279,287,6,3,15,8,12,5,31,7,1,1,0,0,655,19,674,1015
1,26,SONORA,3,CABORCA,14,BENJAMIN HILL,67,2,281,214,1,4,19,6,8,2,9,3,4,4,0,0,555,12,567,889
1,26,SONORA,3,CABORCA,14,BENJAMIN HILL,68,2,343,284,4,4,14,21,14,2,9,0,5,0,1,0,701,15,716,1107
1,26,SONORA,3,CABORCA,14,BENJAMIN HILL,69,2,272,223,6,4,8,0,16,4,10,1,3,1,0,0,548,10,558,804
1,26,SONORA,6,CANANEA,15,CANANEA,70,2,268,252,11,8,12,20,3,4,2,11,5,6,0,0,602,18,620,1217
1,26,SONORA,6,CANANEA,15,CANANEA,71,2,314,274,21,5,11,6,9,5,4,5,4,2,0,0,660,20,680,1335
1,26,SONORA,6,CANANEA,15,CANANEA,72,2,312,353,35,1,12,8,9,2,4,8,7,4,0,0,755,12,767,1490
1,26,SONORA,6,CANANEA,15,CANANEA,73,4,462,502,56,7,22,23,22,6,3,19,1,12,0,0,1135,28,1163,2286
1,26,SONORA,6,CANANEA,15,CANANEA,74,3,332,425,44,2,8,22,20,6,3,8,3,1,0,2,874,16,892,1818
1,26,SONORA,6,CANANEA,15,CANANEA,75,9,1236,1500,115,15,40,71,59,20,12,43,5,13,4,0,3133,45,3178,6399
1,26,SONORA,6,CANANEA,15,CANANEA,76,2,225,220,12,2,6,5,5,5,6,3,1,0,0,1,490,11,502,948
1,26,SONORA,6,CANANEA,15,CANANEA,77,2,219,164,11,0,7,5,10,0,2,1,2,2,0,0,423,7,430,828
1,26,SONORA,6,CANANEA,15,CANANEA,78,2,196,202,13,5,7,8,15,2,0,2,1,3,0,0,454,11,465,881
1,26,SONORA,6,CANANEA,15,CANANEA,79,2,178,192,15,3,8,6,8,3,5,3,2,4,0,0,427,19,446,776
1,26,SONORA,6,CANANEA,15,CANANEA,80,1,159,185,14,1,5,2,4,1,1,2,0,1,0,1,375,13,389,678
1,26,SONORA,6,CANANEA,15,CANANEA,81,1,166,154,16,0,11,0,4,2,1,0,0,0,0,0,354,5,359,699
1,26,SONORA,6,CANANEA,15,CANANEA,82,3,310,341,28,6,10,20,10,7,4,3,2,4,0,0,745,16,761,1534
