CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PT,PVEM,NVA_ALIANZA,MORENA,ES,PRI_PT_PVEM_NVA_ALIANZA,PRI_PT_PVEM,PRI_PT_NVA_ALIANZA,PRI_PVEM_NVA_ALIANZA,PT_PVEM_NVA_ALIANZA,PRI_PT,PRI_PVEM,PRI_NVA_ALIANZA,PT_PVEM,PT_NVA_ALIANZA,PVEM_NVA_ALIANZA,CAND_IND1,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
,1,AGUASCALIENTES,1,RINCON DE ROMOS,4,COSIO,387,4,947,511,16,12,221,35,55,59,0,0,0,0,0,0,3,1,0,0,0,28,2,1542,39,1929,2841
,1,AGUASCALIENTES,1,RINCON DE ROMOS,4,COSIO,388,3,603,428,26,12,120,27,22,40,0,0,3,0,0,1,9,1,1,0,0,23,0,1316,38,1354,1877
,1,AGUASCALIENTES,1,RINCON DE ROMOS,4,COSIO,389,3,362,232,5,16,158,28,30,66,0,0,2,0,0,1,0,0,0,0,0,31,0,576,22,953,1712
,1,AGUASCALIENTES,1,RINCON DE ROMOS,4,COSIO,390,3,497,284,14,11,,20,28,55,1,1,0,0,0,2,4,2,0,0,0,23,16,942,25,983,2180
,1,AGUASCALIENTES,1,RINCON DE ROMOS,4,COSIO,391,4,640,451,26,20,112,57,28,48,0,0,2,0,1,0,4,1,0,0,0,55,0,1092,23,1468,2285
,1,AGUASCALIENTES,1,RINCON DE ROMOS,7,RINCON DE ROMOS,431,2,267,134,11,7,19,21,10,10,0,0,0,0,0,0,0,0,0,0,0,7,0,486,7,493,797
,1,AGUASCALIENTES,1,RINCON DE ROMOS,7,RINCON DE ROMOS,432,3,433,316,22,11,25,48,31,12,1,0,1,4,0,1,0,6,0,1,9,2,0,923,43,966,2097
,1,AGUASCALIENTES,1,RINCON DE ROMOS,7,RINCON DE ROMOS,433,2,211,144,10,9,8,28,17,7,1,0,2,1,0,1,0,3,0,0,0,9,0,225,6,457,792
,1,AGUASCALIENTES,1,RINCON DE ROMOS,7,RINCON DE ROMOS,434,2,239,159,10,3,9,42,16,4,1,1,1,2,0,0,0,2,0,0,1,14,0,504,6,510,752
,1,AGUASCALIENTES,1,RINCON DE ROMOS,7,RINCON DE ROMOS,435,2,300,196,15,4,8,31,13,9,0,1,0,1,0,0,0,1,0,0,0,9,0,588,9,597,883
