ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,ES,PRI_PVEM_PT_NVA_ALIANZA,PRI_PVEM_PT,PRI_PVEM_NVA_ALIANZA,PRI_PT_NVA_ALIANZA,PVEM_PT_NVA_ALIANZA,PRI_PVEM,PRI_PT,PRI_NVA_ALIANZA,PVEM_PT,PVEM_NVA_ALIANZA,PT_NVA_ALIANZA,C_COMUN_PRI_PVEM_NVA_ALIANZA,C_COMUN_PRI_NVA_ALIANZA,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
8,CHIHUAHUA,11,MEOQUI,1,AHUMADA,1,1,16,,5,,,217,,,,,,,,,,,,,,,110,,,,,,,,,,,,,,0,348,15,363,746
8,CHIHUAHUA,11,MEOQUI,1,AHUMADA,2,2,19,,3,,,237,,,,,,,,,,,,,,,149,,,,,,,,,,,,,,0,408,11,419,625
8,CHIHUAHUA,11,MEOQUI,1,AHUMADA,3,2,20,,2,,,291,,,,,,,,,,,,,,,226,,,,,,,,,,,,,,0,539,10,549,860
8,CHIHUAHUA,11,MEOQUI,1,AHUMADA,4,2,17,,4,,,292,,,,,,,,,,,,,,,204,,,,,,,,,,,,,,0,517,12,529,769
8,CHIHUAHUA,11,MEOQUI,1,AHUMADA,5,2,6,,3,,,246,,,,,,,,,,,,,,,286,,,,,,,,,,,,,,0,541,13,554,834
8,CHIHUAHUA,11,MEOQUI,1,AHUMADA,6,3,31,,5,,,618,,,,,,,,,,,,,,,267,,,,,,,,,,,,,,1,921,16,938,1525
8,CHIHUAHUA,11,MEOQUI,1,AHUMADA,7,1,10,,0,,,245,,,,,,,,,,,,,,,168,,,,,,,,,,,,,,0,423,12,435,664
8,CHIHUAHUA,11,MEOQUI,1,AHUMADA,8,2,16,,7,,,332,,,,,,,,,,,,,,,315,,,,,,,,,,,,,,0,670,11,681,1114
8,CHIHUAHUA,11,MEOQUI,1,AHUMADA,10,1,2,,1,,,32,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,0,69,1,70,195
8,CHIHUAHUA,11,MEOQUI,1,AHUMADA,11,1,0,,0,,,24,,,,,,,,,,,,,,,52,,,,,,,,,,,,,,0,76,2,78,138
