ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,ES,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
8,CHIHUAHUA,1,NUEVO CASAS GRANDES,189,262,20845,18918,5251,986,1792,3903,3490,2451,917,36,58553,2881,61470,120832,0.5087
8,CHIHUAHUA,2,JUAREZ,69,169,8201,10758,777,1926,1098,2556,2625,3945,2350,392,34236,2951,37579,101283,0.371
8,CHIHUAHUA,3,JUAREZ,151,216,10444,14601,1071,1701,728,3072,3123,4098,2322,280,41160,3486,44926,115949,0.3875
8,CHIHUAHUA,4,JUAREZ,220,272,19767,0,1563,4594.8,8040.9,4908,3774.3,6507,3937,361,53092,3022,56475,133043,0.4245
8,CHIHUAHUA,5,JUAREZ,88,217,26543,0,1737,4046.56,7081.48,5070,3323.96,7924,4476,366,60202,2412,62980,125950,0.5
8,CHIHUAHUA,6,JUAREZ,153,234,14493,13323,1111,2212,1957,3347,3592,5464,3230,423,48729,3897,53049,123633,0.4291
8,CHIHUAHUA,7,JUAREZ,121,220,13982,0,1564,6385.5,6385.5,5417,4439,6509,4184,610,48866,2996,52472,118074,0.4444
8,CHIHUAHUA,8,JUAREZ,107,200,10726,10295,1116,2247,897,3268,4080,5173,2783,637,40585,2599,43821,112292,0.3902
8,CHIHUAHUA,9,JUAREZ,85,183,11424,9513,988,2289,707,3981,3214,5580,3342,504,41038,2658,44200,100806,0.4385
8,CHIHUAHUA,10,JUAREZ,180,224,7169,8374,1013,1871,628,3138,2453,3786,2185,442,30617,2227,33286,92198,0.361
8,CHIHUAHUA,11,MEOQUI,156,260,26128,24743,2646,2326,1114,4870,2772,1947,931,173,67477,3143,70793,130951,0.5406
8,CHIHUAHUA,12,CHIHUAHUA,97,217,27716,10581,1115,2793,792,2668,2850,3031,3027,188,54573,2454,57215,117776,0.4858
8,CHIHUAHUA,13,GUERRERO,245,311,20757,0,2716,1757,580,4061,27511,968,2270,62,60620,4022,64704,116802,0.554
8,CHIHUAHUA,14,CUAUHTEMOC,119,240,24962,0,1868,4773.44,8353.52,4121,3921.04,2489,2569,80,53057,2428,55565,128472,0.4325
8,CHIHUAHUA,15,CHIHUAHUA,131,244,49001,0,1442,5031.6,8805.3,4859,4133.1,4709,3751,178,81732,2584,84494,136227,0.6202
8,CHIHUAHUA,16,CHIHUAHUA,178,273,43070,0,1613,2111,9427,3575,9427,4888,2956,168,77067,3098,80333,142029,0.5656
8,CHIHUAHUA,17,CHIHUAHUA,126,225,32015,0,2569,6183.5,6183.5,2573,3708,4199,2858,243,60289,2466,62998,123946,0.5083
8,CHIHUAHUA,18,CHIHUAHUA,115,246,31507,0,1066,15961,1184,2253,2803,3075,2460,112,60309,2724,63145,131336,0.4808
8,CHIHUAHUA,19,DELICIAS,125,221,25444,0,4379,1181,1261,1541,17686,5172,2100,49,58764,2128,60941,121931,0.4998
8,CHIHUAHUA,20,CAMARGO,141,215,25516,0,4055,20534,2353,4421,2849,2092,732,16,62552,2024,64592,109640,0.5891
8,CHIHUAHUA,21,HIDALGO DEL PARRAL,203,285,27013,0,4020,1706,15462,5788,15462,3166,2759,181,75376,3984,79541,129966,0.612
8,CHIHUAHUA,22,GUACHOCHI,139,222,14768,27430,2221,801,774,1489,3945,775,378,32,52581,6200,58813,110429,0.5326
