ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,ES,PRI_PVEM_PT_NVA_ALIANZA,PRI_PVEM_PT,PRI_PVEM_NVA_ALIANZA,PRI_PT_NVA_ALIANZA,PVEM_PT_NVA_ALIANZA,PRI_PVEM,PRI_PT,PRI_NVA_ALIANZA,PVEM_PT,PVEM_NVA_ALIANZA,PT_NVA_ALIANZA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
6,COLIMA,,,,,13,20,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42,,
6,COLIMA,1,COLIMA,91,218,27731,21543,1222,610,1278,12152,2775,453,123,866,67,193,55,5,341,128,176,3,10,6,25,1407,71169,117846,0.6039
6,COLIMA,2,COMALA,13,32,4402,4857,208,46,278,755,143,71,29,81,15,19,4,1,65,17,11,0,1,0,5,171,11179,15950,0.7009
6,COLIMA,3,COQUIMATLAN,15,33,4983,3369,80,241,227,430,248,25,10,82,8,18,2,0,82,12,14,1,2,0,0,138,9972,15445,0.6456
6,COLIMA,4,CUAUHTEMOC,18,43,6076,4782,386,88,307,980,282,69,8,120,15,16,8,1,71,19,15,1,2,1,3,263,13513,21876,0.6177
6,COLIMA,5,VILLA DE ALVAREZ,67,156,19368,15285,1206,357,751,9221,2137,431,117,515,47,111,29,1,225,47,91,3,5,2,20,758,50727,89433,0.5672
6,COLIMA,6,ARMERIA,21,41,5129,3893,111,1291,285,432,392,69,23,99,20,26,10,1,180,14,11,3,3,3,2,310,12307,20876,0.5895
6,COLIMA,7,IXTLAHUACAN,8,12,1213,1596,14,368,98,60,48,6,0,15,5,2,0,1,19,5,3,0,1,0,1,39,3494,4875,0.7167
6,COLIMA,8,MANZANILLO,70,216,22572,19068,1366,4184,1068,7024,2310,772,893,579,73,133,28,10,701,58,93,6,16,8,21,1479,62462,126616,0.4933
6,COLIMA,9,MINATITLAN,7,15,1802,1378,27,690,68,146,96,15,2,10,5,5,1,0,65,4,5,2,0,0,2,55,4378,6771,0.6466
6,COLIMA,10,TECOMAN,60,137,18268,15409,551,918,644,2558,1151,406,73,422,51,91,18,2,402,56,63,6,5,3,11,985,42093,78843,0.5339
