CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,ES,PRI_PVEM_PT_NVA_ALIANZA,PRI_PVEM_PT,PRI_PVEM_NVA_ALIANZA,PRI_PT_NVA_ALIANZA,PVEM_PT_NVA_ALIANZA,PRI_PVEM,PRI_PT,PRI_NVA_ALIANZA,PVEM_PT,PVEM_NVA_ALIANZA,PT_NVA_ALIANZA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
5,6,COLIMA,1,COLIMA,,,0,1,10,17,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35,
5,6,COLIMA,1,COLIMA,1,COLIMA,1,7,990,1101,46,33,26,737,151,21,5,29,0,0,1,0,6,2,8,0,1,0,0,29,3186,4810
5,6,COLIMA,1,COLIMA,1,COLIMA,2,2,154,182,3,4,9,116,13,4,0,7,0,0,0,0,0,0,0,0,0,0,0,5,497,784
5,6,COLIMA,1,COLIMA,1,COLIMA,3,3,368,268,19,3,18,160,47,9,2,9,1,2,3,0,11,1,5,0,0,0,0,27,953,1587
5,6,COLIMA,1,COLIMA,1,COLIMA,4,1,177,148,3,5,2,91,36,5,0,10,1,1,0,0,0,0,1,0,0,0,0,4,484,679
5,6,COLIMA,1,COLIMA,1,COLIMA,5,1,135,111,10,8,3,66,8,4,0,2,2,0,0,0,0,0,0,0,0,0,0,6,355,547
5,6,COLIMA,1,COLIMA,1,COLIMA,6,3,387,384,7,10,6,257,35,4,1,16,1,2,2,0,1,0,2,0,0,0,1,10,1126,1714
5,6,COLIMA,1,COLIMA,1,COLIMA,7,2,186,153,5,2,5,88,29,2,3,8,0,4,0,0,0,1,3,0,0,0,1,8,498,790
5,6,COLIMA,1,COLIMA,1,COLIMA,8,2,246,246,11,2,2,160,44,6,0,12,0,2,0,0,1,0,4,0,0,0,0,12,748,1100
5,6,COLIMA,1,COLIMA,1,COLIMA,9,2,181,211,7,3,4,136,27,5,1,7,0,2,1,0,2,0,3,0,0,0,1,10,601,893
5,6,COLIMA,1,COLIMA,1,COLIMA,10,2,244,209,30,4,15,120,16,8,3,7,0,3,1,1,6,3,3,0,0,0,3,16,692,1168
5,6,COLIMA,1,COLIMA,1,COLIMA,11,1,122,145,5,5,2,72,14,1,2,7,0,0,1,0,2,1,1,0,0,0,2,7,389,584
5,6,COLIMA,1,COLIMA,1,COLIMA,12,2,151,185,7,3,6,147,20,5,0,5,0,0,0,0,4,2,0,0,0,0,0,3,538,794
5,6,COLIMA,1,COLIMA,1,COLIMA,13,2,295,331,13,4,9,243,51,8,2,7,0,0,1,0,2,0,1,0,0,0,2,6,975,1424
5,6,COLIMA,1,COLIMA,1,COLIMA,14,2,218,165,20,5,8,81,38,4,0,12,1,1,0,0,3,1,4,0,0,0,0,17,578,906
5,6,COLIMA,1,COLIMA,1,COLIMA,15,1,118,94,3,1,3,38,13,4,0,10,1,2,0,0,2,0,3,0,0,0,1,4,297,493
5,6,COLIMA,1,COLIMA,1,COLIMA,16,1,106,156,9,2,3,76,25,3,0,11,0,1,1,0,0,1,2,0,0,0,0,7,403,635
5,6,COLIMA,1,COLIMA,1,COLIMA,17,1,150,123,5,3,6,84,20,4,1,12,0,2,0,0,4,0,2,0,0,0,2,11,429,686
5,6,COLIMA,1,COLIMA,1,COLIMA,18,2,224,199,2,8,3,113,30,10,2,8,0,0,1,0,3,2,3,0,0,0,0,9,617,895
5,6,COLIMA,1,COLIMA,1,COLIMA,19,2,210,235,12,9,9,143,41,5,0,15,1,1,1,0,2,1,1,0,0,0,1,8,695,950
5,6,COLIMA,1,COLIMA,1,COLIMA,20,2,204,240,4,2,7,142,35,1,0,11,0,0,1,0,1,0,2,0,0,0,1,8,659,987
5,6,COLIMA,1,COLIMA,1,COLIMA,21,2,276,209,6,4,6,174,23,4,0,9,1,3,0,0,2,0,2,0,0,0,1,9,729,1072
5,6,COLIMA,1,COLIMA,1,COLIMA,22,2,173,136,9,4,13,107,16,4,1,6,1,1,0,0,1,1,1,0,1,0,0,3,478,829
5,6,COLIMA,1,COLIMA,1,COLIMA,23,3,410,267,16,7,35,215,22,7,4,13,3,0,1,0,9,1,2,0,0,0,0,19,1031,2020
5,6,COLIMA,1,COLIMA,1,COLIMA,24,6,933,529,33,15,101,413,35,9,5,15,3,1,2,0,5,8,3,0,0,0,0,53,2163,4001
5,6,COLIMA,1,COLIMA,1,COLIMA,25,2,248,187,11,3,12,104,23,5,1,2,0,4,0,0,5,2,1,0,0,0,0,14,622,1062
5,6,COLIMA,1,COLIMA,1,COLIMA,26,2,240,166,10,1,1,99,22,3,1,10,0,2,0,0,5,1,1,0,0,0,0,8,570,902
5,6,COLIMA,1,COLIMA,1,COLIMA,27,2,184,127,7,3,8,112,30,5,0,5,1,2,0,0,2,0,2,0,0,0,0,9,497,768
5,6,COLIMA,1,COLIMA,1,COLIMA,28,2,398,351,21,15,10,171,64,6,3,6,0,2,1,0,5,1,3,0,0,0,0,24,1081,512
5,6,COLIMA,1,COLIMA,1,COLIMA,29,1,118,166,4,2,5,99,30,4,0,7,1,2,1,0,1,0,2,0,1,0,0,10,453,695
5,6,COLIMA,1,COLIMA,1,COLIMA,30,1,113,92,4,1,11,39,12,1,0,3,0,2,0,0,0,0,1,0,0,0,0,7,286,469
5,6,COLIMA,1,COLIMA,1,COLIMA,31,2,251,162,5,7,5,97,53,6,0,7,0,3,3,0,3,0,5,0,0,0,1,14,622,974
5,6,COLIMA,1,COLIMA,1,COLIMA,32,2,243,242,21,5,11,96,30,7,1,13,0,4,0,0,4,2,1,0,0,0,0,23,703,1221
5,6,COLIMA,1,COLIMA,1,COLIMA,33,2,314,332,12,5,9,162,54,11,2,8,1,0,1,0,1,0,3,0,0,0,0,13,928,1354
5,6,COLIMA,1,COLIMA,1,COLIMA,34,2,232,276,16,11,11,176,41,6,0,13,1,4,3,0,3,1,1,0,0,0,0,11,806,1130
5,6,COLIMA,1,COLIMA,1,COLIMA,35,2,331,208,15,4,12,108,28,7,2,12,1,3,0,0,1,0,2,0,0,0,0,24,758,1288
5,6,COLIMA,1,COLIMA,1,COLIMA,36,2,341,168,17,8,12,119,20,7,1,7,0,1,1,0,0,0,1,0,0,0,0,17,720,1364
5,6,COLIMA,1,COLIMA,1,COLIMA,37,3,512,286,27,5,48,191,24,5,4,13,1,2,0,0,5,3,1,0,0,0,0,19,1146,2142
5,6,COLIMA,1,COLIMA,1,COLIMA,38,2,198,151,6,4,7,91,20,6,1,11,0,4,1,0,5,0,3,0,0,1,0,7,516,887
5,6,COLIMA,1,COLIMA,1,COLIMA,39,1,108,89,3,3,9,60,34,1,0,3,1,2,0,1,3,0,1,0,1,0,0,6,325,514
5,6,COLIMA,1,COLIMA,1,COLIMA,40,1,128,91,13,0,4,51,16,0,1,10,0,2,0,0,2,0,3,0,0,0,0,7,328,585
5,6,COLIMA,1,COLIMA,1,COLIMA,41,1,78,76,3,4,7,79,17,4,0,1,0,2,0,0,1,2,0,0,0,0,0,1,275,446
5,6,COLIMA,1,COLIMA,1,COLIMA,42,1,117,111,6,4,2,63,15,2,0,5,0,2,0,0,2,0,3,0,0,0,0,5,337,564
5,6,COLIMA,1,COLIMA,1,COLIMA,43,2,237,205,6,8,11,78,20,5,2,11,0,3,1,0,4,2,3,0,1,0,0,16,613,1070
5,6,COLIMA,1,COLIMA,1,COLIMA,44,1,110,70,5,1,3,55,17,0,0,5,0,3,0,0,1,1,1,0,0,0,0,2,274,496
5,6,COLIMA,1,COLIMA,1,COLIMA,45,3,399,291,15,12,17,195,53,4,1,13,0,5,1,0,9,1,2,0,0,0,0,26,1044,1613
5,6,COLIMA,1,COLIMA,1,COLIMA,46,2,227,171,5,0,17,141,14,3,4,1,0,0,1,0,3,2,2,0,0,0,1,12,604,894
5,6,COLIMA,1,COLIMA,1,COLIMA,47,2,270,244,12,7,10,206,36,2,1,12,0,2,2,0,4,0,2,0,0,0,0,11,821,1212
5,6,COLIMA,1,COLIMA,1,COLIMA,48,2,266,220,13,7,8,130,43,6,1,6,2,1,0,0,4,0,1,0,0,0,0,5,713,1081
5,6,COLIMA,1,COLIMA,1,COLIMA,49,1,47,82,3,2,6,37,9,2,0,2,0,0,0,0,0,0,0,0,0,0,0,2,192,322
5,6,COLIMA,1,COLIMA,1,COLIMA,50,2,197,145,2,3,7,68,24,1,0,6,0,4,0,0,2,0,1,0,0,0,1,15,476,828
5,6,COLIMA,1,COLIMA,1,COLIMA,51,2,205,155,3,5,7,69,17,4,0,7,0,1,1,0,3,2,1,0,0,0,0,17,497,804
5,6,COLIMA,1,COLIMA,1,COLIMA,52,3,440,328,21,2,17,116,30,1,0,14,0,5,1,0,4,2,1,0,1,0,0,20,1003,1644
5,6,COLIMA,1,COLIMA,1,COLIMA,53,2,334,218,23,5,14,135,18,10,2,9,0,5,1,0,2,2,4,0,0,0,0,20,802,1365
5,6,COLIMA,1,COLIMA,1,COLIMA,54,3,416,371,19,7,14,230,64,4,3,13,2,2,0,0,6,1,4,0,0,0,0,25,1181,1912
5,6,COLIMA,1,COLIMA,1,COLIMA,55,2,205,210,13,4,8,103,26,6,3,8,1,4,3,0,2,0,0,0,0,0,0,23,619,1119
5,6,COLIMA,1,COLIMA,1,COLIMA,56,1,88,79,4,8,4,60,27,0,0,2,0,1,0,0,1,0,0,0,0,0,0,4,278,441
5,6,COLIMA,1,COLIMA,1,COLIMA,57,2,160,121,4,1,4,65,25,1,1,2,0,0,0,0,2,0,2,0,0,0,1,9,398,763
5,6,COLIMA,1,COLIMA,1,COLIMA,58,2,240,196,12,5,6,94,13,4,4,12,4,4,0,0,5,2,1,0,0,0,0,19,621,1041
5,6,COLIMA,1,COLIMA,1,COLIMA,59,2,355,144,8,10,11,54,17,4,1,7,1,3,0,0,7,0,0,0,0,0,0,23,645,1158
5,6,COLIMA,1,COLIMA,1,COLIMA,60,11,1904,1160,83,73,65,633,109,36,7,48,4,13,0,0,28,4,5,1,0,1,0,75,4249,6905
5,6,COLIMA,1,COLIMA,1,COLIMA,61,3,414,264,22,12,21,163,19,8,2,7,1,0,1,0,5,3,1,0,0,0,0,19,962,1900
5,6,COLIMA,1,COLIMA,1,COLIMA,62,11,1876,991,78,51,71,546,102,27,6,46,6,17,2,1,23,9,10,1,0,1,0,105,3969,7736
5,6,COLIMA,1,COLIMA,1,COLIMA,63,2,242,191,26,9,6,132,25,2,2,11,0,2,0,0,3,0,4,0,0,0,0,16,671,1151
5,6,COLIMA,1,COLIMA,1,COLIMA,64,2,311,182,19,4,11,142,40,3,1,9,1,0,2,0,4,1,1,0,0,0,0,18,749,1270
5,6,COLIMA,1,COLIMA,1,COLIMA,65,4,424,286,27,5,20,210,23,8,5,14,0,8,0,0,4,2,2,0,0,1,0,24,1063,1883
5,6,COLIMA,1,COLIMA,1,COLIMA,66,2,239,259,11,3,8,107,31,10,1,9,0,0,1,0,3,2,1,0,0,0,0,10,695,1146
5,6,COLIMA,1,COLIMA,1,COLIMA,67,2,233,208,5,8,5,101,45,3,2,11,3,1,0,0,2,0,4,0,0,0,0,16,647,1011
5,6,COLIMA,1,COLIMA,1,COLIMA,68,2,315,275,15,7,12,173,47,2,1,12,1,1,0,0,3,0,1,0,0,0,0,13,878,1410
5,6,COLIMA,1,COLIMA,1,COLIMA,69,5,779,371,28,7,26,312,59,10,5,10,1,4,0,0,5,1,1,0,0,0,0,32,1651,3205
5,6,COLIMA,1,COLIMA,1,COLIMA,70,2,217,267,8,10,4,158,33,3,3,19,1,0,0,0,2,0,1,0,0,0,0,7,733,1125
5,6,COLIMA,1,COLIMA,1,COLIMA,71,2,261,144,12,6,12,65,9,5,0,3,1,0,0,0,3,0,2,0,0,0,1,17,541,1013
5,6,COLIMA,1,COLIMA,1,COLIMA,72,2,198,115,5,4,5,57,26,4,1,6,1,0,1,0,2,1,1,0,0,0,0,13,440,828
5,6,COLIMA,1,COLIMA,1,COLIMA,73,5,722,392,42,4,23,281,52,6,1,15,2,4,0,1,5,3,2,0,0,0,0,30,1585,3002
5,6,COLIMA,1,COLIMA,1,COLIMA,74,3,417,234,24,7,12,189,30,5,0,13,0,6,2,0,3,1,1,0,0,0,0,26,970,1794
5,6,COLIMA,1,COLIMA,1,COLIMA,75,2,321,160,20,4,17,109,24,5,0,5,0,2,0,0,5,1,3,0,0,0,0,13,689,1278
5,6,COLIMA,1,COLIMA,1,COLIMA,76,2,299,200,23,2,21,100,24,3,4,7,0,2,0,0,4,4,1,0,0,0,0,21,715,1420
5,6,COLIMA,1,COLIMA,1,COLIMA,77,2,243,179,11,5,21,104,33,3,0,3,1,1,1,0,1,2,0,0,0,0,0,9,617,964
5,6,COLIMA,1,COLIMA,1,COLIMA,78,1,34,15,2,0,16,20,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,94,132
5,6,COLIMA,1,COLIMA,1,COLIMA,79,3,300,350,15,8,14,170,58,5,2,15,1,0,0,0,3,0,2,0,0,0,0,21,964,1544
