CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN_PRD,PVEM_PRI_PD_NVA_ALIANZA,PRI,PT,PVEM,MC,PD,NVA_ALIANZA,MORENA,ES,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
1,10,DURANGO,1,DURANGO,5,DURANGO,108,B,275,,109,14,9,,2,8,20,2,36,,,,,,,1,475,5,481,749,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/DIPUTADOS/ACTAS DE ESCRUTINIO/DURANG_AEC_DIP_0108B.pdf
1,10,DURANGO,1,DURANGO,5,DURANGO,108,C01,279,,115,11,8,,0,7,18,4,36,,,,,,,0,478,9,487,748,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/DIPUTADOS/ACTAS DE ESCRUTINIO/DURANG_AEC_DIP_0108C1.pdf
1,10,DURANGO,1,DURANGO,5,DURANGO,108,C02,278,,113,15,6,,1,11,19,2,51,,,,,,,0,496,12,508,748,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/DIPUTADOS/ACTAS DE ESCRUTINIO/DURANG_AEC_DIP_0108C2.pdf
1,10,DURANGO,1,DURANGO,5,DURANGO,108,C03,293,,98,14,10,,4,3,15,4,38,,,,,,,0,479,4,483,748,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/DIPUTADOS/ACTAS DE ESCRUTINIO/DURANG_AEC_DIP_0108C3.pdf
1,10,DURANGO,1,DURANGO,5,DURANGO,108,C04,286,,100,15,7,,2,7,15,1,28,,,,,,,3,461,6,470,748,Grupo de Recuento,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/DIPUTADOS/CONSTANCIAS DE RECUENTO/0108C4.pdf
1,10,DURANGO,1,DURANGO,5,DURANGO,108,C05,279,,80,13,12,,1,14,20,7,40,,,,,,,1,466,7,474,748,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/DIPUTADOS/ACTAS DE ESCRUTINIO/DURANG_AEC_DIP_0108C5.pdf
1,10,DURANGO,1,DURANGO,5,DURANGO,108,C06,258,,104,11,6,,1,13,21,2,34,,,,,,,0,450,8,458,748,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/DIPUTADOS/ACTAS DE ESCRUTINIO/DURANG_AEC_DIP_0108C6.pdf
1,10,DURANGO,1,DURANGO,5,DURANGO,108,C07,300,,94,16,8,,3,16,15,5,26,,,,,,,0,483,11,494,748,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/DIPUTADOS/ACTAS DE ESCRUTINIO/DURANG_AEC_DIP_0108C7.pdf
1,10,DURANGO,1,DURANGO,5,DURANGO,118,B,173,,108,19,6,,1,7,11,4,28,,,,,,,0,357,5,362,845,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/DIPUTADOS/ACTAS DE ESCRUTINIO/DURANG_AEC_DIP_0118B.pdf
1,10,DURANGO,1,DURANGO,5,DURANGO,118,C01,174,,109,22,10,,0,5,11,6,18,,,,,,,0,355,6,361,721,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/DIPUTADOS/ACTAS DE ESCRUTINIO/DURANG_AEC_DIP_0118C1.pdf
1,10,DURANGO,1,DURANGO,5,DURANGO,118,C02,177,,143,27,8,,3,9,21,4,17,,,,,,,0,409,7,416,721,Grupo de Recuento,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/DIPUTADOS/CONSTANCIAS DE RECUENTO/0118C2.pdf
1,10,DURANGO,1,DURANGO,5,DURANGO,118,C03,137,,112,20,7,,0,0,10,4,13,,,,,,,0,303,7,310,721,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/DIPUTADOS/ACTAS DE ESCRUTINIO/DURANG_AEC_DIP_0118C3.pdf
1,10,DURANGO,1,DURANGO,5,DURANGO,118,C04,153,,117,18,5,,4,4,16,7,20,,,,,,,0,344,12,356,721,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/DIPUTADOS/ACTAS DE ESCRUTINIO/DURANG_AEC_DIP_0118C4.pdf
1,10,DURANGO,1,DURANGO,5,DURANGO,118,C05,169,,107,27,4,,4,4,19,4,18,,,,,,,0,356,16,372,721,Grupo de Recuento,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/DIPUTADOS/CONSTANCIAS DE RECUENTO/0118C5.pdf
1,10,DURANGO,1,DURANGO,5,DURANGO,118,C06,159,,129,20,9,,2,8,19,9,15,,,,,,,0,370,10,380,721,Grupo de Recuento,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/DIPUTADOS/CONSTANCIAS DE RECUENTO/0118C6.pdf
1,10,DURANGO,1,DURANGO,5,DURANGO,118,C07,172,,105,19,9,,2,7,7,12,13,,,,,,,0,346,7,353,721,Grupo de Recuento,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/DIPUTADOS/CONSTANCIAS DE RECUENTO/0118C7.pdf
1,10,DURANGO,1,DURANGO,5,DURANGO,118,C08,168,,110,16,6,,4,8,20,7,15,,,,,,,0,354,5,359,721,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/DIPUTADOS/ACTAS DE ESCRUTINIO/DURANG_AEC_DIP_0118C8.pdf
1,10,DURANGO,1,DURANGO,5,DURANGO,118,C09,166,,107,15,5,,3,4,13,3,12,,,,,,,0,328,6,334,721,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/DIPUTADOS/ACTAS DE ESCRUTINIO/DURANG_AEC_DIP_0118C9.pdf
1,10,DURANGO,1,DURANGO,5,DURANGO,118,C10,207,,112,20,3,,2,4,6,5,12,,,,,,,0,371,6,377,721,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/DIPUTADOS/ACTAS DE ESCRUTINIO/DURANG_AEC_DIP_0118C10.pdf
1,10,DURANGO,1,DURANGO,5,DURANGO,118,C11,180,,114,24,7,,0,7,15,4,13,,,,,,,0,364,1,365,721,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/DIPUTADOS/ACTAS DE ESCRUTINIO/DURANG_AEC_DIP_0118C11.pdf
1,10,DURANGO,1,DURANGO,5,DURANGO,119,B,149,,96,25,4,,1,1,8,6,5,,,,,,,0,295,5,300,652,Grupo de Recuento,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/DIPUTADOS/CONSTANCIAS DE RECUENTO/0119B.pdf
1,10,DURANGO,1,DURANGO,5,DURANGO,119,C01,123,,101,33,3,,1,2,3,8,10,,,,,,,0,284,16,300,652,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/DIPUTADOS/ACTAS DE ESCRUTINIO/DURANG_AEC_DIP_0119C1.pdf
1,10,DURANGO,1,DURANGO,5,DURANGO,120,B,157,,106,37,4,,1,4,11,4,14,,,,,,,0,338,4,342,729,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/DIPUTADOS/ACTAS DE ESCRUTINIO/DURANG_AEC_DIP_0120B.pdf
1,10,DURANGO,1,DURANGO,5,DURANGO,120,C01,151,,143,16,4,,2,5,9,3,10,,,,,,,0,343,12,355,728,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/DIPUTADOS/ACTAS DE ESCRUTINIO/DURANG_AEC_DIP_0120C1.pdf
1,10,DURANGO,1,DURANGO,5,DURANGO,121,B,98,,73,32,5,,1,1,4,1,1,,,,,,,0,216,4,220,461,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/DIPUTADOS/ACTAS DE ESCRUTINIO/DURANG_AEC_DIP_0121B.pdf
1,10,DURANGO,1,DURANGO,5,DURANGO,121,C01,106,,54,29,4,,0,3,7,7,13,,,,,,,0,223,2,225,461,Grupo de Recuento,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/DIPUTADOS/CONSTANCIAS DE RECUENTO/0121C1.pdf
1,10,DURANGO,1,DURANGO,5,DURANGO,122,B,87,,61,21,0,,0,0,2,5,8,,,,,,,0,184,3,187,396,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/DIPUTADOS/ACTAS DE ESCRUTINIO/DURANG_AEC_DIP_0122B.pdf
1,10,DURANGO,1,DURANGO,5,DURANGO,122,C01,83,,53,41,4,,1,2,6,2,5,,,,,,,0,197,9,206,395,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/DIPUTADOS/ACTAS DE ESCRUTINIO/DURANG_AEC_DIP_0122C1.pdf
1,10,DURANGO,1,DURANGO,5,DURANGO,123,B,126,,78,24,6,,1,6,7,1,5,,,,,,,0,254,4,258,593,Grupo de Recuento,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/DIPUTADOS/CONSTANCIAS DE RECUENTO/0123B.pdf
1,10,DURANGO,1,DURANGO,5,DURANGO,123,C01,123,,83,33,6,,2,8,10,3,5,,,,,,,1,273,5,279,593,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/DIPUTADOS/ACTAS DE ESCRUTINIO/DURANG_AEC_DIP_0123C1.pdf
1,10,DURANGO,1,DURANGO,5,DURANGO,123,C02,115,,77,45,4,,1,6,7,8,14,,,,,,,0,277,5,282,592,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/DIPUTADOS/ACTAS DE ESCRUTINIO/DURANG_AEC_DIP_0123C2.pdf
1,10,DURANGO,1,DURANGO,5,DURANGO,124,B,140,,92,63,5,,2,5,5,2,15,,,,,,,0,329,8,337,681,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/DIPUTADOS/ACTAS DE ESCRUTINIO/DURANG_AEC_DIP_0124B.pdf
1,10,DURANGO,1,DURANGO,5,DURANGO,124,C01,112,,115,55,5,,1,3,8,5,7,,,,,,,0,311,13,324,681,Grupo de Recuento,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/DIPUTADOS/CONSTANCIAS DE RECUENTO/0124C1.pdf
1,10,DURANGO,1,DURANGO,5,DURANGO,125,B,124,,71,38,7,,1,1,11,3,11,,,,,,,0,267,5,272,543,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/DIPUTADOS/ACTAS DE ESCRUTINIO/DURANG_AEC_DIP_0125B.pdf
1,10,DURANGO,1,DURANGO,5,DURANGO,125,C01,114,,103,33,3,,3,1,4,1,7,,,,,,,0,269,6,275,543,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/DIPUTADOS/ACTAS DE ESCRUTINIO/DURANG_AEC_DIP_0125C1.pdf
1,10,DURANGO,1,DURANGO,5,DURANGO,125,C02,129,,93,41,5,,1,1,8,6,10,,,,,,,0,294,9,303,543,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/DIPUTADOS/ACTAS DE ESCRUTINIO/DURANG_AEC_DIP_0125C2.pdf
1,10,DURANGO,1,DURANGO,5,DURANGO,126,B,153,,120,31,3,,1,6,12,0,5,,,,,,,0,331,12,343,649,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/DIPUTADOS/ACTAS DE ESCRUTINIO/DURANG_AEC_DIP_0126B.pdf
1,10,DURANGO,1,DURANGO,5,DURANGO,126,C01,164,,102,40,2,,1,4,9,4,10,,,,,,,1,336,9,346,649,Grupo de Recuento,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/DIPUTADOS/CONSTANCIAS DE RECUENTO/0126C1.pdf
