CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN_PRD,PRI_PVEM_PD_NVA_ALIANZA,PT,MORENA,ES,CAND_IND1,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
1,10,DURANGO,1,DURANGO,5,DURANGO,108,B,318,134,9,6,0,11,0,478,3,481,749,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/GOBERNADOR/ACTAS DE ESCRUTINIO/DURANGO_AEC_GOB_0108B.pdf
1,10,DURANGO,1,DURANGO,5,DURANGO,108,C01,338,130,17,10,1,8,0,504,3,507,748,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/GOBERNADOR/ACTAS DE ESCRUTINIO/DURANGO_AEC_GOB_0108C1.pdf
1,10,DURANGO,1,DURANGO,5,DURANGO,108,C02,354,126,5,9,0,7,0,501,7,508,748,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/GOBERNADOR/ACTAS DE ESCRUTINIO/DURANGO_AEC_GOB_0108C2.pdf
1,10,DURANGO,1,DURANGO,5,DURANGO,108,C03,336,125,7,6,2,4,0,480,3,483,748,Grupo de Recuento,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/GOBERNADOR/CONSTANCIAS DE RECUENTO/0108C3.pdf
1,10,DURANGO,1,DURANGO,5,DURANGO,108,C04,328,111,13,4,1,8,1,465,3,469,748,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/GOBERNADOR/ACTAS DE ESCRUTINIO/DURANGO_AEC_GOB_0108C4.pdf
1,10,DURANGO,1,DURANGO,5,DURANGO,108,C05,355,94,11,4,1,7,0,472,3,475,748,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/GOBERNADOR/ACTAS DE ESCRUTINIO/DURANGO_AEC_GOB_108C5.pdf
1,10,DURANGO,1,DURANGO,5,DURANGO,108,C06,312,114,9,6,2,12,0,455,3,458,748,Grupo de Recuento,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/GOBERNADOR/CONSTANCIAS DE RECUENTO/0108C6.pdf
1,10,DURANGO,1,DURANGO,5,DURANGO,108,C07,356,110,5,5,3,9,0,488,6,494,748,Grupo de Recuento,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/GOBERNADOR/CONSTANCIAS DE RECUENTO/0108C7.pdf
1,10,DURANGO,1,DURANGO,5,DURANGO,118,B,206,111,14,6,4,13,0,354,6,360,845,Grupo de Recuento,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/GOBERNADOR/CONSTANCIAS DE RECUENTO/0118B.pdf
1,10,DURANGO,1,DURANGO,5,DURANGO,118,C01,196,116,20,4,6,16,0,358,3,361,721,Acta casilla,,,http://www.iepcdgo.org.mx/img/documentos/organizacion/DURANGO/GOBERNADOR/ACTAS DE ESCRUTINIO/DURANGO_AEC_GOB_0118C1.pdf
