ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA _ALIANZA,MORENA,ES,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
13,HIDALGO,1,ACATLÁN,12,30,3271,3118,410,287,105,409,861,471,663,89,25,19,4,3,9732,477,10212,16086,0.6348
13,HIDALGO,2,ACAXOCHITLÁN,21,49,2023,5970,1440,721,673,1285,562,2843,382,0,0,0,0,20,15899,1340,17259,29120,0.5926
13,HIDALGO,3,ACTOPAN,35,72,1494,8674,1665,332,346,1407,2193,2303,4799,0,0,0,0,22,23213,961,24196,43021,0.5624
13,HIDALGO,4,AGUA BLANCA DE ITURBIDE ,12,16,1442,1023,373,100,29,110,596,207,813,29,6,20,2,5,4750,231,4986,6861,0.7267
13,HIDALGO,5,AJACUBA,11,23,1057,2053,1631,1498,952,170,338,669,212,10,22,3,0,1,8615,336,8952,13021,0.6875
13,HIDALGO,6,ALFAJAYUCAN,22,34,874,2036,2273,2412,77,121,290,561,154,0,0,0,0,1,8798,361,9160,14819,0.6181
13,HIDALGO,7,ALMOLOYA ,13,18,720,1899,275,55,1025,626,454,190,85,0,0,0,0,2,5329,138,5469,8469,0.6457
13,HIDALGO,8,APAN ,25,56,5164,4222,1625,251,1790,2135,772,1309,355,0,0,0,0,10,17623,459,18092,31645,0.5717
13,HIDALGO,9,ATITALAQUIA,10,33,3191,3266,1444,179,177,586,315,1763,489,36,3,8,4,11,11461,373,11845,19591,0.6046
13,HIDALGO,10,ATLAPEXCO,16,27,379,4907,2571,61,114,137,948,613,337,0,0,0,0,3,10067,607,10677,13915,0.7673
13,HIDALGO,11,ATOTONILCO EL GRANDE,28,45,2905,5073,2092,228,366,142,1150,371,397,0,0,0,0,4,12724,541,13269,22574,0.5878
13,HIDALGO,12,ATOTONILCO DE TULA,18,46,802,3469,3835,475,1131,1146,453,1892,2161,41,19,2,1,4,15427,424,15855,27534,0.5758
13,HIDALGO,13,CALNALI,16,23,260,2575,1867,499,214,53,382,376,2181,0,0,0,0,3,8407,533,8943,11958,0.7478
13,HIDALGO,14,CARDONAL,17,26,2651,3282,806,78,110,127,767,297,158,0,0,0,0,0,8276,452,8728,14300,0.6103
13,HIDALGO,15,CUAUTEPEC DE HINOJOSA,24,66,2763,9303,1205,1868,821,1100,2229,1959,976,0,0,0,0,24,22224,965,23213,40226,0.577
13,HIDALGO,16,CHAPANTONGO,10,16,1970,2298,109,2036,35,29,251,250,26,0,0,0,0,0,7004,142,7146,9435,0.7573
13,HIDALGO,17,CHAPULHUACÁN,25,33,45,3586,6482,39,38,13,334,210,19,0,0,0,0,0,10766,389,11155,15917,0.7008
13,HIDALGO,18,CHILCUAUTLA,15,25,3359,2028,863,619,32,109,284,1155,145,0,0,0,0,3,8594,295,8892,13024,0.6827
