CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,PUP,NVA_ALIANZA,PSD,MORENA,PRS,PAN_PRD,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,2,1,192,187,13,7,33,0,1,0,49,1,13,0,1,0,0,1,497,8,506,680
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,3,3,551,419,21,6,22,3,0,1,152,0,22,1,13,0,0,1,1211,26,1238,1613
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,4,3,599,302,23,37,30,1,7,3,109,1,22,0,12,0,0,0,1146,41,1187,1597
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,5,2,263,182,16,29,31,1,1,0,77,0,13,1,7,0,0,0,621,6,627,652
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,6,3,607,313,55,4,30,2,5,1,193,1,29,0,5,0,0,0,1245,25,1270,1735
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,7,2,325,177,40,1,9,0,2,1,82,1,19,0,5,0,0,0,662,20,682,922
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,8,1,290,146,10,1,6,0,1,1,38,0,13,0,1,0,0,0,507,9,516,712
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,9,1,270,128,22,0,2,0,0,1,50,1,18,0,1,0,0,0,493,4,497,682
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,10,2,511,214,12,4,15,1,0,0,85,1,29,0,6,0,0,0,878,19,897,1206
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,11,3,634,228,23,8,13,1,1,2,91,2,28,0,3,0,0,0,1034,12,1046,1502
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,12,3,655,300,11,13,8,1,4,1,109,0,17,0,0,0,0,0,1119,17,1136,1616
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,13,1,258,165,9,2,4,2,2,1,13,0,9,0,1,0,0,0,466,10,476,613
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,14,2,285,258,5,7,3,1,2,2,25,1,6,0,3,0,0,0,598,18,616,774
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,15,2,365,157,8,5,4,1,4,1,33,1,14,1,3,0,0,0,597,14,611,765
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,16,1,143,77,7,0,0,0,2,0,21,0,4,0,0,0,0,0,254,2,256,332
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,17,2,461,247,27,5,23,0,5,0,56,1,16,1,3,0,0,2,845,16,863,1169
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,18,1,225,69,5,4,1,0,0,0,33,1,7,0,0,0,0,0,345,6,351,422
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,19,1,238,129,9,2,1,1,0,0,27,0,7,0,5,0,0,0,419,5,424,563
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,20,1,301,150,22,4,43,0,1,0,25,0,10,1,0,0,0,0,557,10,567,674
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,21,2,239,244,72,4,91,2,6,4,171,2,23,0,1,0,0,0,859,21,880,1145
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,22,1,256,74,22,10,15,0,4,3,21,0,12,0,1,0,0,0,418,5,423,515
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,23,1,283,141,4,1,3,1,0,2,31,0,6,0,4,0,0,0,476,10,486,639
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,24,2,343,224,12,67,29,1,2,13,38,0,19,0,10,1,0,0,759,28,787,1105
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,25,2,350,78,14,23,20,1,2,2,51,1,17,0,6,0,0,0,565,15,580,803
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,26,2,409,178,8,1,2,1,4,1,17,0,18,0,2,0,0,0,641,6,647,871
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,27,1,212,223,10,6,21,1,1,3,48,0,6,0,1,0,0,0,532,2,534,699
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,28,2,293,193,8,2,15,0,1,2,58,0,5,0,2,0,0,0,579,9,588,753
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,29,2,441,301,23,5,5,2,2,1,31,0,18,0,5,0,0,0,834,14,848,1092
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,30,2,286,214,35,7,8,0,3,1,17,0,26,0,8,0,0,0,605,13,618,786
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,31,3,666,484,28,15,8,2,3,4,87,0,32,0,11,0,0,1,1340,21,1362,1774
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,32,1,164,119,9,2,10,0,1,1,6,0,3,0,0,0,0,0,315,9,324,385
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,33,3,334,546,17,14,21,2,2,1,65,1,17,0,8,1,0,0,1029,18,1047,1269
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,2,ACATLAN DE PEREZ FIGUEROA,34,2,357,367,42,7,28,1,10,3,103,1,2,0,4,0,0,0,925,23,948,1195
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,24,COSOLAPA,134,2,144,237,25,19,31,3,2,1,101,1,3,1,9,0,0,0,577,24,601,810
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,24,COSOLAPA,135,3,386,497,58,32,47,8,5,24,113,9,12,0,40,0,0,0,1231,48,1279,1736
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,24,COSOLAPA,136,3,363,378,59,31,60,14,23,15,175,11,17,0,28,0,0,0,1174,50,1224,1723
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,24,COSOLAPA,137,1,65,277,25,17,3,1,5,2,39,0,3,0,21,0,0,0,458,14,472,612
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,24,COSOLAPA,138,1,67,283,18,11,6,2,1,7,72,2,4,21,0,0,0,0,494,13,507,658
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,24,COSOLAPA,139,2,104,464,28,33,19,4,8,21,175,3,1,0,37,0,0,0,897,23,920,1265
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,24,COSOLAPA,140,1,52,208,12,30,2,8,2,8,26,1,0,0,11,0,0,0,360,9,369,474
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,24,COSOLAPA,141,1,113,265,24,19,14,4,4,10,57,2,2,0,17,0,0,0,531,19,550,732
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,24,COSOLAPA,142,1,84,84,6,24,7,2,6,41,0,0,4,2,8,0,0,0,268,32,300,468
3,20,OAXACA,1,ACATLAN DE PEREZ FIGUEROA,24,COSOLAPA,143,2,171,314,47,17,28,8,3,8,96,6,2,1,11,0,0,0,712,35,747,1072
