ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,ES,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
23,QUINTANA ROO,1,KANTUNILKIN,54,132,14188,14176,2664,5194,746,1145,927,4361,1781,50,45182,1603,46835,78198,0.5989
23,QUINTANA ROO,2,CANCÚN,66,138,4659,6449,2270,7145,1363,903,693,6363,3304,51,33149,1228,34428,81055,0.4247
23,QUINTANA ROO,3,CANCÚN,60,112,3496,4197,2147,6172,515,562,1130,4125,5520,22,27864,1109,28995,61851,0.4688
23,QUINTANA ROO,4,CANCÚN,62,115,3988,5789,2629,8853,496,736,579,4200,2964,29,30234,1184,31447,63626,0.4942
23,QUINTANA ROO,5,CANCÚN,80,145,7931,6361,2959,6798,739,1017,808,5800,2620,84,35033,1582,36699,76928,0.4771
23,QUINTANA ROO,6,CANCÚN,53,114,5508,6308,2457,7461,755,940,820,5363,3045,48,32657,1374,34079,67707,0.5033
23,QUINTANA ROO,7,CANCÚN,53,120,8385,6028,2415,6002,594,1166,970,5653,2791,88,34004,1446,35538,71906,0.4942
23,QUINTANA ROO,8,CANCÚN,48,117,9951,5645,1852,5892,432,2357,694,4049,2025,55,32897,1331,34283,71606,0.4788
23,QUINTANA ROO,9,TULUM,127,208,10107,15245,6914,2617,646,839,1005,9303,1526,43,48202,1797,50042,112016,0.4467
23,QUINTANA ROO,10,PLAYA DEL CARMEN,71,139,7911,8073,4426,1287,460,703,643,7407,1340,45,32250,1428,33723,79361,0.4249
23,QUINTANA ROO,11,COZUMEL,22,98,18324,13967,1833,1298,265,542,368,1945,676,16,39218,954,40188,64622,0.6219
23,QUINTANA ROO,12,FELIPE CARRILLO PUERTO,43,105,6486,14608,10155,1316,456,205,1365,3128,2698,15,40417,2574,43006,59964,0.7172
23,QUINTANA ROO,13,BACALAR,65,125,6804,14884,6052,1752,4909,426,2501,3510,2192,18,43030,2112,45160,66705,0.677
23,QUINTANA ROO,14,CHETUMAL,56,122,21341,11161,3691,954,786,681,845,4254,1006,27,44719,1184,45930,69394,0.6619
23,QUINTANA ROO,15,CHETUMAL,78,127,20034,9456,3065,1370,657,568,917,4168,2215,24,42450,1357,43831,68858,0.6365
