ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,PRI_PVEM_NVA_ALIANZA,PRD,PT,C_COMUN_MC_PAS,MORENA,ES,CAND_IND1,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
25,SINALOA,1,EL FUERTE,247,258,14946,24945,1137,521,11432,921,699,1555,9,56156,1204,57369,94928,0.6043
25,SINALOA,2,LOS MOCHIS,109,163,9370,15736,526,257,8691,2080,465,3410,28,40535,941,41504,83631,0.4963
25,SINALOA,3,LOS MOCHIS,151,180,8261,21962,871,224,9159,1688,176,1108,12,43449,1194,44655,82231,0.5430
25,SINALOA,4,LOS MOCHIS,160,191,9253,16381,733,357,9531,1936,428,3189,53,41808,1033,42894,85626,0.5009
25,SINALOA,5,LOS MOCHIS,87,163,9617,13756,595,426,7251,2100,438,3152,37,37335,997,38369,81752,0.4693
25,SINALOA,6,SINALOA DE LEYVA,228,229,3906,25058,801,246,13182,927,312,588,29,45020,1417,46466,78892,0.5890
25,SINALOA,7,GUASAVE,180,205,8412,25235,884,631,9668,1361,454,1219,37,47864,1147,49048,81359,0.6029
25,SINALOA,8,GUASAVE,167,191,6660,25223,916,501,11111,1170,307,804,22,46692,1131,47845,80877,0.5916
25,SINALOA,9,GUAMUCHIL,255,272,5179,25331,2157,348,19799,1005,1030,643,24,55492,1318,56834,95007,0.5982
25,SINALOA,10,MOCORITO,243,237,2704,23413,2231,466,16429,794,402,495,7,46934,1379,48320,80627,0.5993
25,SINALOA,11,NAVOLATO,127,165,4520,17751,480,280,12259,1314,766,732,23,38102,937,39062,77195,0.5060
25,SINALOA,12,CULIACAN DE ROSALES,66,156,6186,14908,822,265,12520,2491,770,2775,49,40737,1077,41863,90143,0.4644
25,SINALOA,13,CULIACAN DE ROSALES,161,205,5625,17234,1108,303,11108,2087,737,2470,70,40672,1257,41999,95533,0.4396
25,SINALOA,14,CULIACAN DE ROSALES,270,293,9017,18708,1405,348,13294,2879,879,3881,63,50411,1613,52087,102901,0.5062
25,SINALOA,15,CULIACAN DE ROSALES,78,151,4812,11044,841,265,8556,2240,635,1752,29,30145,987,31161,80047,0.3893
25,SINALOA,16,CULIACAN DE ROSALES,55,128,4194,8988,509,367,7675,1652,597,1401,64,25383,805,26252,78013,0.3365
25,SINALOA,17,CULIACAN DE ROSALES,155,192,4777,12315,694,334,9180,2066,852,1465,65,31683,1167,32915,91431,0.3599
25,SINALOA,18,CULIACAN DE ROSALES,179,213,4083,16075,946,321,12883,1163,411,692,48,36574,1134,37756,88567,0.4263
25,SINALOA,19,LA CRUZ,187,214,5228,19661,953,291,19400,529,110,508,13,46680,1192,47885,82974,0.5771
25,SINALOA,20,MAZATLAN,94,167,8749,12479,291,800,8124,1759,311,850,61,33363,1008,34432,89493,0.3847
25,SINALOA,21,MAZATLAN,76,153,9295,11926,421,379,8324,2111,456,1320,41,34232,965,35238,85348,0.4129
25,SINALOA,22,MAZATLAN,189,214,11388,16383,320,598,9091,2592,432,1343,57,42147,1341,43545,95101,0.4579
25,SINALOA,23,MAZATLAN,188,210,10002,17503,483,632,8723,1650,332,729,34,40054,1269,41357,85883,0.4816
25,SINALOA,24,EL ROSARIO,152,181,14295,15872,2280,499,9639,1397,556,936,35,45474,1005,46514,76949,0.6045
