ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,ES,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,CAND_IND22,CAND_IND23,CAND_IND24,CAND_IND25,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
28,TAMAULIPAS,1,ABASOLO,11,17,2797,2772,187,3,15,7,19,212,24,3,16,2,0,,,,,,,,,,,,,,,,,,,,,,,,0,6057,87,6144,8251,0.7446
28,TAMAULIPAS,2,ALDAMA,21,44,4884,5866,78,49,42,4958,212,239,139,21,40,14,3,,,,,,,,,,,,,,,,,,,,,,,,1,16545,398,16944,23115,0.7330
28,TAMAULIPAS,3,ALTAMIRA,84,253,41375,34432,1744,745,1157,3459,875,1812,1020,174,384,59,7,412,,,,,,,,,,,,,,,,,,,,,,,50,87655,1411,88991,155168,0.5735
28,TAMAULIPAS,4,ANTIGUO MORELOS,7,12,3664,1686,15,4,24,0,9,50,2,4,9,2,0,,,,,,,,,,,,,,,,,,,,,,,,0,5469,53,5523,7201,0.7670
28,TAMAULIPAS,5,BURGOS,8,12,1792,1681,1,6,2,0,13,0,0,1,8,5,1,,,,,,,,,,,,,,,,,,,,,,,,0,3510,21,3531,4373,0.8075
28,TAMAULIPAS,6,BUSTAMANTE,9,15,1208,2731,10,9,3,2,19,11,18,1,13,4,0,,208,,,,,,,,,,,,,,,,,,,,,,0,4237,88,4325,5521,0.7834
28,TAMAULIPAS,7,CAMARGO,16,26,2108,2491,33,24,14,15,88,138,1537,10,17,6,1,,,422,,,,,,,,,,,,,,,,,,,,,2,6904,219,7126,12788,0.5572
28,TAMAULIPAS,8,CASAS,8,12,1839,1497,24,2,10,2,9,0,22,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,0,3408,49,3549,4109,0.8637
28,TAMAULIPAS,9,CIUDAD MADERO,107,277,44485,31092,2245,1157,731,4276,972,4762,1271,48,177,25,5,,,,,,,,,,,,,,,,,,,,,,,,85,91246,1670,92590,164436,0.5631
28,TAMAULIPAS,10,CRUILLAS,5,7,207,1204,2,1,0,0,0,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1423,23,1446,2039,0.7092
28,TAMAULIPAS,11,GOMEZ FARIAS,7,17,3307,1904,9,10,34,4,50,48,21,9,7,3,0,,,,22,26,,,,,,,,,,,,,,,,,,,0,5454,73,5527,7004,0.7891
