ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,ES,CAND_IND1,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
28,TAMAULIPAS,1,NUEVO LAREDO,81,190,28214,18444,839,399,210,1482,485,792,632,302,26,51799,1592,53417,113837,0.4692
28,TAMAULIPAS,2,NUEVO LAREDO,115,231,32391,22408,883,447,245,2006,605,1054,609,478,42,61126,1053,62221,127135,0.4894
28,TAMAULIPAS,3,NUEVO LAREDO,71,192,32757,20303,584,463,222,1669,765,903,4031,406,24,62103,1142,63269,112098,0.5644
28,TAMAULIPAS,4,REYNOSA,86,189,25444,16352,703,652,420,3741,876,2329,997,726,37,52240,1103,53380,112902,0.4728
28,TAMAULIPAS,5,REYNOSA,110,200,28565,14843,807,663,442,4324,772,2814,1024,774,50,55028,1102,56180,112049,0.5014
28,TAMAULIPAS,6,REYNOSA,100,225,,160,,157,,,86,,,,,403,,403,127377,0.0032
28,TAMAULIPAS,7,REYNOSA,87,198,,78,,73,,,40,,,,,191,,191,111076,0.0017
28,TAMAULIPAS,8,RIO BRAVO,89,213,,323,,290,,,201,,,,,814,,814,123756,0.0066
28,TAMAULIPAS,9,VALLE HERMOSO,82,184,23071,23654,348,490,280,3245,603,800,1117,420,33,54028,1291,55352,102544,0.5398
28,TAMAULIPAS,10,MATAMOROS,47,169,19702,20832,426,458,264,6825,363,1139,582,456,43,51047,1227,52317,106048,0.4933
28,TAMAULIPAS,11,MATAMOROS,35,159,19380,414,589,238,301,5648,241,1137,629,463,90,29040,1561,30691,105343,0.2913
28,TAMAULIPAS,12,MATAMOROS,106,213,20052,24440,358,599,332,5157,440,1131,546,357,63,53412,984,54459,117801,0.4623
28,TAMAULIPAS,13,SAN FERNANDO,160,264,47781,31207,1466,269,161,680,446,771,546,54,2,83381,1285,84668,118365,0.7153
28,TAMAULIPAS,14,VICTORIA,82,204,40120,30677,447,523,361,8417,751,901,688,412,23,83297,1111,84431,120294,0.7019
28,TAMAULIPAS,15,VICTORIA,67,192,35995,24357,561,281,498,1004,515,734,559,314,16,64818,937,65771,117334,0.5605
28,TAMAULIPAS,16,XICOTENCATL,150,269,47891,39354,695,595,201,611,1308,575,832,417,26,92479,1736,94241,122842,0.7672
28,TAMAULIPAS,17,MANTE,123,231,42859,27049,502,681,366,896,501,1318,416,214,32,74802,1201,76035,118175,0.6434
28,TAMAULIPAS,18,ALTAMIRA,76,201,37948,21858,625,519,803,6136,628,1206,479,174,27,70376,1303,71706,114391,0.6269
28,TAMAULIPAS,19,MIRAMAR,42,156,29483,15428,899,512,443,2904,438,1231,512,269,33,52119,827,52979,103164,0.5135
28,TAMAULIPAS,20,CIUDAD MADERO,94,217,40450,19517,995,796,346,3414,596,3018,632,489,44,70253,1518,71815,125164,0.5738
28,TAMAULIPAS,21,TAMPICO,69,189,42819,133,1637,570,415,3747,440,1858,620,389,44,52628,1176,53848,116256,0.4632
28,TAMAULIPAS,22,TAMPICO,123,241,,190,,177,,,73,,,,,440,,440,129277,0.0034
