CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,ES,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,CAND_IND1,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
2,28,TAMAULIPAS,13,SAN FERNANDO,1,ABASOLO,0001,1,200,176,0,0,1,1,1,5,3,0,0,0,0,0,0,387,2,389,482
2,28,TAMAULIPAS,13,SAN FERNANDO,1,ABASOLO,0002,2,364,318,1,0,0,3,2,17,1,0,3,0,0,0,0,709,5,717,985
2,28,TAMAULIPAS,13,SAN FERNANDO,1,ABASOLO,0003,1,210,196,3,0,0,0,0,8,0,0,0,0,0,0,0,417,5,422,598
2,28,TAMAULIPAS,13,SAN FERNANDO,1,ABASOLO,0004,2,326,304,2,1,2,1,4,4,1,1,1,0,0,0,0,647,2,649,853
2,28,TAMAULIPAS,13,SAN FERNANDO,1,ABASOLO,0005,1,308,221,0,0,1,2,2,3,1,0,2,1,0,0,0,541,1,542,718
2,28,TAMAULIPAS,13,SAN FERNANDO,1,ABASOLO,0006,1,239,227,12,0,1,0,0,8,1,0,0,0,0,0,0,488,8,498,678
2,28,TAMAULIPAS,13,SAN FERNANDO,1,ABASOLO,0008,2,291,223,7,0,0,0,0,10,0,0,2,0,0,0,0,533,9,542,757
2,28,TAMAULIPAS,13,SAN FERNANDO,1,ABASOLO,0009,1,267,216,4,1,1,1,3,13,1,3,2,0,0,0,0,512,13,525,747
2,28,TAMAULIPAS,13,SAN FERNANDO,1,ABASOLO,0010,3,390,334,34,1,5,1,4,74,2,1,0,0,0,3,0,849,24,873,1177
2,28,TAMAULIPAS,13,SAN FERNANDO,1,ABASOLO,0011,1,302,168,3,1,0,1,1,3,13,0,0,0,0,0,0,492,5,497,632
2,28,TAMAULIPAS,13,SAN FERNANDO,1,ABASOLO,0012,2,233,242,7,0,1,0,0,6,0,0,0,0,0,0,0,489,4,493,624
2,28,TAMAULIPAS,18,ALTAMIRA,2,ALDAMA,0013,3,718,498,4,3,1,262,12,13,10,2,6,2,0,0,0,1531,36,1573,2154
2,28,TAMAULIPAS,18,ALTAMIRA,2,ALDAMA,0014,3,641,420,8,0,3,158,14,7,8,9,3,3,0,0,0,1274,41,1323,1808
2,28,TAMAULIPAS,18,ALTAMIRA,2,ALDAMA,0015,2,402,292,5,1,3,133,6,4,7,2,2,2,0,0,0,859,24,883,1248
2,28,TAMAULIPAS,18,ALTAMIRA,2,ALDAMA,0016,2,377,236,1,0,0,82,7,7,1,1,1,2,0,0,0,715,10,725,1041
2,28,TAMAULIPAS,18,ALTAMIRA,2,ALDAMA,0017,2,319,246,5,0,0,55,14,5,1,1,3,3,0,1,0,653,12,665,940
2,28,TAMAULIPAS,18,ALTAMIRA,2,ALDAMA,0018,3,557,335,0,1,4,167,10,9,4,4,1,3,0,0,0,1095,23,1113,1524
2,28,TAMAULIPAS,18,ALTAMIRA,2,ALDAMA,0019,4,909,857,5,3,1,310,28,18,12,6,7,1,1,1,0,2159,55,2117,2866
2,28,TAMAULIPAS,18,ALTAMIRA,2,ALDAMA,0020,2,107,121,2,1,1,109,4,0,0,0,0,0,0,0,0,345,4,349,586
2,28,TAMAULIPAS,18,ALTAMIRA,2,ALDAMA,0021,1,109,129,0,3,0,36,0,6,4,1,0,0,0,0,0,288,8,296,551
2,28,TAMAULIPAS,18,ALTAMIRA,2,ALDAMA,0022,1,220,132,1,0,0,180,0,3,0,0,0,0,0,0,0,536,13,549,697
2,28,TAMAULIPAS,18,ALTAMIRA,2,ALDAMA,0023,2,346,312,6,0,3,166,11,16,2,6,2,4,0,0,0,874,33,907,1239
2,28,TAMAULIPAS,18,ALTAMIRA,2,ALDAMA,0024,2,256,153,5,1,2,168,17,13,0,0,0,0,0,0,0,615,48,663,884
2,28,TAMAULIPAS,18,ALTAMIRA,2,ALDAMA,0025,2,251,194,4,0,2,212,4,4,1,2,1,0,0,0,0,675,26,701,902
2,28,TAMAULIPAS,18,ALTAMIRA,2,ALDAMA,0026,1,216,93,3,1,4,60,3,29,2,1,5,0,0,0,0,417,9,426,582
2,28,TAMAULIPAS,18,ALTAMIRA,2,ALDAMA,0027,3,500,246,1,0,4,160,6,1,10,0,3,3,0,0,0,934,21,949,1302
2,28,TAMAULIPAS,18,ALTAMIRA,2,ALDAMA,0028,1,204,144,1,0,0,84,9,4,0,0,1,2,0,0,0,449,8,457,601
2,28,TAMAULIPAS,18,ALTAMIRA,2,ALDAMA,0029,1,47,72,0,1,0,54,2,2,1,0,0,0,0,0,0,179,6,185,237
2,28,TAMAULIPAS,18,ALTAMIRA,2,ALDAMA,0030,3,396,278,4,1,4,200,5,10,4,0,2,0,0,0,0,904,17,921,1312
2,28,TAMAULIPAS,18,ALTAMIRA,2,ALDAMA,0031,1,172,193,2,0,0,109,0,5,0,0,0,0,0,0,0,481,23,504,611
2,28,TAMAULIPAS,18,ALTAMIRA,2,ALDAMA,0032,2,271,135,2,0,2,140,4,2,7,0,0,0,0,0,0,563,29,592,788
2,28,TAMAULIPAS,18,ALTAMIRA,2,ALDAMA,0033,3,290,333,13,16,11,245,5,80,3,0,2,1,0,1,1,1000,38,1039,1242
2,28,TAMAULIPAS,18,ALTAMIRA,3,ALTAMIRA,0034,6,1305,678,18,8,24,86,11,35,18,12,9,2,0,2,2,2208,26,2237,3777
2,28,TAMAULIPAS,18,ALTAMIRA,3,ALTAMIRA,0035,2,435,278,8,6,16,42,8,13,5,2,3,0,0,5,0,821,14,819,1424
2,28,TAMAULIPAS,18,ALTAMIRA,3,ALTAMIRA,0036,3,644,423,10,8,11,46,4,25,5,2,8,1,0,2,0,1189,20,1209,2076
2,28,TAMAULIPAS,18,ALTAMIRA,3,ALTAMIRA,0037,2,307,169,2,1,5,24,0,5,2,0,1,0,0,2,0,518,13,531,860
2,28,TAMAULIPAS,18,ALTAMIRA,3,ALTAMIRA,0038,6,1224,622,16,13,68,115,22,41,18,5,10,2,0,12,3,2168,30,2191,4067
2,28,TAMAULIPAS,18,ALTAMIRA,3,ALTAMIRA,0039,3,627,253,8,2,27,35,8,26,8,2,9,0,0,1,0,1006,21,1027,1599
2,28,TAMAULIPAS,18,ALTAMIRA,3,ALTAMIRA,0040,5,1045,611,12,15,36,83,10,43,13,3,5,0,0,8,1,1884,25,1910,3109
2,28,TAMAULIPAS,18,ALTAMIRA,3,ALTAMIRA,0041,3,486,341,7,6,15,75,6,28,6,3,5,2,0,6,0,986,13,1049,1599
2,28,TAMAULIPAS,18,ALTAMIRA,3,ALTAMIRA,0042,2,425,222,2,4,12,25,8,13,6,1,1,1,0,3,0,723,14,737,1145
2,28,TAMAULIPAS,18,ALTAMIRA,3,ALTAMIRA,0043,3,622,321,3,3,8,29,5,20,14,2,5,1,0,3,0,1036,13,1049,1510
2,28,TAMAULIPAS,18,ALTAMIRA,3,ALTAMIRA,0044,4,793,554,8,7,23,64,7,18,10,4,15,2,0,7,0,1512,39,1551,2812
2,28,TAMAULIPAS,18,ALTAMIRA,3,ALTAMIRA,0045,6,1278,718,31,17,26,67,13,36,20,17,14,2,0,7,0,2246,50,2295,3830
2,28,TAMAULIPAS,18,ALTAMIRA,3,ALTAMIRA,0046,3,718,447,7,5,15,67,9,30,5,1,5,1,0,5,0,1315,11,1326,1318
2,28,TAMAULIPAS,18,ALTAMIRA,3,ALTAMIRA,0047,1,125,42,0,0,1,4,3,3,2,0,1,0,0,0,0,181,4,185,270
2,28,TAMAULIPAS,18,ALTAMIRA,3,ALTAMIRA,0048,13,2815,1321,39,22,83,259,35,138,49,10,12,1,0,20,1,4804,52,4946,9073
2,28,TAMAULIPAS,18,ALTAMIRA,3,ALTAMIRA,0049,2,415,219,6,5,9,33,2,9,10,1,1,0,0,3,0,713,11,724,1103
2,28,TAMAULIPAS,18,ALTAMIRA,3,ALTAMIRA,0050,2,349,216,9,10,6,22,5,8,5,0,3,0,0,1,0,634,9,643,1009
2,28,TAMAULIPAS,18,ALTAMIRA,3,ALTAMIRA,0051,3,511,380,7,1,16,31,2,9,5,0,6,0,0,5,0,973,10,983,1535
2,28,TAMAULIPAS,18,ALTAMIRA,3,ALTAMIRA,0052,2,505,309,5,1,22,41,3,22,2,3,1,0,0,6,0,920,13,933,1356
