ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NVA_ALIANZA,PAC,PS,MORENA,ES,CAND_IND2,CAND_IND3,CAND_IND4,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,38,96,6490,7050,3267,1251,358,1122,558,7306,651,2702,1287,,,,5,32047,1624,33671,55068,0.6114
29,TLAXCALA,2,TLAXCO DE MORELOS,59,108,7426,5709,5446,898,290,1896,452,1384,9131,1966,318,,,,75,34991,1791,36782,54441,0.6756
29,TLAXCALA,3,SAN COSME XALOZTOC,42,92,7612,11071,1756,1876,2348,614,833,1875,6419,2140,627,,,,9,37180,1866,39046,53372,0.7316
29,TLAXCALA,4,APIZACO,36,100,5828,6956,7217,838,354,968,550,3231,498,4223,493,1286,1557,,44,34043,1782,35825,61094,0.5864
29,TLAXCALA,5,SAN DIONICIO YAUHQUEMEHCAN,51,98,14420,7472,2132,1219,380,546,591,2284,872,2949,610,,,,66,33541,1683,35224,53942,0.6530
29,TLAXCALA,6,IXTACUIXTLA DE MARIANO MATAMOROS,53,113,3395,7101,9425,1386,1249,2477,534,6034,1602,3854,1253,,,,443,38753,2679,41432,62676,0.6611
29,TLAXCALA,7,TLAXCALA DE XICOHTENCATL,35,112,5249,9277,9880,882,472,1283,734,3635,1241,5094,1140,,,605,2450,41942,2336,44278,70480,0.6282
29,TLAXCALA,8,SAN BERNARDINO CONTLA,35,97,9288,7366,9955,1203,375,954,583,2314,760,4189,853,,,,29,37869,2104,39973,57134,0.6996
29,TLAXCALA,9,SANTA ANA CHIAUTEMPAN,36,104,5949,6362,5534,7766,324,1498,503,5244,743,4442,1248,,,,38,39651,2355,42006,63205,0.6646
29,TLAXCALA,10,HUAMANTLA,41,90,7137,8674,3161,1274,2066,477,653,2601,956,3536,716,,,,23,31274,1947,33221,52776,0.6295
29,TLAXCALA,11,HUAMANTLA,48,94,7090,9995,4115,2151,3100,344,752,2689,735,1923,334,,,,44,33272,2285,35557,50642,0.7021
29,TLAXCALA,12,SAN LUIS TEOLOCHOLCO,37,104,6488,10391,11469,1465,528,4023,822,1504,497,4735,1120,,,,18,43060,2694,45754,63877,0.7163
29,TLAXCALA,13,ZACATELCO,32,100,7599,3379,8367,1375,172,2261,267,5048,1411,6296,3196,,,,32,39403,2032,41435,60129,0.6891
29,TLAXCALA,14,SANTA MARIA NATIVITAS,39,100,6003,9412,7576,1761,479,1,745,4384,5732,4008,974,,,,25,41100,2357,43457,61432,0.7074
29,TLAXCALA,15,VICENTE GUERRERO,23,93,10466,8628,8582,2547,782,1599,649,1588,375,3188,298,,,,44,38746,1728,40474,59742,0.6775
