ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,MC,NVA_ALIANZA,PAC,PS,MORENA,ES,CAND_IND1,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,38,96,6659,8831,9887,404,687,936,1318,615,2075,640,464,6,32522,1148,33670,55068,0.6114
29,TLAXCALA,2,TLAXCO DE MORELOS,59,108,8668,9982,9421,481,1149,1172,415,2312,1518,109,362,13,35602,1208,36810,54441,0.6761
29,TLAXCALA,3,SAN COSME XALOZTOC,42,92,8335,11297,11086,1469,331,807,900,1398,1833,253,271,27,38007,1165,39172,53372,0.7339
29,TLAXCALA,4,APIZACO,36,100,8523,10621,9616,423,421,216,862,178,2642,211,860,44,34617,1092,35709,61094,0.5845
29,TLAXCALA,5,SAN DIONICIO YAUHQUEMEHCAN,51,98,9300,9624,9984,625,554,502,1081,397,2480,219,388,16,35170,1178,36348,53942,0.6738
29,TLAXCALA,6,IXTACUIXTLA DE MARIANO MATAMOROS,53,113,4520,9347,17108,727,1798,1052,1498,578,2669,199,790,33,40319,1244,41563,62676,0.6631
29,TLAXCALA,7,TLAXCALA DE XICOHTÉNCATL,35,112,5441,11693,18209,431,1126,468,1332,270,2974,241,1310,53,43548,1057,44605,70480,0.6329
29,TLAXCALA,8,SAN BERNARDINO CONTLA,35,97,6727,10573,14810,798,511,372,1176,205,2806,226,695,29,38928,1008,39936,57134,0.6990
29,TLAXCALA,9,SANTA ANA CHIAUTEMPAN,36,104,5672,12826,14155,829,1002,674,904,277,2849,409,932,14,40543,1373,41916,63205,0.6632
29,TLAXCALA,10,HUAMANTLA,41,90,6866,10715,7102,1124,280,646,893,617,2800,368,513,49,31973,1339,33312,52776,0.6312
29,TLAXCALA,11,HUAMANTLA,48,94,6375,11905,10270,1726,279,554,946,254,1345,119,260,14,34047,1439,35486,50642,0.7007
29,TLAXCALA,12,SAN LUIS TEOLOCHOLCO,37,104,6646,10671,13549,2444,5200,485,841,350,3169,320,630,26,44331,1327,45658,63877,0.7148
29,TLAXCALA,13,ZACATELCO,32,100,5941,8429,11138,498,7948,633,1024,565,2697,736,555,33,40197,1136,41333,60129,0.6874
29,TLAXCALA,14,SANTA MARÍA NATIVITAS,39,100,6073,10260,11063,1821,2166,1831,1838,1727,2935,364,1921,37,42036,1337,43373,61432,0.7060
29,TLAXCALA,15,VICENTE GUERRERO,23,93,12128,9983,9901,514,2039,366,701,377,2680,131,299,29,39148,1267,40415,59742,0.6765
