ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,MC,NA,PAC,PS,MORENA,ES,PRI_PVEM_NVA_ALIANZA_PS,PRI_NVA_ALIANZA_PVEM,PRI_PS_PVEM,PRI_PS_NVA_ALIANZA,PVEM_PS_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PRI_PS,PVEM_NVA_ALIANZA,PVEM_PS,NVA_ALIANZA_PS,CAND_IND1,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
29,TLAXCALA,1,AMAXAC DE GUERRERO,4,12,534,1574,1994,265,50,90,286,19,400,24,6,5,1,0,1,16,2,0,1,0,0,86,3,5357,113,5470,7683,0.7120
29,TLAXCALA,2,APETATITLAN DE ANTONIO CARVAJAL,7,20,1681,2141,2881,45,90,69,187,17,489,32,15,4,1,0,0,8,2,1,0,0,0,144,14,7821,187,8008,11080,0.7227
29,TLAXCALA,3,APIZACO,37,102,8715,10816,9743,397,436,211,876,178,2653,227,57,11,4,1,0,36,3,4,0,0,1,864,44,35277,1114,36391,61976,0.5872
29,TLAXCALA,4,ATLANGATEPEC,9,11,692,1291,931,26,81,142,34,45,193,2,4,3,0,0,0,1,1,7,0,1,4,16,0,3474,108,3582,4665,0.7678
29,TLAXCALA,5,ATLTZAYANCA,19,27,1035,3132,3394,237,72,70,327,59,302,33,9,3,2,0,0,26,10,2,7,1,0,60,1,8782,341,9123,11688,0.7805
29,TLAXCALA,6,CALPULALPAN,21,55,4112,4781,4796,145,451,197,948,212,1298,361,49,9,1,0,0,27,9,5,1,1,1,324,1,17729,664,18393,32380,0.5680
29,TLAXCALA,7,EL CARMEN TEQUEXQUITLA,7,17,1646,2712,1551,61,53,24,321,35,211,9,11,5,0,0,1,13,6,1,1,0,1,55,2,6719,410,7129,10812,0.6594
29,TLAXCALA,8,CUAPIAXTLA,10,20,1435,2191,1997,893,67,46,24,71,264,12,5,1,6,3,0,22,3,6,0,3,3,36,2,7090,255,7345,9724,0.7553
29,TLAXCALA,9,CUAXOMULCO,5,8,760,747,1141,99,43,14,110,20,151,4,3,0,0,0,0,7,0,0,0,0,0,19,0,3118,94,3212,4134,0.7770
29,TLAXCALA,10,CHIAUTEMPAN,30,83,4258,10489,10594,367,693,274,762,142,2357,193,57,21,16,1,3,61,9,12,3,1,2,793,14,31122,1088,32210,49849,0.6462
29,TLAXCALA,11,MUÑOZ DE DOMINGO ARENAS,4,7,605,784,687,95,20,42,15,38,146,15,5,0,0,0,2,1,4,1,1,1,0,13,0,2475,96,2571,3542,0.7259
29,TLAXCALA,12,ESPAÑITA,12,14,1490,1598,828,20,60,26,217,27,236,4,3,0,0,0,0,8,1,0,0,0,1,16,1,4536,106,4642,6257,0.7419
29,TLAXCALA,13,HUAMANTLA,42,100,7273,12730,8669,1118,309,845,965,485,2300,239,33,21,12,4,1,84,31,12,10,8,1,510,54,35714,1400,37114,59649,0.6222
29,TLAXCALA,14,HUEYOTLIPAN,12,20,1742,1991,2538,78,73,55,130,59,758,49,5,2,0,0,2,3,1,2,0,0,0,52,1,7541,288,7829,11002,0.7116
29,TLAXCALA,15,IXTACUIXTLA DE MARIANO MATAMOROS,25,51,1975,4530,5731,157,1195,649,859,133,842,69,208,5,2,0,2,10,10,1,3,0,2,244,12,16639,565,17204,27027,0.6365
29,TLAXCALA,16,IXTENCO,4,8,566,789,1149,79,34,135,123,144,347,92,1,0,0,0,0,3,1,2,0,0,0,77,0,3542,163,3705,5061,0.7321
29,TLAXCALA,17,MAZATECOCHCO DE JOSE MARIA MORELOS,4,12,456,1405,1198,518,1076,48,45,43,415,101,4,1,0,0,0,14,0,0,0,0,0,89,0,5413,179,5592,7327,0.7632
29,TLAXCALA,18,CONTLA DE JUAN CUAMATZI,17,44,2888,4888,6163,142,201,112,531,96,1513,137,33,7,1,1,0,11,7,4,0,0,1,346,7,17089,482,17571,25376,0.6924
29,TLAXCALA,19,TEPETITLA DE LARDIZABAL,8,22,2544,1629,2231,470,296,423,150,128,826,118,13,4,0,1,0,21,6,1,2,0,3,215,19,9100,267,9367,13775,0.6800
29,TLAXCALA,20,SANCTORUM DE LAZARO CARDENAS,5,11,1039,683,1481,102,112,177,186,130,196,107,5,2,0,0,0,4,8,1,0,0,1,43,2,4279,142,4421,6276,0.7044
29,TLAXCALA,21,NANACAMILPA DE MARIANO ARISTA,10,23,1120,2499,2663,86,101,518,79,113,339,26,7,3,0,1,0,7,9,7,0,0,0,79,3,7660,270,7930,12398,0.6396
29,TLAXCALA,22,ACUAMANALA DE MIGUEL HIDALGO,4,7,708,843,963,93,156,16,106,104,428,8,0,1,2,2,0,5,0,5,0,0,1,41,2,3484,85,3569,4328,0.8246
29,TLAXCALA,23,NATIVITAS,14,31,1097,3048,2584,536,509,226,924,364,713,80,18,9,1,4,3,25,12,3,3,2,0,424,1,10586,434,11020,17528,0.6287
29,TLAXCALA,24,PANOTLA,16,35,1371,2668,6074,315,447,160,276,331,941,66,14,6,1,0,4,15,1,15,1,2,0,300,15,13023,394,13417,19827,0.6767
29,TLAXCALA,25,SAN PABLO DEL MONTE,17,79,11011,8481,9021,414,1603,269,290,329,2176,117,156,6,2,4,6,34,12,11,11,1,3,245,28,34230,1115,35345,51211,0.6902
29,TLAXCALA,26,SANTA CRUZ TLAXCALA,7,21,1624,1911,3772,293,170,78,172,57,404,33,10,2,0,0,0,6,1,4,0,0,0,119,5,8661,226,8887,12995,0.6839
29,TLAXCALA,27,TENANCINGO,6,14,1117,1413,880,17,436,52,411,9,504,14,3,1,0,1,0,3,2,0,0,0,0,54,1,4918,152,5070,8531,0.5943
29,TLAXCALA,28,TEOLOCHOLCO,9,26,1858,2684,3448,1255,277,48,171,86,1065,74,20,3,0,0,0,108,1,2,2,2,4,165,5,11278,383,11661,16200,0.7198
29,TLAXCALA,29,TEPEYANCO,7,16,736,1750,2372,77,373,160,170,42,346,57,10,12,0,1,0,17,8,0,5,0,1,108,0,6245,149,6394,8437,0.7579
29,TLAXCALA,30,TERRENATE,8,16,1757,2394,1734,161,52,201,83,288,252,6,25,8,3,2,0,27,6,7,4,1,7,47,2,7067,237,7304,9722,0.7513
29,TLAXCALA,31,TETLA DE LA SOLIDARIDAD,15,35,3892,3045,3239,116,340,75,163,1541,588,51,22,3,0,0,0,3,1,9,1,1,0,133,8,13231,398,13629,20419,0.6675
29,TLAXCALA,32,TETLATLAHUCA,7,14,578,1586,1504,506,429,298,168,184,340,99,30,7,3,0,1,16,7,1,3,3,0,809,0,6572,171,6743,9147,0.7372
29,TLAXCALA,33,TLAXCALA,35,112,5441,11610,18209,353,1126,430,1332,244,2974,241,107,28,5,1,3,52,9,9,4,0,7,1310,53,43548,1057,44605,70480,0.6329
29,TLAXCALA,34,TLAXCO,35,62,4084,5537,5251,236,728,899,218,677,737,56,171,17,1,1,2,21,17,11,7,2,6,213,5,18897,702,19599,29357,0.6676
29,TLAXCALA,35,TOCATLAN,3,7,477,712,964,37,13,68,35,284,103,3,408,0,0,0,0,1,0,3,0,0,0,19,1,3128,90,3218,4241,0.7588
29,TLAXCALA,36,TOTOLAC,12,27,1174,2041,5303,151,156,177,363,56,886,64,10,4,0,0,0,2,12,1,0,0,5,246,6,10657,285,10942,15822,0.6916
29,TLAXCALA,37,ZITLALTEPEC DE TRINIDAD SANCHEZ SANTOS,7,12,1286,867,612,273,24,41,79,60,721,102,12,3,2,8,2,19,1,16,2,2,2,35,4,4173,209,4382,6484,0.6758
