ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCION,CASILLA,PAN_PRD,PRI_PVEM_NVA_ALIANZA_AVE,PT,MC,PC,MORENA,ES,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
30,VERACRUZ,1,PANUCO,246,398,26346,58916,754,3419,354,8886,487,2991,,,,,,,,,,,,,,,74,102153,2572,104799,193283,0.5422
30,VERACRUZ,2,TANTOYUCA,198,365,48620,49164,1517,946,968,12996,887,,,,,,,,,,,,,,,,16,115098,3675,118789,191491,0.6203
30,VERACRUZ,3,TUXPAN,160,372,37495,30615,1891,824,1108,23869,1121,,,,,,,,,,,,,,,,61,96923,3366,100350,205347,0.4887
30,VERACRUZ,4,ALAMO TEMAPACHE,210,398,43770,48931,2387,2161,1107,14925,1525,,1132,,,,,,,,,,,,,,45,115938,4263,120246,201760,0.596
30,VERACRUZ,5,POZA RICA,139,323,30266,26901,1233,1700,2383,23553,981,,,4913,,,,,,,,,,,,,70,91930,3061,95061,184805,0.5144
30,VERACRUZ,6,PAPANTLA,149,351,32954,55257,1961,2755,945,12512,609,,,,881,,,,,,,,,,,,35,107874,4071,111980,195530,0.5727
30,VERACRUZ,7,MARTINEZ DE LA TORRE,173,342,28823,27413,3445,906,1522,17624,1422,,,,,1056,489,,,,,,,,,,53,82700,3122,85875,176344,0.487
30,VERACRUZ,8,MISANTLA,214,380,28378,30555,13431,2521,3015,19703,1396,,,,,,,,,,,,,,,,39,98999,3302,102340,185638,0.5513
30,VERACRUZ,9,PEROTE,131,317,26670,34277,5147,1771,3010,15568,890,,,,,,,,,,,,,,,,28,87333,4293,91654,168267,0.5447
30,VERACRUZ,10,XALAPA I,137,304,25239,19100,1603,3322,1875,38719,2986,,,,,,,,,,,,,,,,1826,92844,3753,98423,177680,0.5539
30,VERACRUZ,11,XALAPA II,117,314,30666,20218,1338,3831,2909,35232,3940,,,,,,,1942,1918,,,,,,,,147,101994,3530,105671,183827,0.5748
30,VERACRUZ,12,COATEPEC,122,309,27197,34901,1196,1082,1089,23509,1476,,,,,,,,,1124,,,,,,,93,91574,4480,96147,175236,0.5487
30,VERACRUZ,13,EMILIANO ZAPATA,171,350,43745,27701,2308,2462,1862,16902,1340,,,,,,,,,,1284,,,,,,104,97604,2750,100458,182984,0.549
30,VERACRUZ,14,VERACRUZ I,173,379,57099,23849,1146,3221,822,18244,2052,,,,,,,,,,,990,,,,,84,107423,3421,110928,217523,0.51
30,VERACRUZ,15,VERACRUZ II,190,399,64520,24562,1662,1799,1105,21401,2190,,,,,,,,,,,,,,,,163,117239,3965,121367,227222,0.5341
30,VERACRUZ,16,BOCA DEL RIO,186,378,67554,31435,1020,1532,790,14356,1363,,,,,,,,,,,,,,,,104,118050,3765,121919,207755,0.5868
30,VERACRUZ,17,MEDELLIN,137,339,42180,34908,1175,1562,641,16599,924,,,,,,,,,,,,,,,,43,97989,3304,101336,185371,0.5467
30,VERACRUZ,18,HUATUSCO,119,303,35594,37258,1097,2357,1689,11498,957,,,,,,,,,,,,,,,,79,90450,4650,95179,172008,0.5533
30,VERACRUZ,19,CORDOBA,154,348,31467,36327,1173,3001,1245,26721,1580,,,,,,,,,,,,,,,,197,101514,4554,106265,194588,0.5461
30,VERACRUZ,20,ORIZABA,168,360,27492,22365,1998,1872,1955,37162,2690,,,,,,,,,,,,2396,,,,187,97930,4584,102701,200593,0.512
30,VERACRUZ,21,CAMERINO Z. MENDOZA,117,294,23861,24208,2115,1340,1019,25625,1785,,,,,,,,,,,,,1429,,,84,81382,4493,85959,169017,0.5086
30,VERACRUZ,22,ZONGOLICA,133,292,35905,36960,1847,1051,844,11789,956,,,,,,,,,,,,,,,,24,89352,5687,95063,162438,0.5852
30,VERACRUZ,23,COSAMALOAPAN,193,386,38841,40016,2191,1285,849,18947,856,,,,,,,,,,,,,,,,50,102985,3956,106991,199506,0.5363
30,VERACRUZ,24,SANTIAGO TUXTLA,181,360,37290,35977,1582,1626,665,14391,542,,,,,,,,,,,,,,1393,,91,93466,3746,97303,194287,0.5008
30,VERACRUZ,25,SAN ANDRES TUXTLA,132,313,17196,44874,990,1934,1096,15862,2755,,,,,,,,,,,,,,,,72,84707,5709,90488,178466,0.507
30,VERACRUZ,26,COSOLEACAQUE,159,369,26412,32318,1623,829,1138,32785,2821,,,,,,,,,,,,,,,,29,97926,5076,103031,204741,0.5032
30,VERACRUZ,27,ACAYUCAN,151,329,25869,31651,1427,6234,990,20258,1387,,,,,,,,,,,,,,,,55,87816,3151,91022,181385,0.5018
30,VERACRUZ,28,MINATITLAN,151,341,21877,29463,993,990,611,28659,1711,,,,,,,,,,,,,,,,77,84304,3173,87554,173581,0.5044
30,VERACRUZ,29,COATZACOALCOS I,149,353,10097,29456,1942,1522,1286,49202,2169,,,,,,,,,,,,,,,,125,95674,3343,99142,195052,0.5083
30,VERACRUZ,30,COATZACOALCOS II,152,355,11308,25677,965,743,538,37743,1339,,,,,,,,,,,,,,,3662,66,81975,3420,85461,185400,0.461
