ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,SECCIONES,CASILLAS,PAN_PRD,PRI_PVEM_NVA_ALIANZA_AVE_PC,PT,MC,MORENA,ES,CAND_IND1,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS ,TOTAL_VOTOS,LISTA_NOMINAL,PARTICIPACION
30,VERACRUZ,1,PANUCO,246,398,29689,57386,810,1217,12387,543,945,27,102977,2824,105828,193283,0.5475
30,VERACRUZ,2,TANTOYUCA,198,365,48665,48952,1331,824,15552,560,905,8,116789,3248,120045,191491,0.6269
30,VERACRUZ,3,TUXPAN,160,372,38269,28663,1840,715,26704,981,1781,76,98953,3016,102045,205347,0.4969
30,VERACRUZ,4,ALAMO TEMAPACHE,210,398,44290,48719,2422,2145,17458,879,1071,35,116984,4110,121129,201760,0.6004
30,VERACRUZ,5,POZA RICA,139,323,29076,22883,1449,1330,35045,966,2771,104,93520,2512,96136,184805,0.5202
30,VERACRUZ,6,PAPANTLA,149,351,38306,46701,1903,2111,18273,494,943,28,108731,3044,111803,195530,0.5718
30,VERACRUZ,7,MARTINEZ DE LA TORRE,173,342,30276,29022,2821,734,21772,1012,1072,34,86709,2508,89251,176344,0.5061
30,VERACRUZ,8,MISANTLA,214,380,34682,30758,4135,904,28592,1061,781,26,100913,3005,103944,185638,0.5599
30,VERACRUZ,9,PEROTE,131,317,30628,29710,6057,1391,18927,824,1260,20,88797,3336,92153,168267,0.5477
30,VERACRUZ,10,XALAPA I,137,304,28619,17273,1460,2883,44267,2254,1763,129,98519,2502,101150,177680,0.5693
30,VERACRUZ,11,XALAPA II,117,314,33238,22007,1293,3134,41812,2539,2143,65,106166,2610,108841,183827,0.5921
30,VERACRUZ,12,COATEPEC,122,309,31269,25097,1260,1271,32146,1347,1806,76,94196,3238,97510,175236,0.5564
30,VERACRUZ,13,EMILIANO ZAPATA,171,350,45063,28063,1522,1197,21383,977,1393,96,99598,2276,101970,182984,0.5573
30,VERACRUZ,14,VERACRUZ I,173,379,58021,22030,1481,1757,22089,1529,3054,63,109961,2957,112981,217523,0.5194
30,VERACRUZ,15,VERACRUZ II,190,399,65753,23500,1478,1109,22664,1300,3011,76,118815,2869,121760,227222,0.5359
30,VERACRUZ,16,BOCA DEL RIO,186,378,68318,30632,1008,1099,14925,811,2067,34,118860,3010,121904,207755,0.5868
30,VERACRUZ,17,MEDELLIN,137,339,45678,29658,1119,858,18442,673,1898,36,98326,2368,100730,185371,0.5434
30,VERACRUZ,18,HUATUSCO,119,303,37690,33383,1193,1242,16255,816,2675,88,93254,3417,96759,172008,0.5625
30,VERACRUZ,19,CORDOBA,154,348,29417,32046,971,1062,32218,1119,8713,98,105546,3220,108864,194588,0.5595
30,VERACRUZ,20,ORIZABA,168,360,26556,20973,1685,1241,41802,2012,6933,166,101202,3443,104811,200593,0.5225
30,VERACRUZ,21,CAMERINO Z. MENDOZA,117,294,23678,20721,1259,824,32291,1363,2777,31,82913,3090,86034,169017,0.5090
30,VERACRUZ,22,ZONGOLICA,133,292,37460,33519,1672,859,15520,587,950,48,90567,4115,94730,162438,0.5832
30,VERACRUZ,23,COSAMALOAPAN,193,386,37932,35605,1567,786,24058,700,1678,35,102326,3124,105485,199506,0.5287
30,VERACRUZ,24,SANTIAGO TUXTLA,181,360,37610,34465,1418,596,18474,534,1409,50,94506,2972,97528,194287,0.5020
30,VERACRUZ,25,SAN ANDRES TUXTLA,132,313,21807,41243,993,1028,19756,2025,980,54,87832,3033,90919,178466,0.5094
30,VERACRUZ,26,COSOLEACAQUE,159,369,26007,31448,1250,787,37733,1009,1232,50,99466,3377,102893,204741,0.5026
30,VERACRUZ,27,ACAYUCAN,151,329,27345,31733,1154,1340,25559,625,1118,32,88874,2950,91856,181385,0.5064
30,VERACRUZ,28,MINATITLAN,151,341,21713,26587,966,722,35056,950,1109,47,87103,2596,89746,173581,0.5170
30,VERACRUZ,29,COATZACOALCOS I,149,353,15034,20713,1089,1160,55836,1989,2383,63,98204,2696,100963,195052,0.5176
30,VERACRUZ,30,COATZACOALCOS II,152,355,12641,24860,961,666,42630,1421,1124,43,84303,2655,87001,185400,0.4693
