CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,CABECERA_DISTRITAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLA,PAN,PRI,PRD,PT,PVEM,PRS,MC,NVA_ALIANZA,MORENA,ES,PAN_PRD_PT_PRS,PAN_PRD_PT,PAN_PRD_PRS,PAN_PT_PRS,PRD_PT_PRS,PAN_PRD,PAN_PT,PAN_PRS,PRD_PT,PRD_PRS,PT_PRS,PRI_PVEM_NVA_ALIANZA,PRI_PVEM,PRI_NVA_ALIANZA,PVEM_NVA_ALIANZA,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,CAND_IND22,CAND_IND23,CAND_IND24,CAND_IND25,CAND_IND26,CAND_IND27,CAND_IND28,CAND_IND29,CAND_IND30,CAND_IND31,CAND_IND32,CAND_IND33,CAND_IND34,CAND_IND35,CAND_IND36,CAND_IND37,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TEPJF,OBSERVACIONES,RUTA_ACTA
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,1,B,10,94,21,18,6,1,14,11,122,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,314,22,336,486,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,2,B,18,68,18,3,13,1,6,6,124,7,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,277,13,290,476,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,2,C01,21,77,27,1,6,1,9,10,123,8,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,294,21,315,475,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,3,B,22,102,77,5,4,3,8,17,107,6,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,366,14,380,651,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,3,C01,21,67,51,4,13,4,20,14,127,6,2,2,0,0,0,1,0,0,2,0,0,0,0,0,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,346,14,360,651,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,3,C02,17,76,52,4,3,1,15,8,138,10,4,0,0,0,0,2,0,0,0,0,0,0,0,1,1,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,349,15,364,651,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,4,B,11,84,51,3,11,2,21,29,182,7,3,0,0,0,0,0,0,0,1,0,0,0,0,3,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,412,8,420,672,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,5,B,18,43,37,2,7,2,10,19,122,12,2,0,0,0,0,3,0,0,0,0,0,1,1,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,283,15,298,456,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,5,C01,15,34,45,1,10,2,4,19,129,11,0,0,0,0,1,2,0,1,0,0,0,0,0,1,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,281,13,294,456,,,,
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA,6,B,16,53,46,2,10,2,11,9,113,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,289,11,300,418,,,,
