CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,ID_DEMARCACION_TERRITORIAL,DEMARCACION_TERRITORIAL,SECCION,CASILLAS,PAN,PRI,PRD,PT,PVEM,PRS,MC,NVA_ALIANZA,MORENA,ES,PAN_PRD_PT_PRS,PAN_PRD_PT,PAN_PRD_PRS,PAN_PT_PRS,PRD_PT_PRS,PAN_PRD,PAN_PT,PAN_PRS,PRD_PT,PRD_PRS,PT_PRS,CAND_IND62,CAND_IND63,CAND_IND64,CAND_IND65,CAND_IND66,CAND_IND67,CAND_IND68,CAND_IND69,CAND_IND70,CAND_IND71,CAND_IND72,CAND_IND73,CAND_IND74,CAND_IND75,CAND_IND76,CAND_IND77,CAND_IND78,CAND_IND79,CAND_IND80,CAND_IND81,CAND_IND82,CAND_IND83,CAND_IND84,CAND_IND85,CAND_IND86,CAND_IND87,CAND_IND88,CAND_IND89,CAND_IND90,CAND_IND91,CAND_IND92,CAND_IND93,CAND_IND94,CAND_IND95,CAND_IND96,CAND_IND97,CAND_IND98,CAND_IND99,CAND_IND100,CAND_IND101,CAND_IND102,CAND_IND103,CAND_IND104,CAND_IND105,CAND_IND106,CAND_IND107,CAND_IND108,CAND_IND109,CAND_IND110,CAND_IND111,CAND_IND112,CAND_IND113,CAND_IND114,CAND_IND115,CAND_IND116,CAND_IND117,CAND_IND118,CAND_IND119,CAND_IND120,CAND_IND121,CAND_IND122,CAND_IND123,CAND_IND124,CAND_IND125,CAND_IND126,CAND_IND127,CAND_IND128,CAND_IND129,CAND_IND130,CAND_IND131,CAND_IND132,CAND_IND133,CAND_IND134,CAND_IND135,CAND_IND136,CAND_IND137,CAND_IND138,CAND_IND139,CAND_IND140,CAND_IND141,CAND_IND142,CAND_IND143,CAND_IND144,CAND_IND145,CAND_IND146,CAND_IND147,CAND_IND148,CAND_IND149,CAND_IND150,CAND_IND151,CAND_IND152,CAND_IND153,CAND_IND154,CAND_IND155,CAND_IND156,CAND_IND157,CAND_IND158,CAND_IND159,CAND_IND160,CAND_IND161,CAND_IND162,CAND_IND163,CAND_IND164,CAND_IND165,CAND_IND166,CAND_IND167,CAND_IND168,CAND_IND169,CAND_IND170,CAND_IND171,CAND_IND172,CAND_IND173,CAND_IND174,CAND_IND175,CAND_IND176,CAND_IND177,CAND_IND178,CAND_IND179,CAND_IND180,CAND_IND181,CAND_IND182,CAND_IND183,CAND_IND184,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA 01,1,1,16,104,20,81,13,7,19,1,42,7,1,0,0,0,0,1,0,0,0,0,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,325,19,344,486
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA 01,8,2,19,139,43,86,39,10,34,17,136,16,1,0,0,0,0,0,0,0,2,0,0,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,561,19,580,817
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA 01,9,2,21,251,55,121,59,11,57,17,177,65,2,0,0,0,1,3,0,0,0,0,0,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,873,21,895,1330
1,18,NAYARIT,1,ACAPONETA,1,ACAPONETA 01,10,2,27,161,29,105,35,6,49,21,158,38,1,1,0,0,0,0,0,0,1,0,0,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,667,22,689,965
1,18,NAYARIT,1,ACAPONETA,2,ACAPONETA 02,2,2,29,211,43,3,43,2,39,17,161,19,2,3,0,0,0,1,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,574,31,605,951
1,18,NAYARIT,1,ACAPONETA,2,ACAPONETA 02,3,3,54,329,195,3,37,5,92,25,282,21,9,2,0,0,0,4,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1059,43,1102,1953
1,18,NAYARIT,1,ACAPONETA,2,ACAPONETA 02,4,1,9,98,47,6,29,1,54,18,137,6,2,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,408,10,418,672
1,18,NAYARIT,1,ACAPONETA,2,ACAPONETA 02,24,1,13,253,63,5,9,2,24,2,166,7,0,2,0,1,0,6,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,554,26,580,732
1,18,NAYARIT,1,ACAPONETA,3,ACAPONETA 03,5,2,26,72,103,6,157,4,7,19,48,8,2,1,0,0,1,3,0,1,0,0,0,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,558,30,589,912
1,18,NAYARIT,1,ACAPONETA,3,ACAPONETA 03,6,1,2,36,20,2,36,0,4,5,28,3,0,0,0,0,0,0,0,0,0,0,0,,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,292,13,305,418
1,18,NAYARIT,1,ACAPONETA,3,ACAPONETA 03,7,1,10,39,30,2,21,1,3,2,92,6,2,0,0,0,0,1,0,0,0,0,0,,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,339,7,346,474
1,18,NAYARIT,1,ACAPONETA,3,ACAPONETA 03,11,1,2,41,13,0,15,6,4,6,37,3,0,0,0,0,0,0,0,0,1,0,0,,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,211,5,216,330
1,18,NAYARIT,1,ACAPONETA,3,ACAPONETA 03,12,1,12,88,33,1,74,2,6,2,75,7,0,0,0,0,0,1,1,0,0,0,0,,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,445,15,460,632
1,18,NAYARIT,1,ACAPONETA,3,ACAPONETA 03,13,2,18,66,50,1,120,1,6,19,99,3,1,0,0,0,0,1,0,0,0,0,0,,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,512,22,534,567
1,18,NAYARIT,1,ACAPONETA,4,ACAPONETA 04,14,1,14,35,34,2,21,2,2,10,36,1,2,1,0,0,0,0,0,0,0,0,0,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,180,3,183,245
1,18,NAYARIT,1,ACAPONETA,4,ACAPONETA 04,15,1,16,55,63,2,14,8,9,22,90,6,0,0,1,0,0,3,0,0,0,0,1,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,299,10,309,426
1,18,NAYARIT,1,ACAPONETA,4,ACAPONETA 04,16,2,36,79,176,6,37,3,16,87,98,31,3,1,0,0,0,4,0,0,1,0,0,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,622,9,631,943
1,18,NAYARIT,1,ACAPONETA,4,ACAPONETA 04,17,2,21,94,114,1,16,1,8,33,146,23,0,1,0,0,0,1,0,0,0,0,0,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,490,18,508,791
1,18,NAYARIT,1,ACAPONETA,4,ACAPONETA 04,18,2,19,94,155,7,22,0,6,41,83,57,2,1,0,0,0,3,0,0,0,1,0,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,518,17,535,793
1,18,NAYARIT,1,ACAPONETA,5,ACAPONETA 05,19,1,8,30,5,1,2,0,3,1,8,1,0,0,0,0,0,0,0,0,0,0,0,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,68,13,81,119
1,18,NAYARIT,1,ACAPONETA,5,ACAPONETA 05,20,1,15,41,8,1,7,0,18,4,13,1,0,0,0,0,0,0,0,0,0,0,0,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,132,24,156,250
1,18,NAYARIT,1,ACAPONETA,5,ACAPONETA 05,21,1,72,74,15,6,11,3,14,7,36,2,2,1,0,0,0,3,0,0,0,0,0,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,277,20,297,415
1,18,NAYARIT,1,ACAPONETA,5,ACAPONETA 05,22,1,37,17,7,0,1,1,9,1,69,0,0,0,0,0,0,1,0,0,0,0,0,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,155,17,172,212
1,18,NAYARIT,1,ACAPONETA,5,ACAPONETA 05,23,2,52,68,19,5,17,4,24,3,102,23,3,0,0,0,0,1,0,0,0,0,0,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,366,31,397,571
