CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,CASILLA,C_COMUN_PAN_PRD_PD,PRI,PVEM,PT,MC,NA,MORENA,ES,PT_MORENA,CAND_IND1,CAND_IND2,CAND_IND3,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
,10,DURANGO,1,DURANGO,5,DURANGO,108,B,1,0,B,182,67,28,27,34,23,112,7,3,,,,483,0,17,500,738,GRUPO DE RECUENTO,,,
,10,DURANGO,1,DURANGO,5,DURANGO,108,C,1,0,C01,190,79,21,14,28,19,121,11,4,,,,487,2,16,505,737,ACTA CASILLA,,,
,10,DURANGO,1,DURANGO,5,DURANGO,108,C,2,0,C02,179,70,35,34,31,16,116,10,2,,,,493,1,18,512,737,ACTA CASILLA,,,
,10,DURANGO,1,DURANGO,5,DURANGO,108,C,3,0,C03,146,57,19,30,39,15,121,11,7,,,,445,2,15,462,737,GRUPO DE RECUENTO,,,
,10,DURANGO,1,DURANGO,5,DURANGO,108,C,4,0,C04,166,75,32,30,29,12,112,11,0,,,,467,2,22,491,737,ACTA CASILLA,,,
,10,DURANGO,1,DURANGO,5,DURANGO,108,C,5,0,C05,168,49,16,30,30,9,143,10,3,,,,458,0,18,476,737,GRUPO DE RECUENTO,,,
,10,DURANGO,1,DURANGO,5,DURANGO,108,C,6,0,C06,159,40,20,27,44,25,122,11,2,,,,450,0,18,468,737,GRUPO DE RECUENTO,,,
,10,DURANGO,1,DURANGO,5,DURANGO,108,C,7,0,C07,180,66,22,30,32,14,109,7,0,,,,460,1,18,479,737,ACTA CASILLA,,,
,10,DURANGO,1,DURANGO,5,DURANGO,108,C,8,0,C08,183,47,21,29,31,17,120,9,5,,,,462,0,20,482,737,ACTA CASILLA,,,
,10,DURANGO,1,DURANGO,5,DURANGO,108,S,1,0,SMR01,7,1,0,0,0,0,3,1,0,,,,12,0,1,13,750,ACTA LEVANTADA EN CONSEJO,,,
,10,DURANGO,1,DURANGO,5,DURANGO,118,B,1,0,B,99,66,28,59,34,15,88,11,3,,,,403,0,21,424,737,GRUPO DE RECUENTO,,,
