ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PAN_PRD_MC,PT_MORENA_ES,CAND_IND47,CAND_IND48,CAND_IND49,CAND_IND50,CAND_IND51,CAND_IND52,CAND_IND53,CAND_IND54,CAND_IND55,CAND_IND56,CAND_IND57,CAND_IND58,CAND_IND59,CAND_IND60,CAND_IND61,CAND_IND62,CAND_IND63,CAND_IND64,CAND_IND65,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
14,JALISCO,1,TEQUILA,218,487,,35322,,6716,,,5832,,,76591,41872,,,,,,,,,,,,,,,,,,,,166333,477,7669,171304,270051,
14,JALISCO,2,LAGOS DE MORENO,178,452,49086,23222,1837,8715,,37225,4974,,,,19227,,,,,,,,,,,,,,,,,,,,143464,597,6975,151036,259145,
14,JALISCO,3,TEPATITLAN DE MORELOS,217,556,55132,32066,1534,9809,1939,49238,6055,17279,2923,,,,,,,,,,,,,,,,,,,,,,175975,102,10437,186514,329885,
14,JALISCO,4,ZAPOPAN,119,449,,22043,,4889,,,2351,,,52057,39021,7141,,,,1333,26964,,,,,,,,,,,,,,155952,176,4660,158569,289174,
14,JALISCO,5,PUERTO VALLARTA,148,474,8932,22361,2290,5821,,47898,1819,,,,46039,,,,,,,,,13679,,,,,,,,,,1315,150154,30,6267,156451,283360,
14,JALISCO,6,ZAPOPAN,165,503,24403,18948,1453,5322,,45227,2405,,,,42884,,,,,,,,,,4728,,,28807,,,,,,,174177,86,5631,178360,318321,
14,JALISCO,7,TONALA,68,379,11181,19026,992,5214,,34572,3861,,,,39299,,,15087,,,,,,,,,,,,,,,,,129232,171,4612,132452,254129,
14,JALISCO,8,GUADALAJARA,333,606,,24221,,5584,,,2771,,,83506,42641,,4822,,44517,,,,,,,,,,,,,,,,208521,425,5657,214144,327935,
14,JALISCO,9,GUADALAJARA,193,501,,22357,,7354,,,4372,,,74247,59812,,,,,,,,,,,,,,,,,,,,168142,476,6912,175530,305245,
14,JALISCO,10,ZAPOPAN,109,455,,15436,,4033,,,2393,,,68804,31049,,,,,,,52686,1198,,,,,,,,,,,,175599,507,4048,178171,295195,
14,JALISCO,11,GUADALAJARA,230,536,19929,24488,2457,6137,,56410,3660,,,,57645,,,,,,,,,,,11972,,,,,,,,,182698,193,6943,187907,312730,
14,JALISCO,12,TLAJOMULCO DE ZUÑIGA,129,518,,10136,,4728,,,2464,,,91144,50776,,,,,,,,,,,,8820,,,,,,,,167021,429,4502,169803,332408,
14,JALISCO,13,SAN PEDRO TLAQUEPAQUE,138,450,,19215,,5101,,,2007,,,60252,39626,,,,,,,,,,,,,,2837,34215,,,,,163197,400,5065,168718,284968,
14,JALISCO,14,GUADALAJARA,226,539,21633,19342,1455,6078,,54302,3555,,,,50722,,,,,,,,,,,,,,,,28837,3152,,,189076,118,7597,196791,315700,
14,JALISCO,15,LA BARCA,199,528,,32300,,15025,,,914,,,63909,51359,,,,,,,,,,,,,,,,,,,,171607,64,7351,170922,312487,
14,JALISCO,16,SAN PEDRO TLAQUEPAQUE,115,459,18147,27660,1748,7815,,40215,3966,,,,54276,,,,,,,,,,,,,,,,,,,,153827,156,6629,,297661,
14,JALISCO,17,JOCOTEPEC,171,443,,32778,,15423,,,6295,,,58968,37811,,,,,,,,,,,,,,,,,,,,152709,98,6106,156534,261059,
14,JALISCO,18,AUTLAN DE NAVARRO,246,517,,40567,,9572,2791,,6666,35599,1548,73413,,,,,,,,,,,,,,,,,,,,,169085,102,8152,176679,286529,
14,JALISCO,19,ZAPOTLAN EL GRANDE,254,535,,30711,,10879,,,5363,,,64396,50587,,,,,,,,,,,,,,,,,,18105,,179011,313,7253,187607,298471,
14,JALISCO,20,TONALA,89,421,15962,21853,2138,7570,,49821,2799,,,,41168,,,,,,,,,,,,,,,,,,,,141214,192,5727,,277118,
