ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,CAND_IND47,CAND_IND48,CAND_IND49,CAND_IND50,CAND_IND51,CAND_IND52,CAND_IND53,CAND_IND54,CAND_IND55,CAND_IND56,CAND_IND57,CAND_IND58,CAND_IND59,CAND_IND60,CAND_IND61,CAND_IND62,CAND_IND63,CAND_IND64,CAND_IND65,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
14,JALISCO,1,TEQUILA,218,487,30601,35322,2767,6716,6909,41288,5832,32250,1475,,,,,,,,,,,,,,,,,,,,163160,477,7669,171304,270051,
14,JALISCO,2,LAGOS DE MORENO,178,452,49086,23222,1837,8715,1414,37225,4974,16259,1158,,,,,,,,,,,,,,,,,,,,143890,597,6975,151462,259145,
14,JALISCO,3,TEPATITLAN DE MORELOS,217,556,55132,32066,1534,9809,1939,49238,6055,17279,2923,,,,,,,,,,,,,,,,,,,,175975,102,10437,186514,329885,
14,JALISCO,4,ZAPOPAN,119,449,17170,22043,1336,4889,2815,32937,2351,32863,1891,7141,,,,1333,26964,,,,,,,,,,,,,,153733,176,4660,158569,289174,
14,JALISCO,5,PUERTO VALLARTA,148,474,8932,22361,2290,5821,2909,47898,1819,41748,1382,,,,,,,,,13679,,,,,,,,,,1315,150154,30,6267,156451,283360,
14,JALISCO,6,ZAPOPAN,165,503,24403,18948,1453,5322,2874,45227,2405,36156,2320,,,,,,,,,,4728,,,28807,,,,,,,172643,86,5631,178360,318321,
14,JALISCO,7,TONALA,68,379,11181,19026,992,5214,3444,34572,3861,32195,2097,,,15087,,,,,,,,,,,,,,,,,127669,171,4612,132452,254129,
14,JALISCO,8,GUADALAJARA,333,606,34906,24221,1522,5584,2778,47078,2771,37715,2148,,4822,,44517,,,,,,,,,,,,,,,,208062,425,5657,214144,327935,
14,JALISCO,9,GUADALAJARA,193,501,18397,22357,1905,7354,4725,53072,4372,49836,3932,,,,,,,,,,,,,,,,,,,,165950,476,6912,175530,305245,
14,JALISCO,10,ZAPOPAN,109,455,32886,15436,992,4033,2328,34138,2393,25673,1853,,,,,,,52686,1198,,,,,,,,,,,,173616,507,4048,178171,295195,
14,JALISCO,11,GUADALAJARA,230,536,19929,24488,2457,6137,4022,56410,3660,48286,3410,,,,,,,,,,,11972,,,,,,,,,180771,193,6943,187907,312730,
14,JALISCO,12,TLAJOMULCO DE ZUÑIGA,129,518,15035,10136,2768,4728,2752,72066,2464,43251,2852,,,,,,,,,,,,8820,,,,,,,,164872,429,4502,169803,332408,
14,JALISCO,13,SAN PEDRO TLAQUEPAQUE,138,450,22522,19215,1406,5101,3060,36324,2007,33968,2598,,,,,,,,,,,,,,2837,34215,,,,,163253,400,5065,168718,284968,
14,JALISCO,14,GUADALAJARA,226,539,21633,19342,1455,6078,3930,54302,3555,43596,3196,,,,,,,,,,,,,,,,28837,3152,,,189076,118,7597,196791,315700,
14,JALISCO,15,LA BARCA,199,528,24236,32300,3763,15025,3794,35910,914,38405,9160,,,,,,,,,,,,,,,,,,,,163507,64,7351,170922,312487,
14,JALISCO,16,SAN PEDRO TLAQUEPAQUE,115,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297661,
14,JALISCO,17,JOCOTEPEC,171,443,18047,32778,2434,15423,2714,38487,6295,32205,1947,,,,,,,,,,,,,,,,,,,,150330,98,6106,156534,261059,
14,JALISCO,18,AUTLAN DE NAVARRO,246,517,23635,40567,6578,9572,2791,41469,6666,35599,1548,,,,,,,,,,,,,,,,,,,,168425,102,8152,176679,286529,
14,JALISCO,19,ZAPOTLAN EL GRANDE,254,535,15058,30711,7283,10879,4935,42055,5363,42498,3154,,,,,,,,,,,,,,,,,,18105,,180041,313,7253,187607,298471,
14,JALISCO,20,TONALA,89,421,15962,21853,2138,7570,2953,49821,2799,33811,2750,,,,,,,,,,,,,,,,,,,,139657,192,5727,,277118,
