ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NA,MORENA,ES,VR,CAND_IND1,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS 1,82,389,11895,28899,9270,5017,4183,8738,4244,78016,6427,3420,,160109,175,5280,165564,260453,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDM2018_D01.pdf
15,MEXICO,2,TOLUCA DE LERDO,106,374,33592,36572,6130,5246,4772,3314,3219,63301,4454,4515,,165115,620,5284,171019,241049,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDM2018_D02.pdf
15,MEXICO,3,CHIMALHUACAN,91,382,6801,57371,7390,3967,2301,1713,2226,61670,3303,1699,,148441,61,4351,152853,251806,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDM2018_D03.pdf
15,MEXICO,4,LERMA DE VILLADA,118,421,25102,50441,5816,4281,15354,3396,3645,67188,3405,4496,,183124,75,5527,188726,262595,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDM2018_D04.pdf
15,MEXICO,5,CHICOLOAPAN DE JUAREZ,110,405,8218,47545,9392,4099,4497,2255,2829,67492,4097,2744,,153168,98,5310,158576,263181,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDM2018_D05.pdf
15,MEXICO,6,ECATEPEC DE MORELOS,106,349,13862,23884,7432,4177,5102,2497,2632,69188,4131,3089,,135994,81,4000,140075,222082,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDM2018_D06.pdf
15,MEXICO,7,TENANCINGO DE DEGOLLADO,137,429,23044,40908,11858,10142,9246,2763,5375,66285,3177,6585,,179383,137,6723,186243,262331,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDM2018_D07.pdf
15,MEXICO,8,ECATEPEC DE MORELOS,150,389,17861,28352,7796,4122,5459,2708,4290,76533,4422,2790,,154333,90,4850,159273,232046,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDM2018_D08.pdf
15,MEXICO,9,TEJUPILCO DE HIDALGO,252,529,17930,57494,30724,7316,4715,2304,5826,50779,2149,3404,,182641,90,8533,191264,272227,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDM2018_D09.pdf
15,MEXICO,10,VALLE DE BRAVO,176,456,17552,59765,22685,5617,9866,1790,4358,47957,2169,9323,,181082,74,8123,189279,252414,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDM2018_D10.pdf
15,MEXICO,11,TULTITLAN DE MARIANO ESCOBEDO,125,399,17676,23749,10978,4265,4981,5415,6845,75339,4515,5101,,158864,123,4918,163905,247313,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDM2018_D11.pdf
15,MEXICO,12,TEOLOYUCAN,103,398,23971,30879,4286,3792,8854,10497,5002,76280,5092,4043,,172696,75,5195,177966,260134,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDM2018_D12.pdf
