ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NA,MORENA,ES,VR,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,CAND_IND1,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
15,MEXICO,1,ACAMBAY,32,86,4459,9148,658,640,778,438,1363,11050,430,259,55,36,20,1,169,49,5,85,,29643,7,1308,30958,45311,
15,MEXICO,2,ACOLMAN,26,125,3496,14120,2770,1200,2812,696,1173,25369,1038,1057,124,42,21,15,632,125,17,162,,54869,14,1419,56302,81436,
15,MEXICO,3,ACULCO,23,59,4287,8815,1368,450,610,397,399,5104,509,424,128,75,12,6,127,31,9,59,,22810,3,983,23796,33305,
15,MEXICO,4,ALMOLOYA DE ALQUISIRAS,12,23,880,3767,340,132,66,98,90,3042,63,34,11,8,2,0,20,17,2,9,,8581,1,285,8867,11863,
15,MEXICO,5,ALMOLOYA DE JUAREZ,56,181,10587,15649,3084,5095,3159,1410,3341,24546,1627,2105,334,104,34,19,481,205,33,143,,71956,19,3419,75394,111693,
15,MEXICO,6,ALMOLOYA DEL RIO,5,13,533,1438,423,156,567,48,93,2717,126,64,12,11,1,1,25,13,6,10,,6244,4,233,6481,8464,
15,MEXICO,7,AMANALCO,10,29,466,3635,221,591,555,107,462,4533,136,2046,0,0,0,0,114,42,3,19,,12930,27,422,13379,17591,
15,MEXICO,8,AMATEPEC,27,46,284,5313,4338,137,76,102,267,3335,181,30,20,59,3,18,31,20,0,16,,14230,25,774,15029,20578,
15,MEXICO,9,AMECAMECA,26,68,1049,9519,2149,427,2153,618,441,9321,494,1668,70,20,6,9,144,28,6,64,,28186,23,977,29186,40264,
15,MEXICO,10,APAXCO,14,36,3059,2813,178,243,294,1122,662,5391,375,262,31,9,9,5,68,15,1,44,,14581,32,560,15173,21514,
15,MEXICO,11,ATENCO,14,66,1749,7070,582,1294,746,422,1113,14335,754,475,37,8,6,3,321,85,13,57,,29070,14,915,29999,43672,
15,MEXICO,12,ATIZAPAN,3,13,529,1200,128,292,610,68,90,2570,70,219,6,6,0,1,43,18,2,6,,5858,2,205,6065,8343,
15,MEXICO,13,ATIZAPAN DE ZARAGOZA,167,617,66778,33897,4752,4593,24335,3727,5657,95246,5215,6824,1262,314,163,84,2957,605,96,569,,257074,211,7595,264880,396803,
15,MEXICO,14,ATLACOMULCO,39,126,5859,12317,878,2499,1893,665,1114,22099,1188,692,107,46,20,7,662,197,34,116,,50393,18,1800,52211,74401,
15,MEXICO,15,ATLAUTLA,13,34,1194,4344,392,194,187,350,284,5168,212,1968,25,7,2,8,56,25,0,25,,14441,15,609,15065,20936,
