ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NA,MORENA,ES,VR,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
15,MEXICO,1,CHALCO DE DIAZ COVARRUBIAS ,82,389,11917,28917,9277,5019,4191,8742,4245,78078,6431,3423,160240,175,5285,165700,260453,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDRP2018_D01.pdf
15,MEXICO,2,TOLUCA DE LERDO,106,374,33648,36608,6136,5252,4781,3316,3225,63401,4457,4519,165343,620,5290,171253,241049,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDRP2018_D02.pdf
15,MEXICO,3,CHIMALHUACAN,91,382,6817,57441,7407,3970,2307,1716,2231,61785,3304,1703,148681,62,4363,153106,251806,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDRP2018_D03.pdf
15,MEXICO,4,LERMA DE VILLADA,118,421,25102,50441,5816,4281,15354,3396,3645,67188,3405,4496,183124,75,5527,188726,262595,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDRP2018_D04.pdf
15,MEXICO,5,CHICOLOAPAN DE JUAREZ,110,405,8218,47545,9392,4099,4497,2255,2829,67492,4097,2744,153168,98,5310,158576,263181,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDRP2018_D05.pdf
15,MEXICO,6,ECATEPEC DE MORELOS,106,349,13886,23915,7444,4183,5111,2501,2638,69348,4135,3096,136257,81,4014,140352,222082,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDRP2018_D06.pdf
15,MEXICO,7,TENANCINGO DE DEGOLLADO,137,429,23143,40969,11871,10148,9262,2770,5380,66403,3182,6596,179724,137,6723,186584,262331,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDRP2018_D07.pdf
15,MEXICO,8,ECATEPEC DE MORELOS,150,389,17885,28377,7806,4125,5463,2711,4294,76648,4426,2793,154528,90,4855,159473,232046,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDRP2018_D08.pdf
15,MEXICO,9,TEJUPILCO DE HIDALGO,252,529,18028,57591,30755,7323,4727,2315,5842,51052,2160,3419,183212,90,8533,191835,272227,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDRP2018_D09.pdf
15,MEXICO,10,VALLE DE BRAVO,176,456,17705,59945,22730,5641,9894,1811,4380,48502,2178,9344,182130,74,8159,190363,252414,http://www.ieem.org.mx/proceso2018/actas/distrital/ACDRP2018_D10.pdf
