CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,CASILLA,PAN,PRI,PRD,PT,PVEM,MC,NA,MORENA,ES,C_COMUN_PAN_PRD,C_COMUN_PAN_MC,C_COMUN_PRD_PVEM,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PT_MORENA,CAND_IND36,CAND_IND37,CAND_IND38,CAND_IND39,CAND_IND40,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
5,16,MICHOACAN,1,LA PIEDAD,28,CHURINTZIO,411,B,1,0,B,15,39,113,7,3,3,0,76,3,1,,,,,,,,,,,,,260,1,14,275,547,Acta casilla,,,http://iem.org.mx/actas/D0411B.pdf
5,16,MICHOACAN,1,LA PIEDAD,28,CHURINTZIO,411,C,1,0,C01,17,41,117,8,3,3,0,79,3,0,,,,,,,,,,,,,271,1,14,286,547,Acta casilla,,,http://iem.org.mx/actas/D0411C01.pdf
5,16,MICHOACAN,1,LA PIEDAD,28,CHURINTZIO,412,B,1,0,B,15,57,96,5,6,1,1,63,2,1,,,,,,,,,,,,,247,0,18,265,478,Acta casilla,,,http://iem.org.mx/actas/D0412B.pdf
5,16,MICHOACAN,1,LA PIEDAD,28,CHURINTZIO,412,C,1,0,C01,22,64,88,7,5,3,0,72,2,0,,,,,,,,,,,,,263,0,11,274,478,Acta casilla,,,http://iem.org.mx/actas/D0412C01.pdf
5,16,MICHOACAN,1,LA PIEDAD,28,CHURINTZIO,413,B,1,0,B,14,51,107,0,6,2,1,71,1,0,,,,,,,,,,,,,253,0,9,262,437,Acta casilla,,,http://iem.org.mx/actas/D0413B.pdf
5,16,MICHOACAN,1,LA PIEDAD,28,CHURINTZIO,413,C,1,0,C01,15,44,74,5,3,1,0,87,1,3,,,,,,,,,,,,,233,0,24,257,436,Acta casilla,,,http://iem.org.mx/actas/D0413C01.pdf
5,16,MICHOACAN,1,LA PIEDAD,28,CHURINTZIO,414,B,1,0,B,10,41,80,6,4,3,0,78,2,2,,,,,,,,,,,,,226,0,14,240,395,Acta casilla,,,http://iem.org.mx/actas/D0414B.pdf
5,16,MICHOACAN,1,LA PIEDAD,28,CHURINTZIO,414,C,1,0,C01,7,41,66,5,3,1,2,107,1,3,,,,,,,,,,,,,236,0,12,248,395,Acta casilla,,,http://iem.org.mx/actas/D0414C01.pdf
5,16,MICHOACAN,1,LA PIEDAD,28,CHURINTZIO,414,E,1,0,E01,0,6,27,4,1,3,1,27,0,0,,,,,,,,,,,,,69,0,0,69,116,Acta casilla,,,http://iem.org.mx/actas/D0414E01.pdf
5,16,MICHOACAN,1,LA PIEDAD,28,CHURINTZIO,416,B,1,0,B,9,29,137,7,6,2,1,35,0,0,,,,,,,,,,,,,226,0,0,226,677,Acta casilla,,,http://iem.org.mx/actas/D0416B.pdf
5,16,MICHOACAN,1,LA PIEDAD,28,CHURINTZIO,417,B,1,0,B,2,18,135,8,4,0,2,100,2,0,,,,,,,,,,,,,271,1,11,283,640,Acta casilla,,,http://iem.org.mx/actas/D0417B.pdf
5,16,MICHOACAN,1,LA PIEDAD,28,CHURINTZIO,418,B,1,0,B,4,31,131,2,3,0,1,38,2,0,,,,,,,,,,,,,212,0,14,226,561,Acta casilla,,,http://iem.org.mx/actas/D0418B.pdf
5,16,MICHOACAN,1,LA PIEDAD,28,CHURINTZIO,419,B,1,0,B,5,31,30,1,2,0,1,20,0,2,,,,,,,,,,,,,92,0,12,104,307,Acta casilla,,,http://iem.org.mx/actas/D0419B.pdf
5,16,MICHOACAN,1,LA PIEDAD,30,ECUANDUREO,433,B,1,0,B,134,55,17,5,3,5,1,78,0,4,,,,,,,,,,,,,302,0,11,313,489,Acta casilla,,,http://iem.org.mx/actas/D0433B.pdf
5,16,MICHOACAN,1,LA PIEDAD,30,ECUANDUREO,433,C,1,0,C01,94,60,28,6,0,6,3,75,2,0,,,,,,,,,,,,,274,0,17,291,488,Acta casilla,,,http://iem.org.mx/actas/D0433C01.pdf
5,16,MICHOACAN,1,LA PIEDAD,30,ECUANDUREO,434,B,1,0,B,96,36,14,5,3,6,1,61,3,3,,,,,,,,,,,,,228,0,21,249,386,Acta casilla,,,http://iem.org.mx/actas/D0434B.pdf
5,16,MICHOACAN,1,LA PIEDAD,30,ECUANDUREO,434,C,1,0,C01,75,34,22,6,2,7,1,67,0,0,,,,,,,,,,,,,214,0,22,236,385,Acta casilla,,,http://iem.org.mx/actas/D0434C01.pdf
5,16,MICHOACAN,1,LA PIEDAD,30,ECUANDUREO,435,B,1,0,B,98,44,13,6,4,7,1,58,2,0,,,,,,,,,,,,,233,0,8,241,402,Acta casilla,,,http://iem.org.mx/actas/D0435B.pdf
5,16,MICHOACAN,1,LA PIEDAD,30,ECUANDUREO,435,C,1,0,C01,108,38,18,1,3,8,1,62,0,1,,,,,,,,,,,,,240,0,24,264,401,Acta casilla,,,http://iem.org.mx/actas/D0435C01.pdf
5,16,MICHOACAN,1,LA PIEDAD,30,ECUANDUREO,436,B,1,0,B,184,74,0,5,3,10,1,97,1,0,,,,,,,,,,,,,375,0,37,412,712,Acta casilla,,,http://iem.org.mx/actas/D0436B.pdf
5,16,MICHOACAN,1,LA PIEDAD,30,ECUANDUREO,436,C,1,0,C01,169,89,6,10,6,11,1,102,5,0,,,,,,,,,,,,,399,0,20,419,712,Acta casilla,,,http://iem.org.mx/actas/D0436C01.pdf
5,16,MICHOACAN,1,LA PIEDAD,30,ECUANDUREO,437,B,1,0,B,86,41,2,0,1,1,2,58,0,2,,,,,,,,,,,,,193,0,7,200,387,Acta casilla,,,http://iem.org.mx/actas/D0437B.pdf
5,16,MICHOACAN,1,LA PIEDAD,30,ECUANDUREO,437,C,1,0,C01,107,25,5,3,2,2,0,40,1,6,,,,,,,,,,,,,191,0,8,199,386,Acta casilla,,,http://iem.org.mx/actas/D0437C01.pdf
5,16,MICHOACAN,1,LA PIEDAD,30,ECUANDUREO,438,B,1,0,B,91,60,28,3,3,11,3,50,4,0,,,,,,,,,,,,,253,0,17,270,492,Acta casilla,,,http://iem.org.mx/actas/D0438B.pdf
5,16,MICHOACAN,1,LA PIEDAD,30,ECUANDUREO,438,C,1,0,C01,75,92,26,4,6,7,1,79,1,3,,,,,,,,,,,,,294,0,21,315,492,Acta casilla,,,http://iem.org.mx/actas/D0438C01.pdf
5,16,MICHOACAN,1,LA PIEDAD,30,ECUANDUREO,439,B,1,0,B,146,79,23,4,5,4,0,66,1,5,,,,,,,,,,,,,333,0,18,351,608,Acta casilla,,,http://iem.org.mx/actas/D0439B.pdf
5,16,MICHOACAN,1,LA PIEDAD,30,ECUANDUREO,439,C,1,0,C01,163,73,15,3,7,4,0,69,1,1,,,,,,,,,,,,,336,0,15,351,608,Acta casilla,,,http://iem.org.mx/actas/D0439C01.pdf
5,16,MICHOACAN,1,LA PIEDAD,30,ECUANDUREO,439,C,2,0,C02,148,121,20,3,0,5,1,50,4,6,,,,,,,,,,,,,358,0,15,373,608,Acta casilla,,,http://iem.org.mx/actas/D0439C02.pdf
5,16,MICHOACAN,1,LA PIEDAD,30,ECUANDUREO,440,B,1,0,B,99,36,41,4,14,8,0,24,2,1,,,,,,,,,,,,,229,0,0,229,471,Acta casilla,,,http://iem.org.mx/actas/D0440B.pdf
