ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PSD,HUMANISTA,C_COMUN_PAN_MC,PRD_PSD,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,C_COMUN_PRD_PVEM_PSD,PRD_PVEM,PRD_PSD,PVEM_PSD,C_COMUN_PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,CAND_IND22,CAND_IND23,CAND_IND24,CAND_IND25,CAND_IND26,CAND_IND27,CAND_IND28,CAND_IND29,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
17,MORELOS,1,AMACUZAC,11,23,487,1110,122,1340,3421,109,41,803,98,40,68,11,2,110,81,31,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7895,2,428,8325,13369,
17,MORELOS,2,ATLATLAHUCAN,12,28,1022,307,364,288,1466,1162,236,1033,147,69,2489,67,38,93,22,15,19,,,,,,,,,254,1644,913,,,,,,,,,,,,,,,,,,,,,,,,,,,11648,5,330,11983,16998,
17,MORELOS,3,AXOCHIAPAN,20,45,2367,2326,1761,156,1024,2249,893,1189,318,449,2312,,251,92,25,17,34,,,,,,,,,,,,2063,,,,,,,,,,,,,,,,,,,,,,,,,,17526,1,479,18006,25912,
17,MORELOS,4,AYALA,42,104,1519,6761,2448,354,1349,1226,9090,6107,690,597,458,252,458,503,71,59,178,,,,,,,,,,,,,5727,,,,,,,,,,,,,,,,,,,,,,,,,37847,8,1529,39384,61774,
17,MORELOS,5,COATLAN DEL RIO,11,18,42,667,29,1728,16,9,5,55,4,1217,10,2,,0,0,0,1,,,,,,,,,,,,,,2322,,,,,,,,,,,,,,,,,,,,,,,,6107,1,286,6394,8246,
17,MORELOS,6,CUAUTLA,91,236,10078,6026,8330,3370,2771,11839,1735,21716,2110,2361,1684,865,518,1202,173,98,457,,,,,,,,,,,,,,,11599,,,,,,,,,,,,,,,,,,,,,,,86932,45,3178,90155,142231,
17,MORELOS,7,CUERNAVACA,205,527,44547,8856,10114,6953,5418,4073,4914,46541,6403,7263,2138,1164,,2152,406,155,1135,615,209,507,90,,,,,,,,,,,,27431,4439,10484,,,,,,,,,,,,,,,,,,,,196007,157,7167,203331,312635,
17,MORELOS,8,EMILIANO ZAPATA,21,97,1130,973,3943,18933,659,447,240,3263,1239,454,292,64,268,272,46,24,128,,,,,,,,,,,,,,,,,,,7387,,,,,,,,,,,,,,,,,,,39762,31,1286,41079,62469,
17,MORELOS,9,HUITZILAC,11,27,253,2564,184,1393,370,216,703,2297,271,47,1707,52,16,204,24,25,108,,,,,,,,,,,,,,,,,,,,506,,,,,,,,,,,,,,,,,,10940,2,304,11246,14751,
17,MORELOS,10,JANTETELCO,8,20,17,2138,124,95,30,13,1002,118,11,22,2405,0,13,4,2,1,0,,,,,,,,,,,,,,,,,,,,,2255,1293,,,,,,,,,,,,,,,,9543,0,230,9773,12685,
17,MORELOS,11,JIUTEPEC,70,260,7215,6384,24364,4162,5882,2117,2104,34895,5001,3393,1378,,,2558,352,205,1062,1664,633,379,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103855,102,2972,106929,164437,
17,MORELOS,12,JOJUTLA,36,79,1100,3509,1790,241,2696,868,206,11243,3076,402,386,94,154,647,117,66,249,,,,,,,,,,,,,,,,,,,,,,,2392,480,,,,,,,,,,,,,,29716,13,643,30372,46785,
17,MORELOS,13,JONACATEPEC,11,22,129,127,1607,169,836,1168,672,707,209,396,1411,44,182,84,20,6,17,,,,,,,,,,,,,,,,,,,,,,,,,935,,,,,,,,,,,,,8719,0,227,8946,11879,
17,MORELOS,14,MAZATEPEC,7,15,12,2969,75,5,103,11,121,1895,187,14,405,1,3,51,9,2,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5905,0,128,6033,8015,
17,MORELOS,15,MIACATLAN,14,35,43,2232,5776,37,644,92,69,2977,560,154,107,,187,166,44,23,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13180,4,471,13655,20101,
17,MORELOS,16,OCUITUCO,10,22,335,20,1518,3443,39,613,1132,191,124,92,2560,107,213,12,5,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10408,0,224,10632,13010,
17,MORELOS,17,PUENTE DE IXTLA,32,80,215,3953,6492,150,1644,80,554,10773,1582,977,276,12,455,573,87,44,283,,,,,,,,,,,,,,,,,,,,,,,,,,1654,1297,377,,,,,,,,,,31478,4,886,32368,48691,
17,MORELOS,18,TEMIXCO,42,139,3242,6686,8211,3499,2467,1634,708,15246,1618,1259,1112,131,396,981,209,89,446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1803,,,,,,,,,49737,30,1923,51690,86373,
17,MORELOS,19,TEPALCINGO,16,36,342,1324,1551,5217,133,593,561,663,82,333,2644,51,55,39,4,2,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13604,7,426,14037,20210,
17,MORELOS,20,TEPOZTLAN,19,52,812,1102,3637,381,1304,2539,1066,5578,1027,336,43,206,233,467,95,46,176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19048,12,520,19580,29119,
17,MORELOS,21,TETECALA,6,13,140,2287,15,2,45,2123,6,228,24,3,5,63,0,16,3,2,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4977,9,144,5130,6324,
17,MORELOS,22,TETELA DEL VOLCAN,8,22,33,232,2622,43,2025,32,2521,2041,812,17,15,1,,253,52,31,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10801,2,282,11085,14454,
17,MORELOS,23,TLALNEPANTLA,4,9,19,41,176,17,36,7,1815,335,40,18,1195,0,,,,,,21,1,5,0,14,2,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3755,0,171,3926,5027,
17,MORELOS,24,TLALTIZAPAN DE ZAPATA,27,67,767,4721,4995,368,383,2574,96,3238,517,1080,4258,125,388,233,42,22,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191,,,,,,,,24072,4,751,24827,37694,
17,MORELOS,25,TLAQUILTENANGO,26,53,231,2496,1028,1838,1351,982,2896,2336,436,383,1065,53,101,234,41,41,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315,,,,,,,15895,0,435,16330,24975,
17,MORELOS,26,TLAYACAPAN,9,23,44,33,3805,89,348,15,2496,3087,180,7,53,0,,133,26,15,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10405,3,274,10682,14099,
17,MORELOS,27,TOTOLAPAN,7,16,142,405,470,735,63,12,2170,360,43,19,538,5,28,35,7,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,962,,,,,,6008,0,156,6164,8003,
17,MORELOS,28,XOCHITEPEC,23,78,967,12004,1034,2195,665,240,2367,6734,878,292,397,27,88,374,66,32,193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,689,1113,,,,30355,48,930,31333,49145,
17,MORELOS,29,YAUTEPEC,51,134,5733,6545,17561,894,1164,813,389,7502,809,2532,356,391,1551,487,72,50,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47045,13,1803,48861,77060,
17,MORELOS,30,YECAPIXTLA,19,58,10867,272,4444,741,625,836,95,1917,181,1622,82,856,525,146,42,22,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23341,7,738,24086,35463,
17,MORELOS,31,ZACATEPEC,26,53,1468,1563,850,590,463,578,5592,3720,590,1505,345,,116,236,31,15,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1167,862,,19781,2,479,20262,29253,
17,MORELOS,32,ZACUALPAN DE AMILPAS,6,13,96,125,13,321,11,2341,31,77,28,1,1309,77,,2,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1484,5919,1,139,6059,7182,
17,MORELOS,33,TEMOAC,6,17,505,2089,36,2381,149,62,2094,671,81,12,14,22,1,46,5,2,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8189,2,316,8507,10996,
