ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PSD,HUMANISTA,C_COMUN_PAN_MC,PRD_PSD,PT_MORENA_ES,C_COMUN_PRD_PVEM_PSD,C_COMUN_PT_MORENA_ES,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
17,MORELOS,1,CUERNAVACA,76,208,,6111,,3592,,,1394,,,,1550,19602,6508,32556,,,6775,,,,,,,78088,105,3735,81928,125451,
17,MORELOS,2,CUERNAVACA,94,222,,5468,,2459,,,2854,,,,2235,14615,11167,27538,,,,3494,5499,4231,,,,79560,94,4214,83868,128115,
17,MORELOS,3,TEPOZTLAN,83,213,,5732,11531,4519,,,6094,,,2200,3061,9176,,38396,,,,,,,,,,80709,138,5213,86060,122953,
17,MORELOS,4,YECAPIXTLA,68,186,12758,8720,,4878,,7440,2421,,,,6663,,7979,27931,,,,,,,,,,78790,89,4365,83244,115638,
17,MORELOS,5,TEMIXCO,58,185,,7132,,4055,,,3645,,,,2304,7101,13021,,,27371,,,,,,,,64629,64,3757,68450,113589,
17,MORELOS,6,JIUTEPEC,56,192,9733,4963,,,,1461,1713,,,,2176,,,35390,20363,,,,,,,,,75799,96,3394,79289,119643,
17,MORELOS,7,CUAUTLA,84,210,,11320,,,,,2640,,,,2170,11306,,28450,14014,,,,,,5322,,,75222,135,3369,78726,124696,
17,MORELOS,8,XOCHITEPEC,44,175,,16622,,9095,,,1957,,,,1218,9186,6522,,,18572,,,,,,5456,,68628,55,3241,71924,111614,
17,MORELOS,9,PUENTE DE IXTLA,93,202,,21252,,1666,,,6038,,,,970,4005,8568,32916,,,,,,,,,,75415,71,3449,78935,113898,
17,MORELOS,10,AYALA,88,213,,12589,,2155,,,4869,,,,5345,5600,23297,24897,,,,,,,,,,78752,76,4397,83225,124032,
17,MORELOS,11,JOJUTLA,98,213,2853,9712,,3199,,3704,3608,,,,4578,,8119,38519,,,,,,,,,,74292,66,4459,78817,117882,
17,MORELOS,12,YAUTEPEC,65,202,,6039,,,,,1700,,,,2506,8038,,25637,23066,,,,,,,,5751,72737,73,3748,76558,121854,
