ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,RED,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,CAND_IND15,CAND_IND16,CAND_IND17,CAND_IND18,CAND_IND19,CAND_IND20,CAND_IND21,CAND_IND22,CAND_IND23,CAND_IND24,CAND_IND25,CAND_IND26,CAND_IND27,CAND_IND28,CAND_IND29,CAND_IND30,CAND_IND31,CAND_IND32,CAND_IND33,CAND_IND34,CAND_IND35,CAND_IND36,CAND_IND37,CAND_IND38,CAND_IND39,CAND_IND40,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
19,NUEVO LEON,1,ABASOLO,2,4,172,395,27,126,81,303,106,168,12,49,1,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207,,,,,,,1651,1,86,1738,2288,
19,NUEVO LEON,2,AGUALEGUAS,9,10,1044,1011,9,13,56,462,15,106,2,1,1,32,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,,,,,,2855,15,62,2932,3965,
19,NUEVO LEON,3,LOS ALDAMAS,5,5,520,113,5,16,13,7,512,92,9,5,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,1307,6,49,1362,2160,
19,NUEVO LEON,4,ALLENDE,19,46,6326,3571,45,208,386,1084,660,1228,67,23,35,15,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169,13821,8,478,14307,27284,
19,NUEVO LEON,5,ANAHUAC,14,27,2448,3036,54,54,126,678,62,825,22,5,11,6,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1572,,,,,,8901,1,301,9203,14525,
19,NUEVO LEON,6,APODACA,288,688,51558,48818,1609,8717,6339,19246,5495,47073,2898,959,856,339,50,219,,,,,,,,,5090,1634,,,6344,,,,,6,4,2,,,,,,18,12,,5756,,,,,,,,,,,,213042,112,5026,218180,403094,
19,NUEVO LEON,7,ARAMBERRI,17,28,3628,4032,19,56,98,28,275,302,25,6,4,2,3,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,793,9281,2,415,9698,12010,
19,NUEVO LEON,8,BUSTAMANTE,4,5,1089,219,9,30,27,63,873,100,3,1,1,45,0,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,2582,14,31,2627,3293,
19,NUEVO LEON,9,CADEREYTA JIMENEZ,51,131,3611,5221,227,10955,1263,2120,1222,8508,439,107,298,79,6,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3816,,,,37912,56,1353,39321,77542,
19,NUEVO LEON,10,CARMEN,4,33,860,2324,67,1106,2481,424,228,1589,105,40,215,187,16,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328,,,,,,,9975,23,415,10413,22227,
19,NUEVO LEON,11,CERRALVO,6,12,2801,299,14,12,45,40,53,326,13,4,8,4,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390,,,4013,0,117,4130,6507,
19,NUEVO LEON,12,CIENEGA DE FLORES,5,48,1433,1639,183,2099,389,715,858,2255,215,239,38,63,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3268,,,,,,13407,9,526,13942,31320,
19,NUEVO LEON,13,CHINA,11,18,1464,1299,30,129,47,143,1177,605,43,12,37,31,5,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1012,,,6064,0,279,6343,9483,
19,NUEVO LEON,14,DR. ARROYO,37,56,8243,10168,56,60,228,55,87,696,24,30,13,11,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,851,20525,16,906,21447,28105,
19,NUEVO LEON,15,DR. COSS,5,6,491,544,2,21,21,19,364,169,4,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,1664,0,79,1743,2717,
19,NUEVO LEON,16,DR. GONZALEZ,4,6,448,502,82,29,372,127,56,130,7,74,3,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,,,,2062,3,119,2184,3153,
19,NUEVO LEON,17,GALEANA,37,64,2287,7150,81,546,674,269,792,1874,167,27,73,53,16,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3858,17919,76,1264,19259,30138,
19,NUEVO LEON,18,GARCIA,114,269,9081,7594,1262,2262,2611,5077,1380,15972,906,532,379,105,24,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18787,,,,,,,66039,23,1719,67781,157626,
19,NUEVO LEON,19,SAN PEDRO GARZA GARCIA,62,176,36111,7484,263,1406,580,9580,1515,4901,330,1177,175,83,23,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2187,1216,,,,,,,,,67094,110,1391,68595,103718,
19,NUEVO LEON,20,GRAL. BRAVO,6,9,1628,371,27,47,45,38,30,420,10,6,1,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,965,,,3590,0,162,3752,5665,
19,NUEVO LEON,21,GRAL. ESCOBEDO,125,461,31951,27117,1284,11629,6472,12828,2796,24889,1742,0,575,316,47,137,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,4610,,,,,,,,,3471,,129865,117,3570,133552,292794,
19,NUEVO LEON,22,GRAL. TERAN,15,24,768,2883,45,660,320,1133,312,788,115,17,40,5,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410,,,7504,23,386,7913,13007,
19,NUEVO LEON,23,GRAL. TREVINO,2,4,768,200,1,7,3,12,289,63,0,0,2,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,,1382,0,42,1424,1892,
19,NUEVO LEON,24,GRAL. ZARAGOZA,5,11,501,940,7,33,1359,10,845,39,2,2,106,9,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,3955,0,117,4072,4977,
19,NUEVO LEON,25,GRAL. ZUAZUA,45,70,3050,3319,416,2047,906,854,246,2971,202,44,125,173,50,45,,,,,,,,,39,22,,,,,,,,,,,,,,,,,,,,,,,,,1231,,,,,,15740,6,373,16119,37967,
19,NUEVO LEON,26,GUADALUPE,295,882,79337,60887,3754,14004,8686,30221,9452,53015,4490,1600,1142,533,87,330,,,,,,,,,,,,,51,,,,,,,,,,6295,1540,6449,5309,1758,7003,,,,,,,,,,,,,295943,288,9409,305640,540971,
19,NUEVO LEON,27,LOS HERRERAS,6,6,724,269,2,375,14,37,224,211,1,1,7,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,1873,0,105,1978,2686,
19,NUEVO LEON,28,HIDALGO,9,22,1115,611,389,1804,168,422,1574,1026,145,674,77,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,382,,,,,,,8393,2,255,8650,12798,
19,NUEVO LEON,29,HIGUERAS,2,3,310,177,337,69,25,47,65,76,5,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,1137,1,36,1174,1438,
19,NUEVO LEON,30,HUALAHUISES,8,12,558,1735,10,97,45,46,228,195,18,3,5,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1183,,,4123,1,131,4255,6147,
19,NUEVO LEON,31,ITURBIDE,4,6,563,806,13,488,26,21,40,185,12,1,0,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320,2480,0,165,2645,3013,
19,NUEVO LEON,32,JUAREZ,151,359,11836,21467,1474,4800,2563,10433,3522,18072,3120,711,347,124,28,107,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,8034,3283,,,,89924,125,2603,92652,209923,
19,NUEVO LEON,33,LAMPAZOS DE NARANJO,4,9,2419,694,16,13,25,23,9,56,0,8,0,0,7,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222,,,,,,3492,3,105,3600,4754,
19,NUEVO LEON,34,LINARES,47,110,7976,6284,320,2665,1004,616,5603,3665,290,52,149,50,22,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3958,,,32688,28,1416,34132,63409,
19,NUEVO LEON,35,MARIN,3,8,1115,225,17,1171,47,137,28,234,11,67,2,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,,3104,5,145,3254,4575,
19,NUEVO LEON,36,MELCHOR OCAMPO,2,3,350,138,3,12,257,23,465,62,3,4,0,6,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,1341,1,75,1417,1698,
19,NUEVO LEON,37,MIER Y NORIEGA,9,13,407,1913,17,19,31,18,23,406,11,4,11,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1688,4551,2,124,4677,6215,
19,NUEVO LEON,38,MINA,7,11,187,1530,14,219,49,130,169,207,26,504,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334,,,,,,,3371,0,157,3528,4709,
19,NUEVO LEON,39,MONTEMORELOS,42,91,3490,8735,199,533,1638,1368,1146,6491,215,217,292,89,7,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1342,,,25784,25,991,26800,51570,
19,NUEVO LEON,40,MONTERREY,715,1606,144332,93424,4667,29811,33009,86544,9618,68540,5127,2291,1746,1297,197,367,1554,2518,921,2952,944,1893,4006,1982,,,2364,4030,,2398,2220,,,,,,508,444,27,14,,,,,,,,,,14,,,,,,,509759,539,16554,526852,939568,
19,NUEVO LEON,41,PARAS,3,4,650,497,5,13,32,24,15,84,5,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149,,,,,,1475,0,54,1529,1851,
19,NUEVO LEON,42,PESQUERIA,14,75,2100,5892,164,1985,640,1365,263,4993,494,71,110,34,4,19,,,,,,,,,223,52,,,68,,,,,,,,,,,,,,,,,,,,,,,,1488,,,,19965,20,655,20640,50678,
19,NUEVO LEON,43,LOS RAMONES,12,13,987,275,5,801,21,49,27,117,13,6,2,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,628,,,,2935,0,140,3075,5290,
19,NUEVO LEON,44,RAYONES,5,7,1626,767,3,10,23,31,37,140,6,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,2715,0,73,2788,3277,
19,NUEVO LEON,45,SABINAS HIDALGO,24,50,5403,2249,74,706,1134,453,251,1681,100,17,26,27,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3546,,,,,,15676,1,514,16191,27700,
19,NUEVO LEON,46,SALINAS VICTORIA,9,60,5570,6580,449,324,483,691,2077,2664,127,37,49,25,6,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,977,,,,,,20080,9,777,20866,39283,
19,NUEVO LEON,47,SAN NICOLAS DE LOS GARZA,239,616,93490,19286,1586,7571,5587,22962,5923,34136,2399,1409,702,369,59,136,,,,,,,,,0,1,,,,,,3073,5032,3571,1764,2394,2662,1924,,,,,,,,,,,,,,,,,,,216036,285,5698,222019,365168,
19,NUEVO LEON,48,SANTA CATARINA,87,331,46809,11702,734,4496,3028,11416,3950,18357,1800,1377,57,42,4,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1589,438,6768,,,,,,,,112601,156,3891,116648,212885,
19,NUEVO LEON,49,SANTIAGO,25,64,8721,5159,80,536,2478,1102,277,2406,266,46,70,29,6,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,581,21770,15,606,22391,37516,
19,NUEVO LEON,50,VALLECILLO,6,6,74,256,113,14,608,153,14,64,7,2,5,11,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,,,,,,1680,0,55,1735,2287,
19,NUEVO LEON,51,VILLALDAMA,5,7,1123,160,23,9,198,826,121,144,13,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216,,,,,,2835,0,110,2945,3672,
