ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,NA,PCPP,PSI,MORENA,ES,PAN_PRD_MC_PCPP_PSI,PAN_PRD_MC_PCPP,PAN_PRD_MC_PSI,PAN_PRD_PCPP_PSI,PAN_MC_PCPP_PSI,PRD_MC_PCPP_PSI,PAN_PRD_MC,PAN_PRD_PCPP,PAN_PRD_PSI,PAN_MC_PCPP,PAN_MC_PSI,PAN_PCPP_PSI,PRD_MC_PCPP,PRD_MC_PSI,PRD_PCPP_PSI,MC_PCPP_PSI,PAN_PRD,PAN_MC,PAN_PCPP,PAN_PSI,PRD_MC,PRD_PCPP,PRD_PSI,MC_PCPP,MC_PSI,PCPP_PSI,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,C_COMUN_PAN_PRD_MC_NA_PCPP_PSI,PAN_PRD_MC_NA_PCPP,PAN_PRD_MC_NA_PSI,PAN_PRD_MC_PCPP_PSI,PAN_PRD_NA_PCPP_PSI,PAN_MC_NA_PCPP_PSI,PRD_MC_NA_PCPP_PSI,PAN_PRD_MC_NA,PAN_PRD_MC_PCPP,PAN_PRD_MC_PSI,PAN_PRD_NA_PCPP,PAN_PRD_NA_PSI,PAN_PRD_PCPP_PSI,PAN_MC_NA_PCPP,PAN_MC_NA_PSI,PAN_MC_PCPP_PSI,PAN_NA_PCPP_PSI,PRD_MC_NA_PCPP,PRD_MC_NA_PSI,PRD_MC_PCPP_PSI,PRD_NA_PCPP_PSI,MC_NA_PCPP_PSI,PAN_PRD_MC,PAN_PRD_NA,PAN_PRD_PCPP,PAN_PRD_PSI,PAN_MC_NA,PAN_MC_PCPP,PAN_MC_PSI,PAN_NA_PCPP,PAN_NA_PSI,PAN_PCPP_PSI,PRD_MC_NA,PRD_MC_PCPP,PRD_MC_PSI,PRD_NA_PCPP,PRD_NA_PSI,PRD_PCPP_PSI,MC_NA_PCPP,MC_NA_PSI,MC_PCPP_PSI,NA_PCPP_PSI,PAN_PRD,PAN_MC,PAN_NA,PAN_PCPP,PAN_PSI,PRD_MC,PRD_NA,PRD_PCPP,PRD_PSI,MC_NA,MC_PCPP,MC_PSI,NA_PCPP,NA_PSI,PCPP_PSI,C_COMUN_PAN_PRD_MC_PCPP,PAN_PRD_MC,PAN_PRD_PCPP,PAN_MC_PCPP,PRD_MC_PCPP,PAN_PRD,PAN_MC,PAN_PCPP,PRD_MC,PRD_PCPP,MC_PCPP,C_COMUN_PAN_PRD_MC_PSI,PAN_PRD_MC,PAN_PRD_PSI_,PAN_MC_PSI,PRD_MC_PSI,PAN_PRD,PAN_MC,PAN_PSI,PRD_MC,PRD_PSI,MC_PSI,C_COMUN_PAN_PRD_PCPP_PSI,PAN_PRD_PCPP,PAN_PRD_PSI,PAN_PCPP_PSI,PRD_PCPP_PSI,PAN_PRD,PAN_PCPP,PAN_PSI,PRD_PCPP,PRD_PSI,PCPP_PSI,C_COMUN_PAN_MC_PCPP_PSI,PAN_MC_PCPP,PAN_MC_PSI,PAN_PCPP_PSI,MC_PCPP_PSI,PAN_MC,PAN_PCPP,PAN_PSI,MC_PCPP,MC_PSI,PCPP_PSI,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
21,PUEBLA,1,ACAJETE,19,69,3458,2129,754,1144,558,1246,566,570,929,13169,382,293,6,8,4,3,3,22,2,3,3,3,2,0,2,1,2,118,25,9,12,7,6,7,4,3,3,780,151,44,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26576,3,1545,28124,44025,
21,PUEBLA,2,ACATENO,8,14,1283,718,159,138,384,84,74,383,517,1037,29,4,1,0,1,0,0,27,1,1,0,0,1,0,0,0,0,32,5,3,3,1,1,1,4,1,1,7,8,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4912,0,320,5232,6839,
21,PUEBLA,3,ACATLAN,17,52,2044,3057,976,708,646,182,1035,167,251,7130,215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,5,3,2,0,6,4,5,0,1,0,16449,41,1191,17681,28104,
21,PUEBLA,4,ACATZINGO,16,60,3944,4425,618,986,1390,379,313,435,426,8890,473,55,6,8,6,11,2,24,11,20,4,9,0,0,1,2,1,35,16,27,17,2,2,2,5,4,1,300,108,17,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23069,22,1056,24147,36284,
21,PUEBLA,5,ACTEOPAN,3,4,117,672,12,28,22,35,5,7,897,76,8,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13,1,0,0,1,0,0,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1902,0,94,1996,2289,
21,PUEBLA,6,AHUACATLAN,7,19,419,2790,881,220,108,385,61,1564,303,850,89,6,0,0,3,0,1,17,1,1,0,2,3,0,0,0,0,13,1,8,3,10,5,3,3,2,36,17,6,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7816,158,581,8555,10223,
21,PUEBLA,7,AHUATLAN,4,5,203,633,15,26,168,104,7,7,3,474,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,1,0,0,0,0,0,1649,0,120,1769,2545,
21,PUEBLA,8,AHUAZOTEPEC,4,14,470,773,41,120,125,440,202,99,425,866,24,4,2,0,1,0,1,3,0,0,0,0,1,1,0,0,1,5,1,15,10,4,1,0,1,4,0,12,5,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3664,2,257,3923,7541,
21,PUEBLA,9,AHUEHUETITLA,1,4,185,201,9,63,7,7,7,99,21,589,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,1208,0,69,1277,1823,
21,PUEBLA,10,AJALPAN,22,72,7317,7762,2173,702,1037,401,383,211,314,8968,1284,165,5,0,3,4,0,6,1,1,0,7,1,1,2,0,1,48,19,10,10,8,1,3,3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30851,8,1998,32857,41977,
