ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,MC,PCPP,PSI,MORENA,ES,PAN_PRD_MC_PCPP_PSI,PAN_PRD_MC_PCPP,PAN_PRD_MC_PSI,PAN_PRD_PCPP_PSI,PAN_MC_PCPP_PSI,PRD_MC_PCPP_PSI,PAN_PRD_MC,PAN_PRD_PCPP,PAN_PRD_PSI,PAN_MC_PCPP,PAN_MC_PSI,PAN_PCPP_PSI,PRD_MC_PCPP,PRD_MC_PSI,PRD_PCPP_PSI,MC_PCPP_PSI,PAN_PRD,PAN_MC,PAN_PCPP,PAN_PSI,PRD_MC,PRD_PCPP,PRD_PSI,MC_PCPP,MC_PSI,PCPP_PSI,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
21,PUEBLA,1,ACAJETE,19,69,5325,3141,748,1361,974,1578,697,581,10674,538,190,29,18,14,19,6,31,15,10,9,13,9,5,1,1,5,150,58,38,31,9,3,13,10,13,15,678,168,46,243,27467,6,1151,28624,44025,
21,PUEBLA,2,ACATENO,8,14,1410,656,159,247,396,96,413,448,1179,63,9,3,0,1,1,0,30,2,1,1,0,0,0,0,0,0,37,3,8,3,0,2,1,1,0,2,19,9,3,10,5213,0,282,5495,6839,
21,PUEBLA,3,ACATLAN,17,52,3463,2387,528,935,667,295,642,275,6805,257,86,7,3,6,6,5,22,7,2,4,0,0,0,0,1,1,46,10,13,9,1,5,1,1,2,4,233,63,15,75,16882,3,819,17704,28104,
21,PUEBLA,4,ACATZINGO,16,60,6074,4368,613,1154,907,477,731,229,7130,392,199,8,16,14,20,9,30,26,11,24,12,13,5,3,4,9,52,31,63,26,6,5,4,7,4,2,437,114,36,142,23407,7,766,24180,36284,
21,PUEBLA,5,ACTEOPAN,3,4,182,660,15,38,15,28,8,880,77,6,2,0,1,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,13,3,0,2,0,0,1,3,0,0,0,1939,0,79,2018,2289,
21,PUEBLA,6,AHUACATLAN,7,19,707,2457,756,290,158,395,1452,291,801,113,22,0,1,2,4,0,18,6,0,0,2,2,1,0,1,1,18,2,11,2,10,5,1,3,2,32,20,7,6,6,7605,2,457,8064,10223,
21,PUEBLA,7,AHUATLAN,4,5,275,557,11,23,204,114,5,9,430,12,5,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,14,3,0,8,1679,0,83,1762,2545,
21,PUEBLA,8,AHUAZOTEPEC,4,14,698,653,63,120,101,437,118,423,723,18,11,0,0,0,1,1,4,0,0,2,2,3,0,0,0,1,4,7,15,4,4,1,0,1,4,4,18,12,1,12,3466,0,203,3669,7541,
21,PUEBLA,9,AHUEHUETITLA,1,4,261,127,16,76,12,14,128,16,503,27,6,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,2,4,0,0,1,0,0,0,1,13,2,0,8,1221,0,52,1273,1823,
21,PUEBLA,10,AJALPAN,22,72,9074,5559,1821,1620,511,375,390,303,9625,647,99,4,9,4,13,2,15,16,1,4,5,9,1,2,2,6,107,33,34,26,13,6,4,4,10,4,299,79,14,161,30911,1,1998,32910,41977,
21,PUEBLA,11,ALBINO ZERTUCHE,1,2,420,389,12,24,11,8,3,64,137,10,2,1,0,0,0,0,3,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,1,0,0,1091,1,28,1120,1445,
21,PUEBLA,12,ALJOJUCA,4,9,1398,540,69,125,115,216,445,135,633,50,26,0,1,1,1,1,2,3,1,3,2,1,0,0,1,1,7,12,7,0,7,3,1,2,1,3,11,2,1,4,3831,1,179,4011,4858,
21,PUEBLA,13,ALTEPEXI,6,21,2529,997,138,517,256,953,1181,94,3692,199,37,6,3,1,8,0,8,3,0,3,0,1,1,3,0,1,10,11,15,1,7,3,1,5,2,2,88,29,3,57,10865,3,579,11447,13488,
21,PUEBLA,14,AMIXTLAN,3,7,380,384,763,85,536,26,24,8,317,23,13,1,0,0,0,0,1,0,0,1,0,0,2,0,0,0,11,1,3,2,10,1,0,0,1,1,9,0,1,5,2609,1,149,2759,3459,
21,PUEBLA,15,AMOZOC,18,101,12530,6426,693,1598,2422,1380,932,1268,12735,949,430,36,33,19,48,3,56,40,12,48,35,25,5,2,4,15,180,94,92,46,6,6,8,9,211,17,923,193,41,384,43954,30,1449,45433,68752,
21,PUEBLA,16,AQUIXTLA,5,10,1274,1826,47,101,77,397,150,21,402,27,21,4,3,1,1,1,3,6,1,6,1,1,1,0,0,0,9,7,67,2,8,2,0,1,4,0,22,2,4,11,4511,0,229,4740,6004,
21,PUEBLA,17,ATEMPAN,9,31,3641,3289,221,865,464,289,346,100,2826,193,59,3,4,4,3,3,13,9,0,7,7,12,0,0,1,2,25,17,10,6,2,1,1,6,4,1,119,42,11,40,12646,6,883,13535,18161,
21,PUEBLA,18,ATEXCAL,6,7,824,734,13,67,22,21,89,5,311,30,11,1,0,0,2,0,2,4,0,1,2,0,0,0,1,0,6,3,14,0,0,1,0,0,1,1,10,2,1,6,2185,0,98,2283,2775,
