ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,MC,NA,PVEM,ES,MORENA,PT,CQ,QI,MORENA_PT_ES,PRI_PVEM,C_COMUN_PAN_PRD_MC,C_COMUN_PAN_PRD,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
22,QUERÉTARO,1,QUERÉTARO,62,175,,11080,,1001,683,2079,,,,619,4703,23041,,,20518,,,,,,,,63723,81,2772,66577,108525,
22,QUERÉTARO,2,QUERÉTARO,66,187,,,,943,1025,,,,,2341,5156,23622,10243,,20524,,,,,,,,63854,93,2703,66650,112569,
22,QUERÉTARO,3,QUERÉTARO,67,164,,,,,1018,,,,,1353,3843,23290,7736,21038,,,,,,,,,58278,89,2113,60480,102541,
22,QUERÉTARO,4,QUERÉTARO,62,176,,,,1523,1378,,,,,1119,3015,19053,7702,,30126,,,,,,,,63916,99,2624,66639,109805,
22,QUERÉTARO,5,QUERÉTARO,65,188,,,,1883,1366,,,,,680,3476,20615,12630,,27279,,,,,,3045,,70974,55,3002,74031,113327,
22,QUERÉTARO,6,QUERÉTARO,51,187,,,,1474,1406,,,,,939,3715,21697,12372,,27435,,2982,,,,,,72020,76,3104,75200,117394,
22,QUERÉTARO,7,CORREGIDORA,63,179,25743,,1275,1130,2288,,,,,798,1967,13633,13412,,,,,,,1858,,,62104,48,3391,65543,104811,
22,QUERÉTARO,8,SAN JUAN DEL RÍO,66,180,24995,,896,828,1043,,,,,466,1986,12152,18914,,,,,,,,,,61280,49,3332,64661,96694,
22,QUERÉTARO,9,SAN JUAN DEL RÍO,53,170,21400,,745,1054,1809,,,,,1023,1911,20014,10381,,,3134,,,,,,,61471,74,2229,63774,104113,
22,QUERÉTARO,10,PEDRO ESCOBEDO,41,158,19809,,1636,1153,2624,,,,,1318,3028,16917,14268,,,,,,,,,,60753,38,2835,63626,98118,
22,QUERÉTARO,11,TEQUISQUIAPAN,51,156,23792,12388,1645,,1158,2446,,,,2562,917,13298,,,,,,,3219,,,,61425,71,3422,64918,95870,
22,QUERÉTARO,12,EL MARQUÉS,33,176,18541,,7063,1553,1113,,,,,1043,1447,14733,20036,,,,,4417,,,,,69946,34,2783,72763,112388,
22,QUERÉTARO,13,QUERÉTARO,40,193,,,,1244,616,,,,,554,1185,19174,11808,,25645,,,,,,,3011,63237,62,2602,65901,119121,
22,QUERÉTARO,14,CADEREYTA DE MONTES,61,175,,,,1236,2369,,,,,1236,2056,15673,14933,,23026,,,,,,,,60529,39,3995,64563,100111,
22,QUERÉTARO,15,JALPAN DE SERRA,79,184,,20767,,,4785,550,625,6326,1409,1024,675,,,18643,,,,,,,,,54804,16,4068,58888,87566,
