ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,MC,NA,PVEM,ES,MORENA,PT,CQ,QI,MORENA_PT_ES,MORENA_PT,MORENA_ES,PT_ES,PRI_PVEM,C_COMUN_PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,C_COMUN_PAN_PRD,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
22,QUERÉTARO,1,QUERÉTARO,14,QUERÉTARO,277,9,1011,532,61,90,29,124,82,1156,73,56,299,43,6,14,0,,,,,,29,,,,,,,,3605,7,130,3742,6162
22,QUERÉTARO,1,QUERÉTARO,14,QUERÉTARO,278,20,2564,1204,117,118,58,280,181,2428,120,59,570,104,18,24,8,,,,,,67,,,,,,,,7920,5,307,8232,14826
22,QUERÉTARO,1,QUERÉTARO,14,QUERÉTARO,287,3,212,114,13,10,19,21,20,281,20,3,51,6,2,1,0,,,,,,4,,,,,,,,777,1,32,810,1521
22,QUERÉTARO,1,QUERÉTARO,14,QUERÉTARO,288,4,410,272,32,30,15,60,34,580,29,24,114,20,7,1,1,,,,,,15,,,,,,,,1644,1,86,1731,2930
22,QUERÉTARO,1,QUERÉTARO,14,QUERÉTARO,296,2,188,175,8,12,6,18,19,280,20,4,59,6,1,0,1,,,,,,4,,,,,,,,801,0,40,841,1444
22,QUERÉTARO,1,QUERÉTARO,14,QUERÉTARO,303,7,859,528,57,46,27,90,74,933,57,33,242,45,6,11,0,,,,,,17,,,,,,,,3025,6,92,3123,5209
22,QUERÉTARO,1,QUERÉTARO,14,QUERÉTARO,305,6,746,412,61,46,28,114,54,828,54,5,186,34,2,13,1,,,,,,23,,,,,,,,2607,2,84,2693,4447
22,QUERÉTARO,1,QUERÉTARO,14,QUERÉTARO,318,7,710,411,26,30,19,95,50,784,47,37,228,25,2,4,1,,,,,,17,,,,,,,,2486,3,100,2589,4890
22,QUERÉTARO,1,QUERÉTARO,14,QUERÉTARO,319,7,741,415,42,43,22,104,62,966,53,40,246,39,6,4,1,,,,,,18,,,,,,,,2802,8,130,2940,4554
22,QUERÉTARO,1,QUERÉTARO,14,QUERÉTARO,320,4,388,240,18,24,17,65,40,438,27,13,111,19,1,4,2,,,,,,11,,,,,,,,1418,1,74,1493,2444
22,QUERÉTARO,1,QUERÉTARO,14,QUERÉTARO,326,3,289,222,22,12,9,41,24,335,15,6,82,13,9,1,0,,,,,,3,,,,,,,,1083,1,46,1130,2182
22,QUERÉTARO,1,QUERÉTARO,14,QUERÉTARO,327,5,630,272,26,33,26,62,43,671,25,19,160,29,2,5,0,,,,,,11,,,,,,,,2014,2,66,2082,3315
22,QUERÉTARO,1,QUERÉTARO,14,QUERÉTARO,328,5,569,329,28,36,14,46,41,529,31,12,131,13,1,3,1,,,,,,12,,,,,,,,1796,3,79,1878,3056
22,QUERÉTARO,1,QUERÉTARO,14,QUERÉTARO,332,3,176,216,11,7,10,27,20,262,16,2,36,9,3,6,1,,,,,,11,,,,,,,,813,2,30,845,1640
22,QUERÉTARO,1,QUERÉTARO,14,QUERÉTARO,338,4,822,369,23,26,13,34,31,399,19,9,113,16,3,3,0,,,,,,12,,,,,,,,1892,1,75,1968,2901
22,QUERÉTARO,1,QUERÉTARO,14,QUERÉTARO,347,2,303,149,13,11,5,23,11,268,5,5,65,2,0,1,0,,,,,,10,,,,,,,,871,0,46,917,1358
22,QUERÉTARO,1,QUERÉTARO,14,QUERÉTARO,348,2,201,124,11,13,12,34,19,237,18,10,60,5,1,2,0,,,,,,7,,,,,,,,754,1,47,802,1225
22,QUERÉTARO,1,QUERÉTARO,14,QUERÉTARO,349,3,411,200,11,17,16,27,21,302,13,13,91,6,0,2,0,,,,,,7,,,,,,,,1137,2,45,1184,1803
22,QUERÉTARO,1,QUERÉTARO,14,QUERÉTARO,350,2,167,130,8,14,9,27,14,193,9,12,44,11,2,1,0,,,,,,2,,,,,,,,643,1,33,677,1135
22,QUERÉTARO,1,QUERÉTARO,14,QUERÉTARO,354,2,202,126,10,3,13,14,8,166,10,6,31,6,0,0,0,,,,,,5,,,,,,,,600,2,29,631,1068
22,QUERÉTARO,1,QUERÉTARO,14,QUERÉTARO,361,2,140,93,12,2,9,21,13,185,11,3,41,9,2,1,0,,,,,,8,,,,,,,,550,1,48,599,1003
22,QUERÉTARO,1,QUERÉTARO,14,QUERÉTARO,362,2,140,118,17,6,7,24,10,168,10,7,39,5,1,0,1,,,,,,3,,,,,,,,556,0,34,590,1000
22,QUERÉTARO,1,QUERÉTARO,14,QUERÉTARO,363,2,176,143,7,16,8,25,22,184,12,10,31,3,4,4,0,,,,,,5,,,,,,,,650,0,31,681,1223
22,QUERÉTARO,1,QUERÉTARO,14,QUERÉTARO,365,2,115,100,7,7,8,14,16,147,12,10,29,3,3,0,0,,,,,,3,,,,,,,,474,0,22,496,900
22,QUERÉTARO,1,QUERÉTARO,14,QUERÉTARO,366,1,93,88,3,7,1,8,5,106,12,1,20,4,2,3,0,,,,,,1,,,,,,,,354,1,19,374,594
22,QUERÉTARO,1,QUERÉTARO,14,QUERÉTARO,367,1,113,90,4,4,6,10,10,105,12,4,22,3,2,4,0,,,,,,4,,,,,,,,393,0,17,410,656
22,QUERÉTARO,1,QUERÉTARO,14,QUERÉTARO,368,2,219,163,10,12,11,16,16,227,6,9,47,6,1,2,0,,,,,,5,,,,,,,,750,0,25,775,1163
22,QUERÉTARO,1,QUERÉTARO,14,QUERÉTARO,369,2,279,130,13,10,7,16,14,140,8,2,56,9,3,0,0,,,,,,7,,,,,,,,694,1,39,734,951
22,QUERÉTARO,1,QUERÉTARO,14,QUERÉTARO,370,2,156,126,9,10,4,16,7,147,1,4,47,2,0,0,0,,,,,,6,,,,,,,,535,2,22,559,803
22,QUERÉTARO,1,QUERÉTARO,14,QUERÉTARO,371,2,90,50,4,6,1,5,5,92,6,3,25,1,0,1,0,,,,,,2,,,,,,,,291,2,6,299,890
22,QUERÉTARO,1,QUERÉTARO,14,QUERÉTARO,378,1,103,83,7,5,4,16,12,100,14,3,34,1,2,0,0,,,,,,3,,,,,,,,387,0,27,414,643
22,QUERÉTARO,1,QUERÉTARO,14,QUERÉTARO,379,2,200,104,7,11,12,24,15,134,7,5,44,4,1,1,0,,,,,,3,,,,,,,,572,0,23,595,828
