ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PT,PVEM,CP,MC,NA,MORENA,ES,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,CAND_IND14,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
24,SAN LUIS POTOSI,1,AHUALULCO,14,27,1834,2039,2423,144,1215,603,459,238,374,29,,,,,,,,,,,,,9358,0,384,9742,14228,
24,SAN LUIS POTOSI,2,ALAQUINES,19,20,1130,1571,,25,52,104,,1289,81,16,,,,,,,,,,,,,4268,1,184,4453,6358,
24,SAN LUIS POTOSI,3,AQUISMON,26,60,11299,7601,1021,383,1924,96,353,,364,87,,,,,,,,,,,,,23128,12,1470,24610,31756,
24,SAN LUIS POTOSI,4,ARMADILLO DE LOS INFANTE,10,10,508,1362,113,39,537,,30,19,58,31,,,,,,,,,,,,68,2765,6,166,2937,3925,
24,SAN LUIS POTOSI,5,CARDENAS,20,29,1978,501,226,204,2303,460,322,2302,496,58,,,,,,,,,,,,,8850,2,233,9085,14091,
24,SAN LUIS POTOSI,6,CATORCE,18,20,2362,1370,,85,1228,63,24,,55,7,,,,,,,,,,,,,5194,0,203,5397,6892,
24,SAN LUIS POTOSI,7,CEDRAL,17,29,53,2820,13,2044,705,,13,282,2877,410,,,,,,,,,,,,,9217,0,237,9454,13706,
24,SAN LUIS POTOSI,8,CERRITOS,26,40,1554,1409,1201,1150,1527,1488,16,90,1121,159,,,,,,,,,,,,,9715,2,398,10115,16883,
24,SAN LUIS POTOSI,9,CERRO DE SAN PEDRO,6,10,1061,1359,21,15,150,90,22,240,151,21,,,,,,,,,,,,,3130,2,94,3226,3937,
24,SAN LUIS POTOSI,10,CIUDAD DEL MAIZ,30,48,6687,4340,678,56,1447,18,444,95,323,17,,,,,,,,,,,,,14105,71,522,14698,22149,
24,SAN LUIS POTOSI,11,CIUDAD FERNANDEZ,31,64,3383,3323,6851,282,2970,1738,1011,51,1018,152,,,,,,,,,,,,,20779,3,863,21645,35118,
24,SAN LUIS POTOSI,12,TANCANHUITZ,15,26,3003,2823,3576,92,150,30,,167,338,16,,,,,,,,,,,,,10195,35,660,10890,14091,
24,SAN LUIS POTOSI,13,CIUDAD VALLES,105,224,19278,8975,2354,1012,2081,1821,5156,130,6111,557,28536,,,,,,,,,,,,76011,71,2573,78655,126191,
24,SAN LUIS POTOSI,14,COXCATLAN,13,23,1382,1952,346,689,26,,1759,625,899,165,,,,,,,,,,,,,7843,0,521,8364,11724,
24,SAN LUIS POTOSI,15,CHARCAS,21,33,2171,1703,1596,195,2571,13,22,957,392,32,,,,,,,,,,,,,9652,2,504,10158,15416,
24,SAN LUIS POTOSI,16,EBANO,32,55,8120,1486,4272,308,1937,,,,1851,176,,,,,,,,,,,,,18150,1,765,18916,29766,
24,SAN LUIS POTOSI,17,GUADALCAZAR,30,41,1547,5785,1300,69,3767,,171,26,196,29,,,,,,,,,,,,,12890,0,565,13455,18548,
24,SAN LUIS POTOSI,18,HUEHUETLAN,10,21,300,2455,1013,316,2289,,,503,387,114,,,,,,,,,,,,,7377,1,620,7998,10654,
24,SAN LUIS POTOSI,19,LAGUNILLAS,11,13,353,873,78,1406,9,,24,77,187,100,,,,,,,,,,,,,3107,0,180,3287,4802,
24,SAN LUIS POTOSI,20,MATEHUALA,64,129,7432,6029,1128,406,8728,364,472,8728,3152,200,,,,,,,,,,,1364,,38003,7,1338,39348,70638,
24,SAN LUIS POTOSI,21,MEXQUITIC DE CARMONA,36,75,6240,7490,2550,1819,1349,2632,2674,231,1286,228,,,,,,,1607,,,,,,28106,11,1218,29335,41669,
24,SAN LUIS POTOSI,22,MOCTEZUMA,24,30,4807,1770,,68,316,2164,26,23,113,23,,,,,,,,,,,,,9310,2,442,9754,14246,
24,SAN LUIS POTOSI,23,RAYON,18,26,776,589,87,660,138,2405,58,255,974,528,,,,,,,,390,,,,,6860,0,356,7216,12312,
24,SAN LUIS POTOSI,24,RIOVERDE,87,150,15161,10665,852,2090,1779,135,669,2700,5053,522,,,,,,,,,,,,,39626,17,2328,41971,75639,
24,SAN LUIS POTOSI,25,SALINAS,23,41,254,5481,226,567,3182,31,1937,,1081,264,,,,,,,,,,,,,13023,4,435,13462,21523,
24,SAN LUIS POTOSI,26,SAN ANTONIO,9,13,1447,1585,85,369,16,,59,,507,1162,,,,,,,,,,,,,5230,0,182,5412,6750,
24,SAN LUIS POTOSI,27,SAN CIRO DE ACOSTA,16,19,1689,729,116,1387,9,,156,162,496,,,,453,,,,,,,,,,5197,2,214,5413,8668,
24,SAN LUIS POTOSI,28,SAN LUIS POTOSI,372,1022,141581,22158,89894,7734,8033,5610,12311,280,55281,5777,,,,,,,,,,,,,348659,274,9697,358630,615758,
24,SAN LUIS POTOSI,29,SAN MARTIN CHALCHICUAUTLA,20,31,4081,989,3596,109,86,56,170,1377,417,35,,,,,,,,,,,,,10916,1,579,11496,15263,
24,SAN LUIS POTOSI,30,SAN NICOLAS TOLENTINO,11,12,113,624,14,248,11,1101,17,,931,99,,,,,,,,,,15,,,3173,0,133,3306,4883,
24,SAN LUIS POTOSI,31,SAN VICENTE TANCUAYALAB,19,26,3396,3069,1102,95,74,41,,982,142,30,,,,,,,,,,,,,8931,1,405,9337,11267,
24,SAN LUIS POTOSI,32,SANTA CATARINA,9,20,46,606,779,1834,2182,6,,6,88,62,,,,,,,,,,,,,5609,0,347,5956,8437,
24,SAN LUIS POTOSI,33,SANTA MARIA DEL RIO,30,61,4358,7228,2167,137,5020,,229,380,540,50,,,,,,,,,,,,,20109,1,846,20956,30535,
24,SAN LUIS POTOSI,34,SANTO DOMINGO,21,24,1481,3627,142,442,,,91,,572,64,,,,,,,,,,,,,6419,306,231,6956,9620,
24,SAN LUIS POTOSI,35,SOLEDAD DE GRACIANO SANCHEZ,89,330,6788,13128,46888,3939,5033,2200,2263,3282,27654,2519,,,,,,,,,,,,,113694,106,4627,118427,212807,
24,SAN LUIS POTOSI,36,TAMASOPO,17,40,1566,2228,2245,435,743,976,653,1938,758,164,,,,,2267,,,,,,,,13973,3,661,14637,21169,
24,SAN LUIS POTOSI,37,TAMAZUNCHALE,59,125,9443,6157,2257,1297,707,7045,1179,6670,3667,513,,,,,,,,,,,,,38935,10,2904,41849,68202,
24,SAN LUIS POTOSI,38,TAMPACAN,16,24,23,3023,1855,728,151,1693,,138,904,147,,,,,,,,,,,,,8662,0,316,8978,11303,
24,SAN LUIS POTOSI,39,TAMPAMOLON CORONA,16,21,,526,3111,56,131,,,3200,132,29,,,,,,,,,,,,,7185,0,331,7516,9916,
24,SAN LUIS POTOSI,40,TAMUIN,35,53,806,4007,3059,974,396,33,634,2328,3173,370,,,,,,,,,,,,,15780,5,606,16391,25868,
24,SAN LUIS POTOSI,41,TANLAJAS,16,25,664,1348,63,915,202,2207,50,1474,2516,213,,,,,,,,,,,,,9652,1,404,10057,12999,
24,SAN LUIS POTOSI,42,TANQUIAN DE ESCOBEDO,11,19,1565,1568,2013,147,16,,,1588,499,68,,,,,,,,,,,,,7464,2,273,7739,10054,
24,SAN LUIS POTOSI,43,TIERRA NUEVA,10,15,908,1260,1387,29,222,,631,,74,11,,,,,,,,,,,,,4522,0,224,4746,7459,
24,SAN LUIS POTOSI,44,VANEGAS,13,14,508,120,386,,2133,,86,224,144,,,,,,,,,,,,,,3601,3,115,3719,5301,
24,SAN LUIS POTOSI,45,VENADO,20,25,1421,400,,344,741,743,2337,44,414,62,,,,,,,,,1008,,,,7514,3,316,7833,10624,
24,SAN LUIS POTOSI,46,VILLA DE ARISTA,13,23,1390,2842,,763,150,,1506,,606,95,,,,,,,,,,,,,7352,2,315,7669,11283,
24,SAN LUIS POTOSI,47,VILLA DE ARRIAGA,18,26,284,4732,1530,432,707,153,98,51,1342,105,,,,,,,,,,,,,9434,1,373,9808,12488,
24,SAN LUIS POTOSI,48,VILLA DE GUADALUPE,15,18,190,1110,1870,,74,8,1396,350,,,,,,,,,,,,,,,4998,1,197,5196,7560,
24,SAN LUIS POTOSI,49,VILLA DE LA PAZ,8,9,267,265,147,21,173,163,278,1304,94,8,,,,,,,,,,,,,2720,3,79,2802,3908,
24,SAN LUIS POTOSI,50,VILLA DE RAMOS,25,52,6744,8458,998,212,940,,1132,,177,37,,,,,,,,,,,,,18698,2,903,19603,26890,
24,SAN LUIS POTOSI,51,VILLA DE REYES,32,64,435,6463,9400,224,189,7903,,132,466,84,,776,,,,,,,,,,,26072,0,1108,27180,35720,
24,SAN LUIS POTOSI,52,VILLA HIDALGO,19,29,1944,4658,359,,367,52,805,157,,,,,,,,,,,,,,,8342,13,375,8730,11862,
24,SAN LUIS POTOSI,53,VILLA JUAREZ,16,20,127,2412,680,57,15,,1752,29,88,10,,,,,,,,,,,,,5170,0,334,5504,8948,
24,SAN LUIS POTOSI,54,AXTLA DE TERRAZAS,21,43,3616,5390,5676,202,,70,,391,798,81,,,,,,,,,,,,,16224,2,917,17143,23238,
24,SAN LUIS POTOSI,55,XILITLA,47,72,7479,5714,223,218,71,,1680,1913,1190,133,,,,3160,,,,,,,,,21781,3,1458,23242,35131,
24,SAN LUIS POTOSI,56,ZARAGOZA,22,37,76,3481,4026,145,1652,1223,75,1652,256,29,,,,,,,,,,,,,12615,2,556,13173,18390,
24,SAN LUIS POTOSI,57,EL NARANJO,17,28,2092,1466,153,151,1808,,328,1807,584,66,,,,,,1227,,,,,,,9682,1,343,10026,14660,
24,SAN LUIS POTOSI,58,MATLAPA,17,40,6151,5238,386,164,,339,270,94,1870,125,,,,,,,,,,,,,14637,0,699,15336,21103,
