ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,MAS,PAN_PRD,PRI_PVEM_NA,PRI_PVEM,PRI_NA,PVEM_NA,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,C_COMUN_PAN_PRD,C_COMUN_PRI_PVEM_NA,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,CAND_IND10,CAND_IND11,CAND_IND12,CAND_IND13,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
26,Sonora,1,ACONCHI,2,5,739,756,6,2,11,22,14,113,2,,30,18,14,2,0,1,3,0,0,,,,,,,,,,,,,,,,1733,0,43,1776,2431,
26,Sonora,2,AGUA PRIETA,29,104,6911,0,282,0,1607,381,0,9578,354,276,118,,,,,194,185,22,64,,9426,458,,,,,,,,,,,,,29856,34,867,30757,64815,
26,Sonora,62,ALAMOS,28,42,4149,0,96,0,143,581,0,620,18,155,155,,,,,17,20,2,6,,5622,,,,,,,,,,,,,,11584,4,719,12307,19332,
26,Sonora,3,ALTAR,7,14,317,2681,38,30,41,42,61,385,31,,17,53,47,10,3,13,5,1,3,,,,,,,,,,,,,,,,3778,3,144,3925,6573,
26,Sonora,4,ARIVECHI,3,4,218,529,4,5,5,,14,12,0,,8,13,3,1,1,0,0,0,0,,,,,,,,,,,,,,,,813,0,23,836,1215,
26,Sonora,5,ARIZPE,5,7,49,1140,2,4,4,,7,16,2,872,2,62,21,9,0,0,0,0,0,,,,,,,,,,,,,,,,2190,0,102,2292,3019,
26,Sonora,6,ATIL,1,2,1,295,0,3,0,340,4,72,0,,0,6,1,2,0,,,,,,,,,,,,,,,,,,,,724,0,6,730,841,
26,Sonora,7,BACADEHUACHI,1,2,0,259,0,4,3,4,4,412,5,221,,16,5,4,0,6,2,0,0,,,,,,,,,,,,,,,,945,0,7,952,1147,
26,Sonora,8,BACANORA,3,4,0,386,0,5,1,,0,5,1,,,,,,,0,0,0,0,459,,,,,,,,,,,,,,,857,0,24,881,1293,
26,Sonora,9,BACERAC,1,2,369,481,4,5,3,,5,19,0,,11,23,4,8,0,2,0,0,2,,,,,,,,,,,,,,,,936,0,31,967,1152,
26,Sonora,10,BACOACHI,2,3,43,451,282,0,28,,0,157,5,,23,,,,,5,8,0,3,,,,,,,,,,,,,,,,1005,0,24,1029,1443,
26,Sonora,58,BACUM,13,29,137,0,1720,0,298,836,0,3338,56,610,91,,,,,83,89,19,26,,2060,,,,,,,,,,,,,,9363,1,268,9632,17970,
26,Sonora,11,BANAMICHI,2,3,524,506,2,3,11,,9,59,3,,12,31,23,8,2,1,0,0,0,,,,,,,,,,,,,,,,1194,0,16,1210,1541,
26,Sonora,12,BAVIACORA,6,9,1176,612,7,6,8,520,2,90,4,,28,18,10,2,0,2,1,0,0,,,,,,,,,,,,,,,,2486,0,80,2566,3430,
26,Sonora,13,BAVISPE,2,3,3,615,1,0,8,,5,335,9,,0,18,4,4,0,1,5,0,4,,,,,,,,,,,,,,,,1012,0,5,1017,1324,
26,Sonora,71,BENITO JUAREZ,12,27,131,3685,351,19,194,467,74,3593,65,13,19,95,52,26,0,107,68,9,35,,,,,,,,,,,,,,,,9003,0,216,9219,15809,
26,Sonora,14,BENJAMIN HILL,4,8,689,516,11,7,64,,33,703,21,,26,45,8,6,1,22,10,3,11,,,,,,,,,,,,,,,,2176,0,45,2221,3792,
26,Sonora,46,CABORCA,36,105,2192,7101,249,343,1331,1388,482,14722,277,274,98,244,159,56,10,406,248,32,133,,,,,,,,,,,,,,,,29745,8,706,30459,62598,
26,Sonora,59,CAJEME,219,552,4743,24241,1222,1999,2838,23580,1952,53321,923,1230,145,796,540,136,46,1504,601,62,347,,,,,,,,,37397,,,,,,,157623,496,3771,161890,320447,
26,Sonora,15,CANANEA,19,48,1439,3428,150,51,137,2557,230,959,22,102,71,148,48,45,2,23,22,4,3,,,,5705,,,,,,,,,,,,15146,0,545,15691,28255,
26,Sonora,47,CARBO,2,6,612,969,12,3,341,121,46,101,4,4,14,33,13,18,0,11,12,1,0,,,,,,,,,,,,,,,,2315,0,55,2370,3696,
26,Sonora,16,CUCURPE,1,2,0,293,0,2,8,,5,22,0,,,9,1,5,0,0,1,0,0,429,,,,,,,,,,,,,,,775,0,34,809,1017,
26,Sonora,17,CUMPAS,8,12,28,1369,9,0,41,13,2052,294,7,,0,,,,,11,5,1,5,,,,,,,,,,,,,,,,3835,0,153,3988,5359,
26,Sonora,18,DIVISADEROS,1,2,0,180,0,12,6,,295,366,5,,,17,2,11,0,0,0,0,4,,,,,,,,,,,,,,,,898,0,4,902,1118,
26,Sonora,60,EMPALME,30,71,3226,0,336,0,773,1005,0,4777,134,1246,142,,,,,128,111,10,29,,3591,,,,,,,,,,,,,,15508,3,465,15976,41003,
26,Sonora,63,ETCHOJOA,40,80,2522,7426,1023,268,667,513,628,10261,179,,131,211,190,82,27,260,139,21,101,,,,,,,,,,,,,,,470,25119,14,800,25933,44395,
26,Sonora,19,FRONTERAS,5,13,766,1128,15,41,333,,26,392,18,1226,18,57,29,1,1,23,33,2,3,,,,,,,,,,,,,,,,4112,0,132,4244,6308,
26,Sonora,70,GENERAL PLUTARCO ELIAS CALLES,8,18,123,1781,448,337,38,1791,72,687,6,,45,,,,,5,4,0,6,,,,,,,,,,,,,,,,5343,0,176,5519,10257,
26,Sonora,20,GRANADOS,1,2,212,510,3,2,9,,3,166,2,0,3,4,2,1,0,5,1,2,3,,,,,,,,,,,,,,,,928,0,8,936,1168,
26,Sonora,61,GUAYMAS,90,207,4060,0,732,0,4516,2351,0,24841,1244,806,215,,,,,861,530,143,221,,13077,,,3348,,,,,,,,,,,56945,45,1250,58240,115520,
