ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PRI,PVEM,PT,NA,MORENA,ES,PAN_PRD_MC,PT_MORENA,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
27,TABASCO,1,TENOSIQUE,88,163,11976,5946,598,504,25592,4789,6311,,670,,,,,,,,56386,38,2451,58875,82753,http://iepct.mx/elecciones2018/DIP/MR/1.pdf
27,TABASCO,2,CARDENAS,50,129,1696,7131,,364,,599,6869,31155,,1091,,,,,,,48905,38,1593,50536,76228,http://iepct.mx/elecciones2018/DIP/MR/2.pdf
27,TABASCO,3,CARDENAS,51,125,3650,1797,,460,,427,10559,28252,,,,,,,,,45145,9,2211,47365,70580,http://iepct.mx/elecciones2018/DIP/MR/3.pdf
27,TABASCO,4,HUIMANGUILLO,51,135,5349,1623,735,303,27883,1296,12586,,,,,,,,,,49775,40,2567,52382,75030,http://iepct.mx/elecciones2018/DIP/MR/4.pdf
27,TABASCO,5,CENTLA,64,135,4585,7504,,716,,3520,9852,24876,,,,,,,,,51053,20,2420,53493,72426,http://iepct.mx/elecciones2018/DIP/MR/5.pdf
27,TABASCO,6,CENTRO,58,142,4793,3680,912,594,38609,831,4586,,,,,,,,2680,,56685,46,2063,58794,83103,http://iepct.mx/elecciones2018/DIP/MR/6.pdf
27,TABASCO,7,CENTRO,30,116,8652,757,1418,392,30682,548,3761,,,,1064,,,,,,47274,10,2332,49616,74728,http://iepct.mx/elecciones2018/DIP/MR/7.pdf
27,TABASCO,8,CENTRO,51,133,4645,1645,,605,,1963,4483,39407,,,,,,,,,52748,50,2011,54809,80597,http://iepct.mx/elecciones2018/DIP/MR/8.pdf
27,TABASCO,9,CENTRO,43,129,4442,2062,1319,588,38251,634,4725,,,,,,,,,,52021,90,2123,54234,79284,http://iepct.mx/elecciones2018/DIP/MR/9.pdf
27,TABASCO,10,CENTRO,39,134,3081,1791,1241,702,39599,1994,6084,,,,,,,,,,54492,32,2291,56815,81767,http://iepct.mx/elecciones2018/DIP/MR/10.pdf
27,TABASCO,11,TACOTALPA,64,142,7017,6763,1527,1648,22161,821,9975,,,,,,,,,,49912,68,3066,53046,73544,http://iepct.mx/elecciones2018/DIP/MR/11.pdf
27,TABASCO,12,CENTRO,53,138,4833,1994,1117,551,38489,699,6258,,,,,,,,,,53941,39,2318,56298,83021,http://iepct.mx/elecciones2018/DIP/MR/12.pdf
27,TABASCO,13,COMALCALCO,62,165,8997,1452,840,374,38583,657,17213,,,,,,,,,,68116,37,2299,70452,94695,http://iepct.mx/elecciones2018/DIP/MR/13.pdf
27,TABASCO,14,CUNDUACAN,48,123,6031,1652,,552,,462,9323,26458,,,,809,,,,,45287,45,2507,47839,73298,http://iepct.mx/elecciones2018/DIP/MR/14.pdf
27,TABASCO,15,EMILIANO ZAPATA,68,143,6134,5203,1105,2610,24794,942,11490,,,,,,,,,,52278,103,2718,55099,74505,http://iepct.mx/elecciones2018/DIP/MR/15.pdf
27,TABASCO,16,HUIMANGUILLO,67,151,8068,753,933,387,25897,573,14770,,,,,,745,,,,52126,72,2882,55080,78982,http://iepct.mx/elecciones2018/DIP/MR/16.pdf
27,TABASCO,17,JALPA DE MENDEZ,54,150,7104,6597,1096,1026,38507,,12328,,,,,,,,,727,67385,31,2456,69872,91359,http://iepct.mx/elecciones2018/DIP/MR/17.pdf
27,TABASCO,18,MACUSPANA,47,123,4353,3766,945,504,30250,1561,4190,,,,,,,1230,,,46799,60,2551,49410,74787,http://iepct.mx/elecciones2018/DIP/MR/18.pdf
27,TABASCO,19,NACAJUCA,37,144,4788,6114,1264,725,44372,537,7206,,,,,,,,,,65006,10,3124,68140,92145,http://iepct.mx/elecciones2018/DIP/MR/19.pdf
27,TABASCO,20,PARAISO,63,161,7401,2378,1416,871,38804,436,16001,,,,,,,,,,67307,42,2719,70068,93468,http://iepct.mx/elecciones2018/DIP/MR/20.pdf
27,TABASCO,21,CENTRO,41,131,6355,4140,1598,1851,27494,647,8061,,,,,,,,,,50146,45,2886,53077,81318,http://iepct.mx/elecciones2018/DIP/MR/21.pdf
