CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PT_MORENA,CAND_IND2,CAND_IND3,CAND_IND4,CAND_IND5,CAND_IND6,CAND_IND7,CAND_IND8,CAND_IND9,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,1,4,31,157,138,271,37,57,9,524,178,5,2,0,1,,62,,,,,,,,1472,1,85,1558,2666
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,2,3,19,147,109,267,21,46,8,471,145,0,2,1,3,,52,,,,,,,,1291,1,49,1341,1946
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,3,2,13,81,45,167,12,5,4,268,109,1,0,0,0,,13,,,,,,,,718,0,15,733,1098
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,4,2,6,103,49,170,11,16,5,281,97,1,0,0,1,,19,,,,,,,,759,0,23,782,1061
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,5,3,16,111,85,224,17,23,6,431,139,1,0,0,1,,52,,,,,,,,1106,0,61,1167,1688
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,6,2,23,69,82,93,10,11,3,366,131,15,0,1,0,,29,,,,,,,,833,0,20,853,705
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,7,2,5,114,33,111,11,18,2,380,99,36,0,0,0,,100,,,,,,,,909,0,42,951,1208
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,8,2,10,131,48,84,5,14,5,258,56,3,0,0,1,,8,,,,,,,,623,0,42,665,1090
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,9,2,5,62,44,192,6,12,10,343,153,0,0,0,0,,6,,,,,,,,833,0,49,882,1281
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,10,1,2,30,17,44,2,2,1,32,22,0,0,0,0,,1,,,,,,,,153,0,2,155,201
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,11,1,7,10,10,87,4,5,2,100,137,21,0,0,0,,0,,,,,,,,383,0,25,408,534
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,12,1,7,48,16,38,5,12,11,152,148,0,0,0,1,,10,,,,,,,,448,0,26,474,639
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,13,2,3,73,38,148,10,20,10,341,30,5,0,0,0,,7,,,,,,,,685,0,70,755,1062
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,14,1,5,34,26,85,4,15,1,268,37,3,0,0,0,,4,,,,,,,,482,0,31,513,736
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,15,1,6,49,47,83,6,13,10,266,31,1,0,0,1,,3,,,,,,,,516,0,28,544,722
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,16,1,4,44,17,92,0,10,3,280,43,0,0,0,0,,7,,,,,,,,500,0,33,533,723
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,17,2,6,54,18,167,4,22,4,243,75,2,1,0,1,,4,,,,,,,,601,0,36,637,857
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,18,2,17,127,10,74,3,11,5,163,266,4,0,0,0,,8,,,,,,,,688,0,46,734,1022
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,19,1,1,19,9,27,1,3,1,44,55,0,0,0,0,,3,,,,,,,,163,0,8,171,255
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,20,1,1,19,9,27,1,3,1,44,55,0,0,0,0,,3,,,,,,,,163,0,8,171,636
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,21,1,2,38,11,36,1,7,0,80,24,0,1,0,1,,4,,,,,,,,205,0,8,213,292
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,22,2,9,65,20,56,4,34,6,273,84,0,0,0,0,,3,,,,,,,,554,0,32,586,820
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,23,2,13,93,47,107,6,16,4,211,96,1,0,0,0,,4,,,,,,,,598,0,41,639,872
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,24,3,406,352,32,208,9,16,12,346,178,2,1,0,0,,12,,,,,,,,1574,0,75,1649,1761
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,25,2,17,32,32,85,14,16,6,154,146,1,0,0,0,,7,,,,,,,,510,0,13,523,777
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,27,1,16,68,61,10,4,13,0,118,30,1,0,0,1,,3,,,,,,,,325,0,22,347,484
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,28,2,10,94,41,36,4,5,5,174,60,3,0,0,0,,17,,,,,,,,449,0,29,478,797
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,29,1,5,112,15,89,3,8,3,168,30,0,0,0,0,,0,,,,,,,,433,0,17,450,622
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,30,3,8,84,39,145,5,18,10,336,119,0,0,0,0,,2,,,,,,,,766,0,17,783,1084
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,31,1,1,38,5,24,0,4,1,35,12,0,1,0,0,,0,,,,,,,,121,0,12,133,198
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,32,1,13,26,20,26,2,13,2,68,75,0,1,0,2,,3,,,,,,,,251,13,0,264,317
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,33,1,11,11,9,8,2,7,3,119,65,0,0,0,0,,0,,,,,,,,235,0,6,241,341
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,34,1,3,54,28,21,2,4,3,37,83,1,0,0,0,,1,,,,,,,,237,0,9,246,391
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,35,2,11,59,104,143,11,17,3,333,117,2,1,0,0,,20,,,,,,,,821,12,72,905,1149
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,36,1,3,55,40,99,11,10,2,183,66,1,0,0,0,,0,,,,,,,,470,0,24,494,654
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,37,2,15,94,68,159,8,12,5,287,235,1,2,1,0,,12,,,,,,,,899,0,46,945,1236
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,38,2,0,123,25,87,8,20,5,215,117,0,0,0,0,,10,,,,,,,,610,0,38,648,785
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,39,2,19,48,52,82,6,16,4,154,126,1,2,0,0,,4,,,,,,,,514,0,45,559,820
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,40,2,24,70,43,129,9,39,99,90,16,0,0,0,6,,5,,,,,,,,530,0,32,562,808
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,41,2,19,71,29,76,7,14,6,180,211,0,1,0,0,,19,,,,,,,,633,0,31,664,947
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,42,4,14,170,49,262,11,19,4,496,141,1,0,0,0,,6,,,,,,,,1173,1,41,1215,1639
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,43,2,9,81,38,96,2,15,5,251,102,3,0,0,0,,18,,,,,,,,620,0,48,668,987
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,44,3,22,94,19,77,10,16,6,322,116,1,0,1,0,,7,,,,,,,,691,0,42,733,1042
,27,TABASCO,1,TENOSIQUE,1,BALANCAN,45,2,6,117,51,96,10,11,6,301,114,1,2,0,1,,4,,,,,,,,720,0,33,753,1071
,27,TABASCO,1,TENOSIQUE,17,TENOSIQUE,1089,2,10,168,32,17,5,21,1,273,7,0,0,0,0,,3,,,,,,,,537,0,19,556,710
,27,TABASCO,1,TENOSIQUE,17,TENOSIQUE,1090,3,19,428,75,66,8,19,8,648,17,3,0,1,0,,5,,,,,,,,1297,0,25,1322,2117
,27,TABASCO,1,TENOSIQUE,17,TENOSIQUE,1091,2,8,153,30,26,3,9,2,253,7,1,0,0,1,,0,,,,,,,,493,0,10,503,789
,27,TABASCO,1,TENOSIQUE,17,TENOSIQUE,1092,1,11,173,46,15,3,13,2,174,10,0,0,0,0,,3,,,,,,,,450,0,10,460,628
,27,TABASCO,1,TENOSIQUE,17,TENOSIQUE,1093,1,8,146,42,20,3,13,2,233,7,0,0,0,0,,0,,,,,,,,474,0,19,493,703
,27,TABASCO,1,TENOSIQUE,17,TENOSIQUE,1094,2,9,236,37,23,3,6,3,306,13,1,0,0,0,,1,,,,,,,,638,0,21,659,926
,27,TABASCO,1,TENOSIQUE,17,TENOSIQUE,1095,1,9,182,38,22,0,11,2,249,14,0,0,0,0,,3,,,,,,,,530,0,15,545,679
,27,TABASCO,1,TENOSIQUE,17,TENOSIQUE,1096,2,20,224,61,25,5,15,6,420,8,1,3,0,0,,1,,,,,,,,789,0,28,817,1130
,27,TABASCO,1,TENOSIQUE,17,TENOSIQUE,1097,2,4,185,63,21,5,17,9,365,3,1,1,0,0,,1,,,,,,,,675,0,19,694,955
,27,TABASCO,1,TENOSIQUE,17,TENOSIQUE,1098,2,9,289,40,29,6,19,1,365,8,0,1,0,6,,5,,,,,,,,778,0,31,809,1122
,27,TABASCO,1,TENOSIQUE,17,TENOSIQUE,1099,3,15,207,61,36,7,19,15,580,6,0,0,0,0,,9,,,,,,,,955,0,22,977,1493
,27,TABASCO,1,TENOSIQUE,17,TENOSIQUE,1100,4,25,435,73,47,9,32,14,931,18,1,0,0,0,,7,,,,,,,,1592,0,69,1661,2462
,27,TABASCO,1,TENOSIQUE,17,TENOSIQUE,1101,3,19,260,56,43,4,18,4,612,5,4,0,1,1,,8,,,,,,,,1035,0,41,1076,1527
,27,TABASCO,1,TENOSIQUE,17,TENOSIQUE,1102,2,3,199,71,29,5,16,14,368,11,2,1,0,0,,2,,,,,,,,721,0,29,750,1074
,27,TABASCO,1,TENOSIQUE,17,TENOSIQUE,1103,2,11,270,42,21,3,19,3,276,5,1,1,0,0,,1,,,,,,,,653,0,24,677,915
,27,TABASCO,1,TENOSIQUE,17,TENOSIQUE,1104,4,26,435,134,56,9,37,11,940,13,1,0,0,1,,10,,,,,,,,1673,0,70,1743,2760
,27,TABASCO,1,TENOSIQUE,17,TENOSIQUE,1105,3,15,334,103,42,12,37,4,572,22,0,0,0,0,,4,,,,,,,,1145,6,33,1184,1792
,27,TABASCO,1,TENOSIQUE,17,TENOSIQUE,1106,2,15,263,59,29,6,20,4,495,7,1,0,0,0,,8,,,,,,,,907,0,28,935,1390
,27,TABASCO,1,TENOSIQUE,17,TENOSIQUE,1107,2,14,201,45,28,1,10,12,406,12,1,0,0,0,,2,,,,,,,,732,0,19,751,1067
,27,TABASCO,1,TENOSIQUE,17,TENOSIQUE,1108,2,4,183,27,21,9,8,1,423,5,2,1,0,0,,1,,,,,,,,685,0,20,705,927
,27,TABASCO,1,TENOSIQUE,17,TENOSIQUE,1109,2,3,184,38,12,5,9,4,248,2,3,1,1,1,,4,,,,,,,,515,4,17,536,677
,27,TABASCO,1,TENOSIQUE,17,TENOSIQUE,1110,1,3,48,13,4,2,2,0,134,1,0,0,0,1,,3,,,,,,,,211,0,9,220,271
,27,TABASCO,1,TENOSIQUE,17,TENOSIQUE,1111,1,2,114,25,12,4,6,6,238,1,1,0,0,0,,1,,,,,,,,410,0,16,426,662
,27,TABASCO,1,TENOSIQUE,17,TENOSIQUE,1112,1,3,63,8,3,2,5,1,133,1,0,0,0,0,,0,,,,,,,,219,0,12,231,305
,27,TABASCO,1,TENOSIQUE,17,TENOSIQUE,1113,2,5,225,30,17,5,9,7,511,16,0,0,0,0,,4,,,,,,,,829,0,21,850,1045
,27,TABASCO,1,TENOSIQUE,17,TENOSIQUE,1114,2,2,253,34,17,3,4,3,432,0,0,0,0,0,,0,,,,,,,,748,0,18,766,980
,27,TABASCO,1,TENOSIQUE,17,TENOSIQUE,1115,1,6,153,33,51,3,7,2,249,5,1,0,0,1,,0,,,,,,,,511,0,15,526,677
