CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,CASILLA,PAN,C_COMUN_PRI_PVEM_NA_PS,C_COMUN_PRI_PVEM_PS,PRI,PVEM,PS,PRD,PT,MC,NA,PAC,MORENA,ES,PAN_PRD_PAC,PAN_PRD,PAN_PAC,PRD_PAC,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
1,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,78,B,1,0,B,34,65,,,,,5,21,15,,25,147,16,3,0,0,0,6,2,0,1,340,0,23,363,681,Acta  casilla,,,
1,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,78,C,1,0,C01,34,60,,,,,13,20,10,,32,149,20,1,2,0,4,1,0,0,2,348,0,15,363,681,Acta  casilla,,,
1,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,78,C,2,0,C02,53,70,,,,,11,11,11,,23,142,17,1,1,1,1,6,1,0,2,351,0,20,371,680,Acta  casilla,,,
1,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,78,C,3,0,C03,38,65,,,,,9,17,12,,16,167,14,2,1,1,0,6,1,0,1,350,0,22,372,680,Acta  casilla,,,
1,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,78,C,4,0,C04,39,49,,,,,8,13,18,,26,148,19,2,0,2,1,6,3,0,2,336,1,27,364,680,Acta  casilla,,,
1,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,78,C,5,0,C05,45,61,,,,,11,15,8,,25,160,11,1,0,0,0,7,1,0,2,347,0,17,364,680,Acta  casilla,,,
1,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,79,B,1,0,B,37,75,,,,,12,15,9,,38,201,22,2,0,0,0,6,1,0,3,421,0,15,436,710,Acta  casilla,,,
1,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,79,C,1,0,C01,41,66,,,,,5,27,13,,40,197,15,1,0,0,0,3,4,2,0,414,0,26,440,709,Acta  casilla,,,
1,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,79,C,2,0,C02,51,75,,,,,11,19,8,,31,178,18,0,1,1,1,8,2,1,1,406,0,13,419,709,Acta  casilla,,,
1,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,79,S,1,0,SMR01,6,13,,,,,0,3,0,,2,23,0,0,0,0,0,0,0,0,0,47,0,0,47,0,Acta  casilla,,,
