ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,ES,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PRI_PVEM,PT_MORENA_ES,PT_MORENA,PT_ES,MORENA_ES,CAND_IND1,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
30,VERACRUZ,1,PANUCO,246,398,44931,17455,2364,2336,2643,2879,2103,40007,4535,556,328,147,22,441,877,344,49,428,0,122445,22,4196,126663,193272,
30,VERACRUZ,2,TANTOYUCA,198,369,45000,17943,8854,11000,2349,1961,2118,40999,1298,530,374,53,35,878,0,0,0,0,0,133392,20,5312,138724,192632,
30,VERACRUZ,3,TUXPAN,160,382,31497,16022,13484,4868,2280,1718,2414,49944,1051,750,877,89,48,402,792,353,32,251,0,126872,46,4610,131528,209730,
30,VERACRUZ,4,ALAMO,210,400,41670,25225,7307,4404,4223,4714,1970,43498,1319,622,725,128,46,467,645,314,52,229,0,137558,21,5635,143214,205499,
30,VERACRUZ,5,POZA RICA DE HIDALGO,139,324,18376,10469,15691,1585,2367,1996,4157,59399,1004,948,672,82,75,220,1001,494,26,236,0,118798,40,3113,121951,185736,
30,VERACRUZ,6,PAPANTLA,149,357,28456,17019,11469,3105,3787,5559,2493,48262,1400,740,538,112,57,445,886,273,45,237,0,124883,27,4212,129122,199389,
30,VERACRUZ,7,MARTINEZ DE LA TORRE,173,346,22880,11217,7017,2594,1997,5574,5649,46360,1104,578,358,156,45,271,723,310,31,254,0,107118,64,3506,110688,179304,
30,VERACRUZ,8,MISANTLA,214,402,29558,12631,10294,14567,2517,3464,2508,42380,1115,570,712,121,40,895,576,264,35,211,0,122458,20,4185,126663,188812,
30,VERACRUZ,9,PEROTE,131,337,29946,24210,4446,3878,2714,6774,1741,35749,1129,636,471,195,53,838,486,241,39,192,0,113738,19,4739,118496,176324,
30,VERACRUZ,10,XALAPA I,137,326,25380,11686,2252,4695,2019,2665,2676,59170,1785,497,265,67,20,393,884,338,28,291,0,115111,85,4167,119363,180810,
30,VERACRUZ,11,XALAPA II,117,297,37710,13783,2527,3393,2072,2642,2758,55110,1718,635,297,94,24,411,859,305,27,225,0,124590,85,4322,128997,191121,
30,VERACRUZ,12,COATEPEC,122,315,32227,21430,5842,2212,2328,2288,1803,45241,1409,677,628,105,45,541,644,251,22,227,0,117920,32,4641,122593,182314,
30,VERACRUZ,13,EMILIANO ZAPATA,171,358,33001,19293,4719,3924,2118,2404,2019,45832,1213,734,552,140,31,621,662,283,34,190,0,117770,66,3702,121538,187355,
30,VERACRUZ,14,VERACRUZ I,173,384,54463,10177,2452,3280,1844,2433,2498,47706,1495,1164,641,203,41,375,783,310,24,210,0,130099,64,3417,133580,224971,
30,VERACRUZ,15,VERACRUZ II,190,406,61486,10586,2039,3664,2095,2248,1420,48392,1653,1182,663,222,20,416,779,349,25,212,0,137451,63,3839,141353,231992,
30,VERACRUZ,16,BOCA DEL RIO,186,389,64022,13195,1660,4649,1560,2459,1615,39057,1202,992,549,214,26,510,499,207,18,159,0,132593,54,4315,136962,210308,
30,VERACRUZ,17,MEDELLIN DE BRAVO,137,351,33350,12300,3835,8479,2121,3498,5066,45480,1577,589,346,240,32,560,718,236,69,280,0,118776,30,4088,122894,190476,
30,VERACRUZ,18,HUATUSCO,119,314,35781,23342,7353,3997,1986,1953,2198,31610,2168,809,763,134,63,869,0,0,0,0,0,113026,70,5865,118961,177978,
30,VERACRUZ,19,CORDOBA,154,348,22217,23085,1785,3349,2506,1904,6315,62991,1747,426,197,81,39,687,1077,347,44,347,0,129144,109,4470,133723,198192,
30,VERACRUZ,20,ORIZABA,168,368,28520,15293,3174,7373,2600,3119,2335,68116,1979,631,324,120,48,569,1206,416,41,340,0,136204,91,4358,140653,204624,
30,VERACRUZ,21,CAMERINO Z. MENDOZA,117,301,22314,7546,7760,5870,2335,3543,2326,50839,2152,734,512,139,84,493,1077,341,64,359,0,108488,72,4925,113485,173420,
30,VERACRUZ,22,ZONGOLICA,133,299,24934,18385,10726,5745,4609,9167,1874,33152,1325,702,721,260,121,877,526,258,59,157,0,113598,20,6192,119810,169694,
30,VERACRUZ,23,COSAMALOAPAN,193,379,31970,21983,2851,1657,3060,2269,1339,50469,943,431,420,95,46,551,768,407,39,277,0,119575,31,4032,123638,196612,
30,VERACRUZ,24,SANTIAGO TUXTLA,181,357,29116,12072,13229,5046,2458,1966,2667,40693,969,781,878,130,58,658,780,363,53,249,0,112166,26,5025,117217,194489,
30,VERACRUZ,25,SAN ANDRES TUXTLA,132,323,31930,9416,4740,3201,2751,2227,2666,42317,1304,1006,635,142,57,483,1110,342,83,255,0,104665,14,4904,109583,181928,
30,VERACRUZ,26,COSOLEACAQUE,159,390,19029,20834,5778,1784,2752,1725,1641,72681,1610,486,472,63,40,522,1239,391,73,338,0,131458,23,4280,135761,208399,
30,VERACRUZ,27,ACAYUCAN,151,323,26086,13046,14462,1419,2151,2498,1014,48663,986,624,725,100,42,380,748,309,41,235,0,113529,30,3915,117474,182957,
30,VERACRUZ,28,MINATITLAN,151,340,24864,11454,5300,1112,2189,2079,3545,56724,974,869,548,85,49,223,1028,332,51,243,0,111669,30,3105,114804,174248,
30,VERACRUZ,29,COATZACOALCOS I,149,362,16367,9809,1985,1023,1846,2091,3168,80073,1716,543,173,76,23,279,2000,408,51,537,2778,124946,125,2870,127941,198507,
30,VERACRUZ,30,COATZACOALCOS II,152,350,19745,11458,3471,1045,2467,2070,1204,65318,1510,955,366,121,41,301,2117,448,76,503,0,113216,28,3739,116983,184825,
